,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,415,8,2,2018-07-03 02:14:01,Current Qtr. (Jun 2018),No. of Analysts,21.0
1,415,8,2,2018-07-03 02:14:01,Current Qtr. (Jun 2018),Avg. Estimate,3.02
2,415,8,2,2018-07-03 02:14:01,Current Qtr. (Jun 2018),Low Estimate,2.77
3,415,8,2,2018-07-03 02:14:01,Current Qtr. (Jun 2018),High Estimate,3.11
4,415,8,2,2018-07-03 02:14:01,Current Qtr. (Jun 2018),Year Ago EPS,2.46
5,415,8,2,2018-07-03 02:14:01,Next Qtr. (Sep 2018),No. of Analysts,21.0
6,415,8,2,2018-07-03 02:14:01,Next Qtr. (Sep 2018),Avg. Estimate,3.31
7,415,8,2,2018-07-03 02:14:01,Next Qtr. (Sep 2018),Low Estimate,3.15
8,415,8,2,2018-07-03 02:14:01,Next Qtr. (Sep 2018),High Estimate,3.47
9,415,8,2,2018-07-03 02:14:01,Next Qtr. (Sep 2018),Year Ago EPS,2.66
10,415,8,2,2018-07-03 02:14:01,Current Year (2018),No. of Analysts,23.0
11,415,8,2,2018-07-03 02:14:01,Current Year (2018),Avg. Estimate,12.62
12,415,8,2,2018-07-03 02:14:01,Current Year (2018),Low Estimate,12.45
13,415,8,2,2018-07-03 02:14:01,Current Year (2018),High Estimate,12.9
14,415,8,2,2018-07-03 02:14:01,Current Year (2018),Year Ago EPS,10.07
15,415,8,2,2018-07-03 02:14:01,Next Year (2019),No. of Analysts,24.0
16,415,8,2,2018-07-03 02:14:01,Next Year (2019),Avg. Estimate,14.28
17,415,8,2,2018-07-03 02:14:01,Next Year (2019),Low Estimate,13.83
18,415,8,2,2018-07-03 02:14:01,Next Year (2019),High Estimate,15.25
19,415,8,2,2018-07-03 02:14:01,Next Year (2019),Year Ago EPS,12.62
0,415,9,2,2018-07-03 02:14:01,Current Qtr. (Jun 2018),No. of Analysts,13
1,415,9,2,2018-07-03 02:14:01,Current Qtr. (Jun 2018),Avg. Estimate,56.09B
2,415,9,2,2018-07-03 02:14:01,Current Qtr. (Jun 2018),Low Estimate,55.68B
3,415,9,2,2018-07-03 02:14:01,Current Qtr. (Jun 2018),High Estimate,56.62B
4,415,9,2,2018-07-03 02:14:01,Current Qtr. (Jun 2018),Year Ago Sales,50.05B
5,415,9,2,2018-07-03 02:14:01,Current Qtr. (Jun 2018),Sales Growth (year/est),12.10%
6,415,9,2,2018-07-03 02:14:01,Next Qtr. (Sep 2018),No. of Analysts,13
7,415,9,2,2018-07-03 02:14:01,Next Qtr. (Sep 2018),Avg. Estimate,56.43B
8,415,9,2,2018-07-03 02:14:01,Next Qtr. (Sep 2018),Low Estimate,55.42B
