,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,542,8,2,2018-07-03 03:01:30,Current Qtr. (Jun 2018),No. of Analysts,14.0
1,542,8,2,2018-07-03 03:01:30,Current Qtr. (Jun 2018),Avg. Estimate,1.06
2,542,8,2,2018-07-03 03:01:30,Current Qtr. (Jun 2018),Low Estimate,0.99
3,542,8,2,2018-07-03 03:01:30,Current Qtr. (Jun 2018),High Estimate,1.1
4,542,8,2,2018-07-03 03:01:30,Current Qtr. (Jun 2018),Year Ago EPS,0.74
5,542,8,2,2018-07-03 03:01:30,Next Qtr. (Sep 2018),No. of Analysts,13.0
6,542,8,2,2018-07-03 03:01:30,Next Qtr. (Sep 2018),Avg. Estimate,1.25
7,542,8,2,2018-07-03 03:01:30,Next Qtr. (Sep 2018),Low Estimate,1.12
8,542,8,2,2018-07-03 03:01:30,Next Qtr. (Sep 2018),High Estimate,1.4
9,542,8,2,2018-07-03 03:01:30,Next Qtr. (Sep 2018),Year Ago EPS,0.87
10,542,8,2,2018-07-03 03:01:30,Current Year (2018),No. of Analysts,15.0
11,542,8,2,2018-07-03 03:01:30,Current Year (2018),Avg. Estimate,4.03
12,542,8,2,2018-07-03 03:01:30,Current Year (2018),Low Estimate,3.81
13,542,8,2,2018-07-03 03:01:30,Current Year (2018),High Estimate,4.43
14,542,8,2,2018-07-03 03:01:30,Current Year (2018),Year Ago EPS,2.62
15,542,8,2,2018-07-03 03:01:30,Next Year (2019),No. of Analysts,12.0
16,542,8,2,2018-07-03 03:01:30,Next Year (2019),Avg. Estimate,4.65
17,542,8,2,2018-07-03 03:01:30,Next Year (2019),Low Estimate,4.22
18,542,8,2,2018-07-03 03:01:30,Next Year (2019),High Estimate,5.08
19,542,8,2,2018-07-03 03:01:30,Next Year (2019),Year Ago EPS,4.03
0,542,9,2,2018-07-03 03:01:30,Current Qtr. (Jun 2018),No. of Analysts,10
1,542,9,2,2018-07-03 03:01:30,Current Qtr. (Jun 2018),Avg. Estimate,4.16B
2,542,9,2,2018-07-03 03:01:30,Current Qtr. (Jun 2018),Low Estimate,4.1B
3,542,9,2,2018-07-03 03:01:30,Current Qtr. (Jun 2018),High Estimate,4.23B
4,542,9,2,2018-07-03 03:01:30,Current Qtr. (Jun 2018),Year Ago Sales,3.7B
5,542,9,2,2018-07-03 03:01:30,Current Qtr. (Jun 2018),Sales Growth (year/est),12.60%
6,542,9,2,2018-07-03 03:01:30,Next Qtr. (Sep 2018),No. of Analysts,10
7,542,9,2,2018-07-03 03:01:30,Next Qtr. (Sep 2018),Avg. Estimate,4.3B
8,542,9,2,2018-07-03 03:01:30,Next Qtr. (Sep 2018),Low Estimate,4.16B
9,542,9,2,2018-07-03 03:01:30,Next Qtr. (Sep 2018),High Estimate,4.42B
10,542,9,2,2018-07-03 03:01:30,Next Qtr. (Sep 2018),Year Ago Sales,4.06B
