,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,442,8,2,2018-07-03 02:24:15,Current Qtr. (Jun 2018),No. of Analysts,18.0
1,442,8,2,2018-07-03 02:24:15,Current Qtr. (Jun 2018),Avg. Estimate,0.47
2,442,8,2,2018-07-03 02:24:15,Current Qtr. (Jun 2018),Low Estimate,0.43
3,442,8,2,2018-07-03 02:24:15,Current Qtr. (Jun 2018),High Estimate,0.51
4,442,8,2,2018-07-03 02:24:15,Current Qtr. (Jun 2018),Year Ago EPS,0.5
5,442,8,2,2018-07-03 02:24:15,Next Qtr. (Sep 2018),No. of Analysts,18.0
6,442,8,2,2018-07-03 02:24:15,Next Qtr. (Sep 2018),Avg. Estimate,0.48
7,442,8,2,2018-07-03 02:24:15,Next Qtr. (Sep 2018),Low Estimate,0.46
8,442,8,2,2018-07-03 02:24:15,Next Qtr. (Sep 2018),High Estimate,0.5
9,442,8,2,2018-07-03 02:24:15,Next Qtr. (Sep 2018),Year Ago EPS,0.53
10,442,8,2,2018-07-03 02:24:15,Current Year (2018),No. of Analysts,18.0
11,442,8,2,2018-07-03 02:24:15,Current Year (2018),Avg. Estimate,1.87
12,442,8,2,2018-07-03 02:24:15,Current Year (2018),Low Estimate,1.84
13,442,8,2,2018-07-03 02:24:15,Current Year (2018),High Estimate,1.9
14,442,8,2,2018-07-03 02:24:15,Current Year (2018),Year Ago EPS,1.8
15,442,8,2,2018-07-03 02:24:15,Next Year (2019),No. of Analysts,18.0
16,442,8,2,2018-07-03 02:24:15,Next Year (2019),Avg. Estimate,1.95
17,442,8,2,2018-07-03 02:24:15,Next Year (2019),Low Estimate,1.9
18,442,8,2,2018-07-03 02:24:15,Next Year (2019),High Estimate,2.0
19,442,8,2,2018-07-03 02:24:15,Next Year (2019),Year Ago EPS,1.87
0,442,9,2,2018-07-03 02:24:15,Current Qtr. (Jun 2018),No. of Analysts,15
1,442,9,2,2018-07-03 02:24:15,Current Qtr. (Jun 2018),Avg. Estimate,1.43B
2,442,9,2,2018-07-03 02:24:15,Current Qtr. (Jun 2018),Low Estimate,1.4B
3,442,9,2,2018-07-03 02:24:15,Current Qtr. (Jun 2018),High Estimate,1.46B
4,442,9,2,2018-07-03 02:24:15,Current Qtr. (Jun 2018),Year Ago Sales,1.38B
5,442,9,2,2018-07-03 02:24:15,Current Qtr. (Jun 2018),Sales Growth (year/est),4.00%
6,442,9,2,2018-07-03 02:24:15,Next Qtr. (Sep 2018),No. of Analysts,15
7,442,9,2,2018-07-03 02:24:15,Next Qtr. (Sep 2018),Avg. Estimate,1.45B
8,442,9,2,2018-07-03 02:24:15,Next Qtr. (Sep 2018),Low Estimate,1.42B
9,442,9,2,2018-07-03 02:24:15,Next Qtr. (Sep 2018),High Estimate,1.48B
10,442,9,2,2018-07-03 02:24:15,Next Qtr. (Sep 2018),Year Ago Sales,1.4B
11,442,9,2,2018-07-03 02:24:15,Next Qtr. (Sep 2018),Sales Growth (year/est),3.50%
12,442,9,2,2018-07-03 02:24:15,Current Year (2018),No. of Analysts,16
13,442,9,2,2018-07-03 02:24:15,Current Year (2018),Avg. Estimate,5.75B
14,442,9,2,2018-07-03 02:24:15,Current Year (2018),Low Estimate,5.69B
15,442,9,2,2018-07-03 02:24:15,Current Year (2018),High Estimate,5.79B
16,442,9,2,2018-07-03 02:24:15,Current Year (2018),Year Ago Sales,5.52B
17,442,9,2,2018-07-03 02:24:15,Current Year (2018),Sales Growth (year/est),4.10%
18,442,9,2,2018-07-03 02:24:15,Next Year (2019),No. of Analysts,16
19,442,9,2,2018-07-03 02:24:15,Next Year (2019),Avg. Estimate,5.91B
20,442,9,2,2018-07-03 02:24:15,Next Year (2019),Low Estimate,5.72B
21,442,9,2,2018-07-03 02:24:15,Next Year (2019),High Estimate,6.04B
22,442,9,2,2018-07-03 02:24:15,Next Year (2019),Year Ago Sales,5.75B
23,442,9,2,2018-07-03 02:24:15,Next Year (2019),Sales Growth (year/est),2.80%
0,442,10,2,2018-07-03 02:24:15,6/29/2017,EPS Est.,0.42
1,442,10,2,2018-07-03 02:24:15,6/29/2017,EPS Actual,0.5
2,442,10,2,2018-07-03 02:24:15,6/29/2017,Difference,0.08
3,442,10,2,2018-07-03 02:24:15,6/29/2017,Surprise %,19.00%
4,442,10,2,2018-07-03 02:24:15,9/29/2017,EPS Est.,0.45
5,442,10,2,2018-07-03 02:24:15,9/29/2017,EPS Actual,0.53
6,442,10,2,2018-07-03 02:24:15,9/29/2017,Difference,0.08
7,442,10,2,2018-07-03 02:24:15,9/29/2017,Surprise %,17.80%
8,442,10,2,2018-07-03 02:24:15,12/30/2017,EPS Est.,0.45
9,442,10,2,2018-07-03 02:24:15,12/30/2017,EPS Actual,0.41
10,442,10,2,2018-07-03 02:24:15,12/30/2017,Difference,-0.04
11,442,10,2,2018-07-03 02:24:15,12/30/2017,Surprise %,-8.90%
12,442,10,2,2018-07-03 02:24:15,3/30/2018,EPS Est.,0.42
13,442,10,2,2018-07-03 02:24:15,3/30/2018,EPS Actual,0.45
14,442,10,2,2018-07-03 02:24:15,3/30/2018,Difference,0.03
15,442,10,2,2018-07-03 02:24:15,3/30/2018,Surprise %,7.10%
0,442,11,2,2018-07-03 02:24:15,Current Qtr. (Jun 2018),Current Estimate,0.47
1,442,11,2,2018-07-03 02:24:15,Current Qtr. (Jun 2018),7 Days Ago,0.47
2,442,11,2,2018-07-03 02:24:15,Current Qtr. (Jun 2018),30 Days Ago,0.47
3,442,11,2,2018-07-03 02:24:15,Current Qtr. (Jun 2018),60 Days Ago,0.48
4,442,11,2,2018-07-03 02:24:15,Current Qtr. (Jun 2018),90 Days Ago,0.48
5,442,11,2,2018-07-03 02:24:15,Next Qtr. (Sep 2018),Current Estimate,0.48
6,442,11,2,2018-07-03 02:24:15,Next Qtr. (Sep 2018),7 Days Ago,0.48
7,442,11,2,2018-07-03 02:24:15,Next Qtr. (Sep 2018),30 Days Ago,0.48
8,442,11,2,2018-07-03 02:24:15,Next Qtr. (Sep 2018),60 Days Ago,0.48
9,442,11,2,2018-07-03 02:24:15,Next Qtr. (Sep 2018),90 Days Ago,0.49
10,442,11,2,2018-07-03 02:24:15,Current Year (2018),Current Estimate,1.87
11,442,11,2,2018-07-03 02:24:15,Current Year (2018),7 Days Ago,1.87
12,442,11,2,2018-07-03 02:24:15,Current Year (2018),30 Days Ago,1.87
13,442,11,2,2018-07-03 02:24:15,Current Year (2018),60 Days Ago,1.87
14,442,11,2,2018-07-03 02:24:15,Current Year (2018),90 Days Ago,1.86
15,442,11,2,2018-07-03 02:24:15,Next Year (2019),Current Estimate,1.95
16,442,11,2,2018-07-03 02:24:15,Next Year (2019),7 Days Ago,1.96
17,442,11,2,2018-07-03 02:24:15,Next Year (2019),30 Days Ago,1.96
18,442,11,2,2018-07-03 02:24:15,Next Year (2019),60 Days Ago,1.96
19,442,11,2,2018-07-03 02:24:15,Next Year (2019),90 Days Ago,1.95
0,442,12,2,2018-07-03 02:24:15,Current Qtr. (Jun 2018),Up Last 7 Days,
1,442,12,2,2018-07-03 02:24:15,Current Qtr. (Jun 2018),Up Last 30 Days,
