,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,436,8,2,2018-07-03 02:22:00,Current Qtr. (Jun 2018),No. of Analysts,12.0
1,436,8,2,2018-07-03 02:22:00,Current Qtr. (Jun 2018),Avg. Estimate,0.41
2,436,8,2,2018-07-03 02:22:00,Current Qtr. (Jun 2018),Low Estimate,0.36
3,436,8,2,2018-07-03 02:22:00,Current Qtr. (Jun 2018),High Estimate,0.49
4,436,8,2,2018-07-03 02:22:00,Current Qtr. (Jun 2018),Year Ago EPS,0.28
5,436,8,2,2018-07-03 02:22:00,Next Qtr. (Sep 2018),No. of Analysts,11.0
6,436,8,2,2018-07-03 02:22:00,Next Qtr. (Sep 2018),Avg. Estimate,0.38
7,436,8,2,2018-07-03 02:22:00,Next Qtr. (Sep 2018),Low Estimate,0.34
8,436,8,2,2018-07-03 02:22:00,Next Qtr. (Sep 2018),High Estimate,0.42
9,436,8,2,2018-07-03 02:22:00,Next Qtr. (Sep 2018),Year Ago EPS,0.34
10,436,8,2,2018-07-03 02:22:00,Current Year (2018),No. of Analysts,12.0
11,436,8,2,2018-07-03 02:22:00,Current Year (2018),Avg. Estimate,1.49
12,436,8,2,2018-07-03 02:22:00,Current Year (2018),Low Estimate,1.31
13,436,8,2,2018-07-03 02:22:00,Current Year (2018),High Estimate,1.69
14,436,8,2,2018-07-03 02:22:00,Current Year (2018),Year Ago EPS,1.15
15,436,8,2,2018-07-03 02:22:00,Next Year (2019),No. of Analysts,12.0
16,436,8,2,2018-07-03 02:22:00,Next Year (2019),Avg. Estimate,1.53
17,436,8,2,2018-07-03 02:22:00,Next Year (2019),Low Estimate,1.2
18,436,8,2,2018-07-03 02:22:00,Next Year (2019),High Estimate,1.86
19,436,8,2,2018-07-03 02:22:00,Next Year (2019),Year Ago EPS,1.49
0,436,9,2,2018-07-03 02:22:00,Current Qtr. (Jun 2018),No. of Analysts,7
1,436,9,2,2018-07-03 02:22:00,Current Qtr. (Jun 2018),Avg. Estimate,2.01B
2,436,9,2,2018-07-03 02:22:00,Current Qtr. (Jun 2018),Low Estimate,1.95B
3,436,9,2,2018-07-03 02:22:00,Current Qtr. (Jun 2018),High Estimate,2.07B
4,436,9,2,2018-07-03 02:22:00,Current Qtr. (Jun 2018),Year Ago Sales,1.81B
5,436,9,2,2018-07-03 02:22:00,Current Qtr. (Jun 2018),Sales Growth (year/est),11.00%
6,436,9,2,2018-07-03 02:22:00,Next Qtr. (Sep 2018),No. of Analysts,7
7,436,9,2,2018-07-03 02:22:00,Next Qtr. (Sep 2018),Avg. Estimate,1.97B
8,436,9,2,2018-07-03 02:22:00,Next Qtr. (Sep 2018),Low Estimate,1.92B
9,436,9,2,2018-07-03 02:22:00,Next Qtr. (Sep 2018),High Estimate,2.04B
10,436,9,2,2018-07-03 02:22:00,Next Qtr. (Sep 2018),Year Ago Sales,1.87B
11,436,9,2,2018-07-03 02:22:00,Next Qtr. (Sep 2018),Sales Growth (year/est),5.10%
12,436,9,2,2018-07-03 02:22:00,Current Year (2018),No. of Analysts,10
13,436,9,2,2018-07-03 02:22:00,Current Year (2018),Avg. Estimate,7.67B
14,436,9,2,2018-07-03 02:22:00,Current Year (2018),Low Estimate,7.37B
15,436,9,2,2018-07-03 02:22:00,Current Year (2018),High Estimate,7.97B
16,436,9,2,2018-07-03 02:22:00,Current Year (2018),Year Ago Sales,7.2B
17,436,9,2,2018-07-03 02:22:00,Current Year (2018),Sales Growth (year/est),6.60%
18,436,9,2,2018-07-03 02:22:00,Next Year (2019),No. of Analysts,10
19,436,9,2,2018-07-03 02:22:00,Next Year (2019),Avg. Estimate,7.88B
20,436,9,2,2018-07-03 02:22:00,Next Year (2019),Low Estimate,7.63B
21,436,9,2,2018-07-03 02:22:00,Next Year (2019),High Estimate,8.19B
22,436,9,2,2018-07-03 02:22:00,Next Year (2019),Year Ago Sales,7.67B
23,436,9,2,2018-07-03 02:22:00,Next Year (2019),Sales Growth (year/est),2.70%
0,436,10,2,2018-07-03 02:22:00,6/29/2017,EPS Est.,0.27
1,436,10,2,2018-07-03 02:22:00,6/29/2017,EPS Actual,0.28
2,436,10,2,2018-07-03 02:22:00,6/29/2017,Difference,0.01
3,436,10,2,2018-07-03 02:22:00,6/29/2017,Surprise %,3.70%
