,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,443,8,2,2018-07-03 02:24:37,Current Qtr. (Jun 2018),No. of Analysts,15.0
1,443,8,2,2018-07-03 02:24:37,Current Qtr. (Jun 2018),Avg. Estimate,0.59
2,443,8,2,2018-07-03 02:24:37,Current Qtr. (Jun 2018),Low Estimate,0.55
3,443,8,2,2018-07-03 02:24:37,Current Qtr. (Jun 2018),High Estimate,0.62
4,443,8,2,2018-07-03 02:24:37,Current Qtr. (Jun 2018),Year Ago EPS,0.65
5,443,8,2,2018-07-03 02:24:37,Next Qtr. (Sep 2018),No. of Analysts,15.0
6,443,8,2,2018-07-03 02:24:37,Next Qtr. (Sep 2018),Avg. Estimate,0.71
7,443,8,2,2018-07-03 02:24:37,Next Qtr. (Sep 2018),Low Estimate,0.65
8,443,8,2,2018-07-03 02:24:37,Next Qtr. (Sep 2018),High Estimate,0.74
9,443,8,2,2018-07-03 02:24:37,Next Qtr. (Sep 2018),Year Ago EPS,0.7
10,443,8,2,2018-07-03 02:24:37,Current Year (2018),No. of Analysts,17.0
11,443,8,2,2018-07-03 02:24:37,Current Year (2018),Avg. Estimate,2.58
12,443,8,2,2018-07-03 02:24:37,Current Year (2018),Low Estimate,2.52
13,443,8,2,2018-07-03 02:24:37,Current Year (2018),High Estimate,2.61
14,443,8,2,2018-07-03 02:24:37,Current Year (2018),Year Ago EPS,2.66
15,443,8,2,2018-07-03 02:24:37,Next Year (2019),No. of Analysts,17.0
16,443,8,2,2018-07-03 02:24:37,Next Year (2019),Avg. Estimate,2.83
17,443,8,2,2018-07-03 02:24:37,Next Year (2019),Low Estimate,2.7
18,443,8,2,2018-07-03 02:24:37,Next Year (2019),High Estimate,3.1
19,443,8,2,2018-07-03 02:24:37,Next Year (2019),Year Ago EPS,2.58
0,443,9,2,2018-07-03 02:24:37,Current Qtr. (Jun 2018),No. of Analysts,13
1,443,9,2,2018-07-03 02:24:37,Current Qtr. (Jun 2018),Avg. Estimate,1.03B
2,443,9,2,2018-07-03 02:24:37,Current Qtr. (Jun 2018),Low Estimate,1B
3,443,9,2,2018-07-03 02:24:37,Current Qtr. (Jun 2018),High Estimate,1.05B
4,443,9,2,2018-07-03 02:24:37,Current Qtr. (Jun 2018),Year Ago Sales,994.2M
5,443,9,2,2018-07-03 02:24:37,Current Qtr. (Jun 2018),Sales Growth (year/est),3.20%
6,443,9,2,2018-07-03 02:24:37,Next Qtr. (Sep 2018),No. of Analysts,13
7,443,9,2,2018-07-03 02:24:37,Next Qtr. (Sep 2018),Avg. Estimate,1.06B
8,443,9,2,2018-07-03 02:24:37,Next Qtr. (Sep 2018),Low Estimate,1.03B
9,443,9,2,2018-07-03 02:24:37,Next Qtr. (Sep 2018),High Estimate,1.1B
