,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,454,5,2,2018-07-03 02:28:43,2017-12-30,Total Revenue,9373784
1,454,5,2,2018-07-03 02:28:43,2017-12-30,Cost of Revenue,5288735
2,454,5,2,2018-07-03 02:28:43,2017-12-30,Gross Profit,4085049
3,454,5,2,2018-07-03 02:28:43,2017-12-30,Research Development,-
4,454,5,2,2018-07-03 02:28:43,2017-12-30,Selling General and Administrative,3514837
5,454,5,2,2018-07-03 02:28:43,2017-12-30,Non Recurring,-
6,454,5,2,2018-07-03 02:28:43,2017-12-30,Others,-
7,454,5,2,2018-07-03 02:28:43,2017-12-30,Total Operating Expenses,-
8,454,5,2,2018-07-03 02:28:43,2017-12-30,Operating Income or Loss,570212
9,454,5,2,2018-07-03 02:28:43,2017-12-30,Total Other Income/Expenses Net,8848
10,454,5,2,2018-07-03 02:28:43,2017-12-30,Earnings Before Interest and Taxes,579060
11,454,5,2,2018-07-03 02:28:43,2017-12-30,Interest Expense,58801
12,454,5,2,2018-07-03 02:28:43,2017-12-30,Income Before Tax,520259
13,454,5,2,2018-07-03 02:28:43,2017-12-30,Income Tax Expense,44754
14,454,5,2,2018-07-03 02:28:43,2017-12-30,Minority Interest,-
15,454,5,2,2018-07-03 02:28:43,2017-12-30,Net Income From Continuing Ops,475505
16,454,5,2,2018-07-03 02:28:43,2017-12-30,Discontinued Operations,-
17,454,5,2,2018-07-03 02:28:43,2017-12-30,Extraordinary Items,-
18,454,5,2,2018-07-03 02:28:43,2017-12-30,Effect Of Accounting Changes,-
19,454,5,2,2018-07-03 02:28:43,2017-12-30,Other Items,-
20,454,5,2,2018-07-03 02:28:43,2017-12-30,Net Income,475505
21,454,5,2,2018-07-03 02:28:43,2017-12-30,Preferred Stock And Other Adjustments,-
22,454,5,2,2018-07-03 02:28:43,2017-12-30,Net Income Applicable To Common Shares,475505
23,454,5,2,2018-07-03 02:28:43,2016-12-31,Total Revenue,9567679
24,454,5,2,2018-07-03 02:28:43,2016-12-31,Cost of Revenue,5311764
25,454,5,2,2018-07-03 02:28:43,2016-12-31,Gross Profit,4255915
26,454,5,2,2018-07-03 02:28:43,2016-12-31,Research Development,-
27,454,5,2,2018-07-03 02:28:43,2016-12-31,Selling General and Administrative,3468317
28,454,5,2,2018-07-03 02:28:43,2016-12-31,Non Recurring,-
29,454,5,2,2018-07-03 02:28:43,2016-12-31,Others,-
30,454,5,2,2018-07-03 02:28:43,2016-12-31,Total Operating Expenses,-
31,454,5,2,2018-07-03 02:28:43,2016-12-31,Operating Income or Loss,787598
32,454,5,2,2018-07-03 02:28:43,2016-12-31,Total Other Income/Expenses Net,11147
33,454,5,2,2018-07-03 02:28:43,2016-12-31,Earnings Before Interest and Taxes,798745
34,454,5,2,2018-07-03 02:28:43,2016-12-31,Interest Expense,59910
35,454,5,2,2018-07-03 02:28:43,2016-12-31,Income Before Tax,738835
36,454,5,2,2018-07-03 02:28:43,2016-12-31,Income Tax Expense,279213
37,454,5,2,2018-07-03 02:28:43,2016-12-31,Minority Interest,-
38,454,5,2,2018-07-03 02:28:43,2016-12-31,Net Income From Continuing Ops,459622
39,454,5,2,2018-07-03 02:28:43,2016-12-31,Discontinued Operations,-
40,454,5,2,2018-07-03 02:28:43,2016-12-31,Extraordinary Items,-
41,454,5,2,2018-07-03 02:28:43,2016-12-31,Effect Of Accounting Changes,-
42,454,5,2,2018-07-03 02:28:43,2016-12-31,Other Items,-
43,454,5,2,2018-07-03 02:28:43,2016-12-31,Net Income,459622
44,454,5,2,2018-07-03 02:28:43,2016-12-31,Preferred Stock And Other Adjustments,-
45,454,5,2,2018-07-03 02:28:43,2016-12-31,Net Income Applicable To Common Shares,459622
46,454,5,2,2018-07-03 02:28:43,2016-01-02,Total Revenue,9737018
47,454,5,2,2018-07-03 02:28:43,2016-01-02,Cost of Revenue,5314246
48,454,5,2,2018-07-03 02:28:43,2016-01-02,Gross Profit,4422772
