,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,64,5,2,2018-07-03 00:00:30,2017-09-30,Total Revenue,153143826
1,64,5,2,2018-07-03 00:00:30,2017-09-30,Cost of Revenue,148597824
2,64,5,2,2018-07-03 00:00:30,2017-09-30,Gross Profit,4546002
3,64,5,2,2018-07-03 00:00:30,2017-09-30,Research Development,-
4,64,5,2,2018-07-03 00:00:30,2017-09-30,Selling General and Administrative,3088057
5,64,5,2,2018-07-03 00:00:30,2017-09-30,Non Recurring,-
6,64,5,2,2018-07-03 00:00:30,2017-09-30,Others,397603
7,64,5,2,2018-07-03 00:00:30,2017-09-30,Total Operating Expenses,-
8,64,5,2,2018-07-03 00:00:30,2017-09-30,Operating Income or Loss,1060342
9,64,5,2,2018-07-03 00:00:30,2017-09-30,Total Other Income/Expenses Net,2730
10,64,5,2,2018-07-03 00:00:30,2017-09-30,Earnings Before Interest and Taxes,1063072
11,64,5,2,2018-07-03 00:00:30,2017-09-30,Interest Expense,145185
12,64,5,2,2018-07-03 00:00:30,2017-09-30,Income Before Tax,917887
13,64,5,2,2018-07-03 00:00:30,2017-09-30,Income Tax Expense,553403
14,64,5,2,2018-07-03 00:00:30,2017-09-30,Minority Interest,-
15,64,5,2,2018-07-03 00:00:30,2017-09-30,Net Income From Continuing Ops,364484
16,64,5,2,2018-07-03 00:00:30,2017-09-30,Discontinued Operations,-
17,64,5,2,2018-07-03 00:00:30,2017-09-30,Extraordinary Items,-
18,64,5,2,2018-07-03 00:00:30,2017-09-30,Effect Of Accounting Changes,-
19,64,5,2,2018-07-03 00:00:30,2017-09-30,Other Items,-
20,64,5,2,2018-07-03 00:00:30,2017-09-30,Net Income,364484
21,64,5,2,2018-07-03 00:00:30,2017-09-30,Preferred Stock And Other Adjustments,-
22,64,5,2,2018-07-03 00:00:30,2017-09-30,Net Income Applicable To Common Shares,364484
23,64,5,2,2018-07-03 00:00:30,2016-09-30,Total Revenue,146849686
24,64,5,2,2018-07-03 00:00:30,2016-09-30,Cost of Revenue,142577080
25,64,5,2,2018-07-03 00:00:30,2016-09-30,Gross Profit,4272606
26,64,5,2,2018-07-03 00:00:30,2016-09-30,Research Development,-
27,64,5,2,2018-07-03 00:00:30,2016-09-30,Selling General and Administrative,2382097
28,64,5,2,2018-07-03 00:00:30,2016-09-30,Non Recurring,-
29,64,5,2,2018-07-03 00:00:30,2016-09-30,Others,364735
30,64,5,2,2018-07-03 00:00:30,2016-09-30,Total Operating Expenses,-
31,64,5,2,2018-07-03 00:00:30,2016-09-30,Operating Income or Loss,1525774
32,64,5,2,2018-07-03 00:00:30,2016-09-30,Total Other Income/Expenses Net,5048
33,64,5,2,2018-07-03 00:00:30,2016-09-30,Earnings Before Interest and Taxes,1530822
34,64,5,2,2018-07-03 00:00:30,2016-09-30,Interest Expense,139912
35,64,5,2,2018-07-03 00:00:30,2016-09-30,Income Before Tax,1390910
36,64,5,2,2018-07-03 00:00:30,2016-09-30,Income Tax Expense,-37019
37,64,5,2,2018-07-03 00:00:30,2016-09-30,Minority Interest,-
38,64,5,2,2018-07-03 00:00:30,2016-09-30,Net Income From Continuing Ops,1427929
39,64,5,2,2018-07-03 00:00:30,2016-09-30,Discontinued Operations,-
40,64,5,2,2018-07-03 00:00:30,2016-09-30,Extraordinary Items,-
41,64,5,2,2018-07-03 00:00:30,2016-09-30,Effect Of Accounting Changes,-
