,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,69,5,2,2018-07-03 00:03:58,2017-12-31,Total Revenue,27390000
1,69,5,2,2018-07-03 00:03:58,2017-12-31,Cost of Revenue,12337000
2,69,5,2,2018-07-03 00:03:58,2017-12-31,Gross Profit,15053000
3,69,5,2,2018-07-03 00:03:58,2017-12-31,Research Development,2235000
4,69,5,2,2018-07-03 00:03:58,2017-12-31,Selling General and Administrative,9117000
5,69,5,2,2018-07-03 00:03:58,2017-12-31,Non Recurring,-
6,69,5,2,2018-07-03 00:03:58,2017-12-31,Others,1975000
7,69,5,2,2018-07-03 00:03:58,2017-12-31,Total Operating Expenses,-
8,69,5,2,2018-07-03 00:03:58,2017-12-31,Operating Income or Loss,1726000
9,69,5,2,2018-07-03 00:03:58,2017-12-31,Total Other Income/Expenses Net,1409000
10,69,5,2,2018-07-03 00:03:58,2017-12-31,Earnings Before Interest and Taxes,3135000
11,69,5,2,2018-07-03 00:03:58,2017-12-31,Interest Expense,904000
12,69,5,2,2018-07-03 00:03:58,2017-12-31,Income Before Tax,2231000
13,69,5,2,2018-07-03 00:03:58,2017-12-31,Income Tax Expense,1878000
14,69,5,2,2018-07-03 00:03:58,2017-12-31,Minority Interest,201000
15,69,5,2,2018-07-03 00:03:58,2017-12-31,Net Income From Continuing Ops,353000
16,69,5,2,2018-07-03 00:03:58,2017-12-31,Discontinued Operations,124000
17,69,5,2,2018-07-03 00:03:58,2017-12-31,Extraordinary Items,-
18,69,5,2,2018-07-03 00:03:58,2017-12-31,Effect Of Accounting Changes,-
19,69,5,2,2018-07-03 00:03:58,2017-12-31,Other Items,-
20,69,5,2,2018-07-03 00:03:58,2017-12-31,Net Income,477000
21,69,5,2,2018-07-03 00:03:58,2017-12-31,Preferred Stock And Other Adjustments,-
22,69,5,2,2018-07-03 00:03:58,2017-12-31,Net Income Applicable To Common Shares,477000
23,69,5,2,2018-07-03 00:03:58,2016-12-31,Total Revenue,20853000
