,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,68,5,2,2018-07-03 00:03:37,2018-01-31,Total Revenue,2056600
1,68,5,2,2018-07-03 00:03:37,2018-01-31,Cost of Revenue,303400
2,68,5,2,2018-07-03 00:03:37,2018-01-31,Gross Profit,1753200
3,68,5,2,2018-07-03 00:03:37,2018-01-31,Research Development,755500
4,68,5,2,2018-07-03 00:03:37,2018-01-31,Selling General and Administrative,1392500
5,68,5,2,2018-07-03 00:03:37,2018-01-31,Non Recurring,94100
6,68,5,2,2018-07-03 00:03:37,2018-01-31,Others,20200
7,68,5,2,2018-07-03 00:03:37,2018-01-31,Total Operating Expenses,2262300
8,68,5,2,2018-07-03 00:03:37,2018-01-31,Operating Income or Loss,-509100
9,68,5,2,2018-07-03 00:03:37,2018-01-31,Total Other Income/Expenses Net,-
10,68,5,2,2018-07-03 00:03:37,2018-01-31,Earnings Before Interest and Taxes,-509100
11,68,5,2,2018-07-03 00:03:37,2018-01-31,Interest Expense,48200
12,68,5,2,2018-07-03 00:03:37,2018-01-31,Income Before Tax,-557300
13,68,5,2,2018-07-03 00:03:37,2018-01-31,Income Tax Expense,9600
14,68,5,2,2018-07-03 00:03:37,2018-01-31,Minority Interest,-
15,68,5,2,2018-07-03 00:03:37,2018-01-31,Net Income From Continuing Ops,-566900
16,68,5,2,2018-07-03 00:03:37,2018-01-31,Discontinued Operations,-
17,68,5,2,2018-07-03 00:03:37,2018-01-31,Extraordinary Items,-
18,68,5,2,2018-07-03 00:03:37,2018-01-31,Effect Of Accounting Changes,-
19,68,5,2,2018-07-03 00:03:37,2018-01-31,Other Items,-
20,68,5,2,2018-07-03 00:03:37,2018-01-31,Net Income,-566900
21,68,5,2,2018-07-03 00:03:37,2018-01-31,Preferred Stock And Other Adjustments,-
22,68,5,2,2018-07-03 00:03:37,2018-01-31,Net Income Applicable To Common Shares,-566900
23,68,5,2,2018-07-03 00:03:37,2017-01-31,Total Revenue,2031000
24,68,5,2,2018-07-03 00:03:37,2017-01-31,Cost of Revenue,341900
25,68,5,2,2018-07-03 00:03:37,2017-01-31,Gross Profit,1689100
26,68,5,2,2018-07-03 00:03:37,2017-01-31,Research Development,766100
27,68,5,2,2018-07-03 00:03:37,2017-01-31,Selling General and Administrative,1310300
28,68,5,2,2018-07-03 00:03:37,2017-01-31,Non Recurring,80500
29,68,5,2,2018-07-03 00:03:37,2017-01-31,Others,31800
30,68,5,2,2018-07-03 00:03:37,2017-01-31,Total Operating Expenses,2188700
31,68,5,2,2018-07-03 00:03:37,2017-01-31,Operating Income or Loss,-499600
32,68,5,2,2018-07-03 00:03:37,2017-01-31,Total Other Income/Expenses Net,-
33,68,5,2,2018-07-03 00:03:37,2017-01-31,Earnings Before Interest and Taxes,-499600
34,68,5,2,2018-07-03 00:03:37,2017-01-31,Interest Expense,24200
35,68,5,2,2018-07-03 00:03:37,2017-01-31,Income Before Tax,-523800
36,68,5,2,2018-07-03 00:03:37,2017-01-31,Income Tax Expense,58300
37,68,5,2,2018-07-03 00:03:37,2017-01-31,Minority Interest,-
38,68,5,2,2018-07-03 00:03:37,2017-01-31,Net Income From Continuing Ops,-582100
39,68,5,2,2018-07-03 00:03:37,2017-01-31,Discontinued Operations,-
40,68,5,2,2018-07-03 00:03:37,2017-01-31,Extraordinary Items,-
41,68,5,2,2018-07-03 00:03:37,2017-01-31,Effect Of Accounting Changes,-
42,68,5,2,2018-07-03 00:03:37,2017-01-31,Other Items,-
43,68,5,2,2018-07-03 00:03:37,2017-01-31,Net Income,-582100
44,68,5,2,2018-07-03 00:03:37,2017-01-31,Preferred Stock And Other Adjustments,-
45,68,5,2,2018-07-03 00:03:37,2017-01-31,Net Income Applicable To Common Shares,-582100
46,68,5,2,2018-07-03 00:03:37,2016-01-31,Total Revenue,2504100
47,68,5,2,2018-07-03 00:03:37,2016-01-31,Cost of Revenue,370700
48,68,5,2,2018-07-03 00:03:37,2016-01-31,Gross Profit,2133400
49,68,5,2,2018-07-03 00:03:37,2016-01-31,Research Development,790000
50,68,5,2,2018-07-03 00:03:37,2016-01-31,Selling General and Administrative,1308900
51,68,5,2,2018-07-03 00:03:37,2016-01-31,Non Recurring,80500
52,68,5,2,2018-07-03 00:03:37,2016-01-31,Others,33200
53,68,5,2,2018-07-03 00:03:37,2016-01-31,Total Operating Expenses,-
54,68,5,2,2018-07-03 00:03:37,2016-01-31,Operating Income or Loss,1300
55,68,5,2,2018-07-03 00:03:37,2016-01-31,Total Other Income/Expenses Net,-
56,68,5,2,2018-07-03 00:03:37,2016-01-31,Earnings Before Interest and Taxes,1300
57,68,5,2,2018-07-03 00:03:37,2016-01-31,Interest Expense,21600
