,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,111,5,2,2018-07-03 00:19:59,2017-09-30,Total Revenue,12093000
1,111,5,2,2018-07-03 00:19:59,2017-09-30,Cost of Revenue,6151000
2,111,5,2,2018-07-03 00:19:59,2017-09-30,Gross Profit,5942000
3,111,5,2,2018-07-03 00:19:59,2017-09-30,Research Development,774000
4,111,5,2,2018-07-03 00:19:59,2017-09-30,Selling General and Administrative,3335000
5,111,5,2,2018-07-03 00:19:59,2017-09-30,Non Recurring,354000
6,111,5,2,2018-07-03 00:19:59,2017-09-30,Others,-
7,111,5,2,2018-07-03 00:19:59,2017-09-30,Total Operating Expenses,-
8,111,5,2,2018-07-03 00:19:59,2017-09-30,Operating Income or Loss,1478000
9,111,5,2,2018-07-03 00:19:59,2017-09-30,Total Other Income/Expenses Net,19000
10,111,5,2,2018-07-03 00:19:59,2017-09-30,Earnings Before Interest and Taxes,1497000
11,111,5,2,2018-07-03 00:19:59,2017-09-30,Interest Expense,521000
12,111,5,2,2018-07-03 00:19:59,2017-09-30,Income Before Tax,976000
13,111,5,2,2018-07-03 00:19:59,2017-09-30,Income Tax Expense,-124000
14,111,5,2,2018-07-03 00:19:59,2017-09-30,Minority Interest,-
15,111,5,2,2018-07-03 00:19:59,2017-09-30,Net Income From Continuing Ops,1100000
16,111,5,2,2018-07-03 00:19:59,2017-09-30,Discontinued Operations,-
17,111,5,2,2018-07-03 00:19:59,2017-09-30,Extraordinary Items,-
18,111,5,2,2018-07-03 00:19:59,2017-09-30,Effect Of Accounting Changes,-
19,111,5,2,2018-07-03 00:19:59,2017-09-30,Other Items,-
20,111,5,2,2018-07-03 00:19:59,2017-09-30,Net Income,1100000
21,111,5,2,2018-07-03 00:19:59,2017-09-30,Preferred Stock And Other Adjustments,-
22,111,5,2,2018-07-03 00:19:59,2017-09-30,Net Income Applicable To Common Shares,1030000
23,111,5,2,2018-07-03 00:19:59,2016-09-30,Total Revenue,12483000
24,111,5,2,2018-07-03 00:19:59,2016-09-30,Cost of Revenue,6492000
25,111,5,2,2018-07-03 00:19:59,2016-09-30,Gross Profit,5991000
26,111,5,2,2018-07-03 00:19:59,2016-09-30,Research Development,828000
27,111,5,2,2018-07-03 00:19:59,2016-09-30,Selling General and Administrative,3005000
28,111,5,2,2018-07-03 00:19:59,2016-09-30,Non Recurring,728000
29,111,5,2,2018-07-03 00:19:59,2016-09-30,Others,-
30,111,5,2,2018-07-03 00:19:59,2016-09-30,Total Operating Expenses,-
31,111,5,2,2018-07-03 00:19:59,2016-09-30,Operating Income or Loss,1430000
32,111,5,2,2018-07-03 00:19:59,2016-09-30,Total Other Income/Expenses Net,32000
33,111,5,2,2018-07-03 00:19:59,2016-09-30,Earnings Before Interest and Taxes,1462000
34,111,5,2,2018-07-03 00:19:59,2016-09-30,Interest Expense,388000
35,111,5,2,2018-07-03 00:19:59,2016-09-30,Income Before Tax,1074000
36,111,5,2,2018-07-03 00:19:59,2016-09-30,Income Tax Expense,97000
37,111,5,2,2018-07-03 00:19:59,2016-09-30,Minority Interest,-
38,111,5,2,2018-07-03 00:19:59,2016-09-30,Net Income From Continuing Ops,977000
39,111,5,2,2018-07-03 00:19:59,2016-09-30,Discontinued Operations,-
40,111,5,2,2018-07-03 00:19:59,2016-09-30,Extraordinary Items,-
41,111,5,2,2018-07-03 00:19:59,2016-09-30,Effect Of Accounting Changes,-
42,111,5,2,2018-07-03 00:19:59,2016-09-30,Other Items,-
43,111,5,2,2018-07-03 00:19:59,2016-09-30,Net Income,976000
44,111,5,2,2018-07-03 00:19:59,2016-09-30,Preferred Stock And Other Adjustments,-
45,111,5,2,2018-07-03 00:19:59,2016-09-30,Net Income Applicable To Common Shares,976000
46,111,5,2,2018-07-03 00:19:59,2015-09-30,Total Revenue,10282000
47,111,5,2,2018-07-03 00:19:59,2015-09-30,Cost of Revenue,5587000
48,111,5,2,2018-07-03 00:19:59,2015-09-30,Gross Profit,4695000
49,111,5,2,2018-07-03 00:19:59,2015-09-30,Research Development,632000
50,111,5,2,2018-07-03 00:19:59,2015-09-30,Selling General and Administrative,2563000
51,111,5,2,2018-07-03 00:19:59,2015-09-30,Non Recurring,426000
52,111,5,2,2018-07-03 00:19:59,2015-09-30,Others,-
53,111,5,2,2018-07-03 00:19:59,2015-09-30,Total Operating Expenses,-
54,111,5,2,2018-07-03 00:19:59,2015-09-30,Operating Income or Loss,1074000
