,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,154,5,2,2018-07-03 00:36:02,2017-05-31,Total Revenue,5323381
1,154,5,2,2018-07-03 00:36:02,2017-05-31,Cost of Revenue,2943086
2,154,5,2,2018-07-03 00:36:02,2017-05-31,Gross Profit,2380295
3,154,5,2,2018-07-03 00:36:02,2017-05-31,Research Development,-
4,154,5,2,2018-07-03 00:36:02,2017-05-31,Selling General and Administrative,1527380
5,154,5,2,2018-07-03 00:36:02,2017-05-31,Non Recurring,-
6,154,5,2,2018-07-03 00:36:02,2017-05-31,Others,-
7,154,5,2,2018-07-03 00:36:02,2017-05-31,Total Operating Expenses,4470466
8,154,5,2,2018-07-03 00:36:02,2017-05-31,Operating Income or Loss,852915
9,154,5,2,2018-07-03 00:36:02,2017-05-31,Total Other Income/Expenses Net,-165511
10,154,5,2,2018-07-03 00:36:02,2017-05-31,Earnings Before Interest and Taxes,852915
11,154,5,2,2018-07-03 00:36:02,2017-05-31,Interest Expense,-86524
12,154,5,2,2018-07-03 00:36:02,2017-05-31,Income Before Tax,687404
13,154,5,2,2018-07-03 00:36:02,2017-05-31,Income Tax Expense,230118
14,154,5,2,2018-07-03 00:36:02,2017-05-31,Minority Interest,-
15,154,5,2,2018-07-03 00:36:02,2017-05-31,Net Income From Continuing Ops,457286
16,154,5,2,2018-07-03 00:36:02,2017-05-31,Discontinued Operations,23422
17,154,5,2,2018-07-03 00:36:02,2017-05-31,Extraordinary Items,-
18,154,5,2,2018-07-03 00:36:02,2017-05-31,Effect Of Accounting Changes,-
19,154,5,2,2018-07-03 00:36:02,2017-05-31,Other Items,-
20,154,5,2,2018-07-03 00:36:02,2017-05-31,Net Income,480708
21,154,5,2,2018-07-03 00:36:02,2017-05-31,Preferred Stock And Other Adjustments,-
22,154,5,2,2018-07-03 00:36:02,2017-05-31,Net Income Applicable To Common Shares,472540
23,154,5,2,2018-07-03 00:36:02,2016-05-31,Total Revenue,4795772
24,154,5,2,2018-07-03 00:36:02,2016-05-31,Cost of Revenue,2694432
25,154,5,2,2018-07-03 00:36:02,2016-05-31,Gross Profit,2101340
