,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,158,5,2,2018-07-03 00:37:29,2017-12-31,Total Revenue,18329700
1,158,5,2,2018-07-03 00:37:29,2017-12-31,Cost of Revenue,8099200
2,158,5,2,2018-07-03 00:37:29,2017-12-31,Gross Profit,10230500
3,158,5,2,2018-07-03 00:37:29,2017-12-31,Research Development,1128800
4,158,5,2,2018-07-03 00:37:29,2017-12-31,Selling General and Administrative,5921400
5,158,5,2,2018-07-03 00:37:29,2017-12-31,Non Recurring,-
6,158,5,2,2018-07-03 00:37:29,2017-12-31,Others,-
7,158,5,2,2018-07-03 00:37:29,2017-12-31,Total Operating Expenses,15149400
8,158,5,2,2018-07-03 00:37:29,2017-12-31,Operating Income or Loss,3180300
9,158,5,2,2018-07-03 00:37:29,2017-12-31,Total Other Income/Expenses Net,-241500
10,158,5,2,2018-07-03 00:37:29,2017-12-31,Earnings Before Interest and Taxes,3180300
11,158,5,2,2018-07-03 00:37:29,2017-12-31,Interest Expense,-162700
12,158,5,2,2018-07-03 00:37:29,2017-12-31,Income Before Tax,2938800
13,158,5,2,2018-07-03 00:37:29,2017-12-31,Income Tax Expense,469000
14,158,5,2,2018-07-03 00:37:29,2017-12-31,Minority Interest,9600
15,158,5,2,2018-07-03 00:37:29,2017-12-31,Net Income From Continuing Ops,2469800
16,158,5,2,2018-07-03 00:37:29,2017-12-31,Discontinued Operations,22300
17,158,5,2,2018-07-03 00:37:29,2017-12-31,Extraordinary Items,-
18,158,5,2,2018-07-03 00:37:29,2017-12-31,Effect Of Accounting Changes,-
19,158,5,2,2018-07-03 00:37:29,2017-12-31,Other Items,-
20,158,5,2,2018-07-03 00:37:29,2017-12-31,Net Income,2492100
21,158,5,2,2018-07-03 00:37:29,2017-12-31,Preferred Stock And Other Adjustments,-
22,158,5,2,2018-07-03 00:37:29,2017-12-31,Net Income Applicable To Common Shares,2492100
23,158,5,2,2018-07-03 00:37:29,2016-12-31,Total Revenue,16882400
24,158,5,2,2018-07-03 00:37:29,2016-12-31,Cost of Revenue,7522400
25,158,5,2,2018-07-03 00:37:29,2016-12-31,Gross Profit,9360000
26,158,5,2,2018-07-03 00:37:29,2016-12-31,Research Development,975100
27,158,5,2,2018-07-03 00:37:29,2016-12-31,Selling General and Administrative,5420600
28,158,5,2,2018-07-03 00:37:29,2016-12-31,Non Recurring,-
29,158,5,2,2018-07-03 00:37:29,2016-12-31,Others,-
30,158,5,2,2018-07-03 00:37:29,2016-12-31,Total Operating Expenses,13918100
31,158,5,2,2018-07-03 00:37:29,2016-12-31,Operating Income or Loss,2964300
32,158,5,2,2018-07-03 00:37:29,2016-12-31,Total Other Income/Expenses Net,-353000
33,158,5,2,2018-07-03 00:37:29,2016-12-31,Earnings Before Interest and Taxes,2964300
34,158,5,2,2018-07-03 00:37:29,2016-12-31,Interest Expense,-184400
35,158,5,2,2018-07-03 00:37:29,2016-12-31,Income Before Tax,2611300
36,158,5,2,2018-07-03 00:37:29,2016-12-31,Income Tax Expense,457900
37,158,5,2,2018-07-03 00:37:29,2016-12-31,Minority Interest,74000
38,158,5,2,2018-07-03 00:37:29,2016-12-31,Net Income From Continuing Ops,2153400
39,158,5,2,2018-07-03 00:37:29,2016-12-31,Discontinued Operations,400300
