,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,160,5,2,2018-07-03 00:38:14,2017-09-30,Total Revenue,55137000
1,160,5,2,2018-07-03 00:38:14,2017-09-30,Cost of Revenue,30306000
2,160,5,2,2018-07-03 00:38:14,2017-09-30,Gross Profit,24831000
3,160,5,2,2018-07-03 00:38:14,2017-09-30,Research Development,-
4,160,5,2,2018-07-03 00:38:14,2017-09-30,Selling General and Administrative,8176000
5,160,5,2,2018-07-03 00:38:14,2017-09-30,Non Recurring,98000
6,160,5,2,2018-07-03 00:38:14,2017-09-30,Others,2782000
7,160,5,2,2018-07-03 00:38:14,2017-09-30,Total Operating Expenses,-
8,160,5,2,2018-07-03 00:38:14,2017-09-30,Operating Income or Loss,13775000
9,160,5,2,2018-07-03 00:38:14,2017-09-30,Total Other Income/Expenses Net,78000
10,160,5,2,2018-07-03 00:38:14,2017-09-30,Earnings Before Interest and Taxes,14173000
11,160,5,2,2018-07-03 00:38:14,2017-09-30,Interest Expense,385000
12,160,5,2,2018-07-03 00:38:14,2017-09-30,Income Before Tax,13788000
13,160,5,2,2018-07-03 00:38:14,2017-09-30,Income Tax Expense,4422000
14,160,5,2,2018-07-03 00:38:14,2017-09-30,Minority Interest,3689000
15,160,5,2,2018-07-03 00:38:14,2017-09-30,Net Income From Continuing Ops,9300000
16,160,5,2,2018-07-03 00:38:14,2017-09-30,Discontinued Operations,-
17,160,5,2,2018-07-03 00:38:14,2017-09-30,Extraordinary Items,-
18,160,5,2,2018-07-03 00:38:14,2017-09-30,Effect Of Accounting Changes,-
19,160,5,2,2018-07-03 00:38:14,2017-09-30,Other Items,-
20,160,5,2,2018-07-03 00:38:14,2017-09-30,Net Income,8980000
21,160,5,2,2018-07-03 00:38:14,2017-09-30,Preferred Stock And Other Adjustments,-
22,160,5,2,2018-07-03 00:38:14,2017-09-30,Net Income Applicable To Common Shares,8980000
23,160,5,2,2018-07-03 00:38:14,2016-10-01,Total Revenue,55632000
24,160,5,2,2018-07-03 00:38:14,2016-10-01,Cost of Revenue,29993000
25,160,5,2,2018-07-03 00:38:14,2016-10-01,Gross Profit,25639000
26,160,5,2,2018-07-03 00:38:14,2016-10-01,Research Development,-
27,160,5,2,2018-07-03 00:38:14,2016-10-01,Selling General and Administrative,8754000
28,160,5,2,2018-07-03 00:38:14,2016-10-01,Non Recurring,156000
29,160,5,2,2018-07-03 00:38:14,2016-10-01,Others,2527000
30,160,5,2,2018-07-03 00:38:14,2016-10-01,Total Operating Expenses,-
31,160,5,2,2018-07-03 00:38:14,2016-10-01,Operating Income or Loss,14202000
32,160,5,2,2018-07-03 00:38:14,2016-10-01,Total Other Income/Expenses Net,78000
33,160,5,2,2018-07-03 00:38:14,2016-10-01,Earnings Before Interest and Taxes,15128000
34,160,5,2,2018-07-03 00:38:14,2016-10-01,Interest Expense,260000
35,160,5,2,2018-07-03 00:38:14,2016-10-01,Income Before Tax,14868000
36,160,5,2,2018-07-03 00:38:14,2016-10-01,Income Tax Expense,5078000
37,160,5,2,2018-07-03 00:38:14,2016-10-01,Minority Interest,4058000
38,160,5,2,2018-07-03 00:38:14,2016-10-01,Net Income From Continuing Ops,10317000
39,160,5,2,2018-07-03 00:38:14,2016-10-01,Discontinued Operations,-
40,160,5,2,2018-07-03 00:38:14,2016-10-01,Extraordinary Items,-
41,160,5,2,2018-07-03 00:38:14,2016-10-01,Effect Of Accounting Changes,-
42,160,5,2,2018-07-03 00:38:14,2016-10-01,Other Items,-
43,160,5,2,2018-07-03 00:38:14,2016-10-01,Net Income,9391000
44,160,5,2,2018-07-03 00:38:14,2016-10-01,Preferred Stock And Other Adjustments,-
45,160,5,2,2018-07-03 00:38:14,2016-10-01,Net Income Applicable To Common Shares,9391000
