,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,178,5,2,2018-07-03 00:44:53,2018-03-31,Total Revenue,5150000
1,178,5,2,2018-07-03 00:44:53,2018-03-31,Cost of Revenue,1277000
2,178,5,2,2018-07-03 00:44:53,2018-03-31,Gross Profit,3873000
3,178,5,2,2018-07-03 00:44:53,2018-03-31,Research Development,1320000
4,178,5,2,2018-07-03 00:44:53,2018-03-31,Selling General and Administrative,1110000
5,178,5,2,2018-07-03 00:44:53,2018-03-31,Non Recurring,-
6,178,5,2,2018-07-03 00:44:53,2018-03-31,Others,9000
7,178,5,2,2018-07-03 00:44:53,2018-03-31,Total Operating Expenses,-
8,178,5,2,2018-07-03 00:44:53,2018-03-31,Operating Income or Loss,1434000
9,178,5,2,2018-07-03 00:44:53,2018-03-31,Total Other Income/Expenses Net,-
10,178,5,2,2018-07-03 00:44:53,2018-03-31,Earnings Before Interest and Taxes,1449000
11,178,5,2,2018-07-03 00:44:53,2018-03-31,Interest Expense,-
12,178,5,2,2018-07-03 00:44:53,2018-03-31,Income Before Tax,1449000
13,178,5,2,2018-07-03 00:44:53,2018-03-31,Income Tax Expense,406000
14,178,5,2,2018-07-03 00:44:53,2018-03-31,Minority Interest,-
15,178,5,2,2018-07-03 00:44:53,2018-03-31,Net Income From Continuing Ops,1043000
16,178,5,2,2018-07-03 00:44:53,2018-03-31,Discontinued Operations,-
17,178,5,2,2018-07-03 00:44:53,2018-03-31,Extraordinary Items,-
18,178,5,2,2018-07-03 00:44:53,2018-03-31,Effect Of Accounting Changes,-
19,178,5,2,2018-07-03 00:44:53,2018-03-31,Other Items,-
20,178,5,2,2018-07-03 00:44:53,2018-03-31,Net Income,1043000
21,178,5,2,2018-07-03 00:44:53,2018-03-31,Preferred Stock And Other Adjustments,-
22,178,5,2,2018-07-03 00:44:53,2018-03-31,Net Income Applicable To Common Shares,1043000
23,178,5,2,2018-07-03 00:44:53,2017-03-31,Total Revenue,4845000
24,178,5,2,2018-07-03 00:44:53,2017-03-31,Cost of Revenue,1298000
25,178,5,2,2018-07-03 00:44:53,2017-03-31,Gross Profit,3547000
26,178,5,2,2018-07-03 00:44:53,2017-03-31,Research Development,1205000
27,178,5,2,2018-07-03 00:44:53,2017-03-31,Selling General and Administrative,1112000
28,178,5,2,2018-07-03 00:44:53,2017-03-31,Non Recurring,-
29,178,5,2,2018-07-03 00:44:53,2017-03-31,Others,6000
30,178,5,2,2018-07-03 00:44:53,2017-03-31,Total Operating Expenses,-
31,178,5,2,2018-07-03 00:44:53,2017-03-31,Operating Income or Loss,1224000
32,178,5,2,2018-07-03 00:44:53,2017-03-31,Total Other Income/Expenses Net,-
33,178,5,2,2018-07-03 00:44:53,2017-03-31,Earnings Before Interest and Taxes,1210000
34,178,5,2,2018-07-03 00:44:53,2017-03-31,Interest Expense,-
35,178,5,2,2018-07-03 00:44:53,2017-03-31,Income Before Tax,1210000
36,178,5,2,2018-07-03 00:44:53,2017-03-31,Income Tax Expense,243000
37,178,5,2,2018-07-03 00:44:53,2017-03-31,Minority Interest,-
38,178,5,2,2018-07-03 00:44:53,2017-03-31,Net Income From Continuing Ops,967000
39,178,5,2,2018-07-03 00:44:53,2017-03-31,Discontinued Operations,-
40,178,5,2,2018-07-03 00:44:53,2017-03-31,Extraordinary Items,-
41,178,5,2,2018-07-03 00:44:53,2017-03-31,Effect Of Accounting Changes,-
42,178,5,2,2018-07-03 00:44:53,2017-03-31,Other Items,-
43,178,5,2,2018-07-03 00:44:53,2017-03-31,Net Income,967000
44,178,5,2,2018-07-03 00:44:53,2017-03-31,Preferred Stock And Other Adjustments,-
45,178,5,2,2018-07-03 00:44:53,2017-03-31,Net Income Applicable To Common Shares,967000
46,178,5,2,2018-07-03 00:44:53,2016-03-31,Total Revenue,4396000
47,178,5,2,2018-07-03 00:44:53,2016-03-31,Cost of Revenue,1354000
48,178,5,2,2018-07-03 00:44:53,2016-03-31,Gross Profit,3042000
49,178,5,2,2018-07-03 00:44:53,2016-03-31,Research Development,1109000
50,178,5,2,2018-07-03 00:44:53,2016-03-31,Selling General and Administrative,1028000
51,178,5,2,2018-07-03 00:44:53,2016-03-31,Non Recurring,-
52,178,5,2,2018-07-03 00:44:53,2016-03-31,Others,7000
53,178,5,2,2018-07-03 00:44:53,2016-03-31,Total Operating Expenses,-
54,178,5,2,2018-07-03 00:44:53,2016-03-31,Operating Income or Loss,898000
55,178,5,2,2018-07-03 00:44:53,2016-03-31,Total Other Income/Expenses Net,-
56,178,5,2,2018-07-03 00:44:53,2016-03-31,Earnings Before Interest and Taxes,877000
57,178,5,2,2018-07-03 00:44:53,2016-03-31,Interest Expense,-
58,178,5,2,2018-07-03 00:44:53,2016-03-31,Income Before Tax,877000
59,178,5,2,2018-07-03 00:44:53,2016-03-31,Income Tax Expense,-279000
60,178,5,2,2018-07-03 00:44:53,2016-03-31,Minority Interest,-
61,178,5,2,2018-07-03 00:44:53,2016-03-31,Net Income From Continuing Ops,1156000
62,178,5,2,2018-07-03 00:44:53,2016-03-31,Discontinued Operations,-
63,178,5,2,2018-07-03 00:44:53,2016-03-31,Extraordinary Items,-
