,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,179,5,2,2018-07-03 00:45:16,2017-09-30,Total Revenue,15264000
1,179,5,2,2018-07-03 00:45:16,2017-09-30,Cost of Revenue,8786000
2,179,5,2,2018-07-03 00:45:16,2017-09-30,Gross Profit,6478000
3,179,5,2,2018-07-03 00:45:16,2017-09-30,Research Development,-
4,179,5,2,2018-07-03 00:45:16,2017-09-30,Selling General and Administrative,3618000
5,179,5,2,2018-07-03 00:45:16,2017-09-30,Non Recurring,-
6,179,5,2,2018-07-03 00:45:16,2017-09-30,Others,169000
7,179,5,2,2018-07-03 00:45:16,2017-09-30,Total Operating Expenses,12573000
8,179,5,2,2018-07-03 00:45:16,2017-09-30,Operating Income or Loss,2691000
9,179,5,2,2018-07-03 00:45:16,2017-09-30,Total Other Income/Expenses Net,-356000
10,179,5,2,2018-07-03 00:45:16,2017-09-30,Earnings Before Interest and Taxes,2691000
11,179,5,2,2018-07-03 00:45:16,2017-09-30,Interest Expense,-201000
12,179,5,2,2018-07-03 00:45:16,2017-09-30,Income Before Tax,2335000
13,179,5,2,2018-07-03 00:45:16,2017-09-30,Income Tax Expense,660000
14,179,5,2,2018-07-03 00:45:16,2017-09-30,Minority Interest,52000
15,179,5,2,2018-07-03 00:45:16,2017-09-30,Net Income From Continuing Ops,1675000
16,179,5,2,2018-07-03 00:45:16,2017-09-30,Discontinued Operations,-125000
17,179,5,2,2018-07-03 00:45:16,2017-09-30,Extraordinary Items,-
18,179,5,2,2018-07-03 00:45:16,2017-09-30,Effect Of Accounting Changes,-
19,179,5,2,2018-07-03 00:45:16,2017-09-30,Other Items,-
20,179,5,2,2018-07-03 00:45:16,2017-09-30,Net Income,1518000
21,179,5,2,2018-07-03 00:45:16,2017-09-30,Preferred Stock And Other Adjustments,-
22,179,5,2,2018-07-03 00:45:16,2017-09-30,Net Income Applicable To Common Shares,1518000
23,179,5,2,2018-07-03 00:45:16,2016-09-30,Total Revenue,14522000
24,179,5,2,2018-07-03 00:45:16,2016-09-30,Cost of Revenue,8260000
25,179,5,2,2018-07-03 00:45:16,2016-09-30,Gross Profit,6262000
26,179,5,2,2018-07-03 00:45:16,2016-09-30,Research Development,-
27,179,5,2,2018-07-03 00:45:16,2016-09-30,Selling General and Administrative,3464000
28,179,5,2,2018-07-03 00:45:16,2016-09-30,Non Recurring,-
29,179,5,2,2018-07-03 00:45:16,2016-09-30,Others,192000
30,179,5,2,2018-07-03 00:45:16,2016-09-30,Total Operating Expenses,11916000
31,179,5,2,2018-07-03 00:45:16,2016-09-30,Operating Income or Loss,2606000
32,179,5,2,2018-07-03 00:45:16,2016-09-30,Total Other Income/Expenses Net,-290000
33,179,5,2,2018-07-03 00:45:16,2016-09-30,Earnings Before Interest and Taxes,2606000
34,179,5,2,2018-07-03 00:45:16,2016-09-30,Interest Expense,-215000
35,179,5,2,2018-07-03 00:45:16,2016-09-30,Income Before Tax,2316000
36,179,5,2,2018-07-03 00:45:16,2016-09-30,Income Tax Expense,697000
37,179,5,2,2018-07-03 00:45:16,2016-09-30,Minority Interest,50000
38,179,5,2,2018-07-03 00:45:16,2016-09-30,Net Income From Continuing Ops,1619000
39,179,5,2,2018-07-03 00:45:16,2016-09-30,Discontinued Operations,45000
40,179,5,2,2018-07-03 00:45:16,2016-09-30,Extraordinary Items,-
41,179,5,2,2018-07-03 00:45:16,2016-09-30,Effect Of Accounting Changes,-
42,179,5,2,2018-07-03 00:45:16,2016-09-30,Other Items,-
43,179,5,2,2018-07-03 00:45:16,2016-09-30,Net Income,1635000
44,179,5,2,2018-07-03 00:45:16,2016-09-30,Preferred Stock And Other Adjustments,-
45,179,5,2,2018-07-03 00:45:16,2016-09-30,Net Income Applicable To Common Shares,1635000
46,179,5,2,2018-07-03 00:45:16,2015-09-30,Total Revenue,16249000
47,179,5,2,2018-07-03 00:45:16,2015-09-30,Cost of Revenue,9241000
48,179,5,2,2018-07-03 00:45:16,2015-09-30,Gross Profit,7008000
49,179,5,2,2018-07-03 00:45:16,2015-09-30,Research Development,-
50,179,5,2,2018-07-03 00:45:16,2015-09-30,Selling General and Administrative,3735000
51,179,5,2,2018-07-03 00:45:16,2015-09-30,Non Recurring,-
52,179,5,2,2018-07-03 00:45:16,2015-09-30,Others,206000
53,179,5,2,2018-07-03 00:45:16,2015-09-30,Total Operating Expenses,13182000
54,179,5,2,2018-07-03 00:45:16,2015-09-30,Operating Income or Loss,3067000
55,179,5,2,2018-07-03 00:45:16,2015-09-30,Total Other Income/Expenses Net,740000
56,179,5,2,2018-07-03 00:45:16,2015-09-30,Earnings Before Interest and Taxes,3067000
57,179,5,2,2018-07-03 00:45:16,2015-09-30,Interest Expense,-198000
58,179,5,2,2018-07-03 00:45:16,2015-09-30,Income Before Tax,3807000
59,179,5,2,2018-07-03 00:45:16,2015-09-30,Income Tax Expense,1267000
60,179,5,2,2018-07-03 00:45:16,2015-09-30,Minority Interest,47000
61,179,5,2,2018-07-03 00:45:16,2015-09-30,Net Income From Continuing Ops,2540000
62,179,5,2,2018-07-03 00:45:16,2015-09-30,Discontinued Operations,193000
63,179,5,2,2018-07-03 00:45:16,2015-09-30,Extraordinary Items,-
64,179,5,2,2018-07-03 00:45:16,2015-09-30,Effect Of Accounting Changes,-
65,179,5,2,2018-07-03 00:45:16,2015-09-30,Other Items,-
66,179,5,2,2018-07-03 00:45:16,2015-09-30,Net Income,2710000
67,179,5,2,2018-07-03 00:45:16,2015-09-30,Preferred Stock And Other Adjustments,-
68,179,5,2,2018-07-03 00:45:16,2015-09-30,Net Income Applicable To Common Shares,2710000
69,179,5,2,2018-07-03 00:45:16,2014-09-30,Total Revenue,17733000
70,179,5,2,2018-07-03 00:45:16,2014-09-30,Cost of Revenue,9971000
71,179,5,2,2018-07-03 00:45:16,2014-09-30,Gross Profit,7762000
72,179,5,2,2018-07-03 00:45:16,2014-09-30,Research Development,-
73,179,5,2,2018-07-03 00:45:16,2014-09-30,Selling General and Administrative,4164000
74,179,5,2,2018-07-03 00:45:16,2014-09-30,Non Recurring,-
75,179,5,2,2018-07-03 00:45:16,2014-09-30,Others,135000
76,179,5,2,2018-07-03 00:45:16,2014-09-30,Total Operating Expenses,14270000
77,179,5,2,2018-07-03 00:45:16,2014-09-30,Operating Income or Loss,3463000
78,179,5,2,2018-07-03 00:45:16,2014-09-30,Total Other Income/Expenses Net,-272000
79,179,5,2,2018-07-03 00:45:16,2014-09-30,Earnings Before Interest and Taxes,3463000
80,179,5,2,2018-07-03 00:45:16,2014-09-30,Interest Expense,-214000
81,179,5,2,2018-07-03 00:45:16,2014-09-30,Income Before Tax,3191000
82,179,5,2,2018-07-03 00:45:16,2014-09-30,Income Tax Expense,953000
83,179,5,2,2018-07-03 00:45:16,2014-09-30,Minority Interest,48000
84,179,5,2,2018-07-03 00:45:16,2014-09-30,Net Income From Continuing Ops,2238000
85,179,5,2,2018-07-03 00:45:16,2014-09-30,Discontinued Operations,-54000
86,179,5,2,2018-07-03 00:45:16,2014-09-30,Extraordinary Items,-
87,179,5,2,2018-07-03 00:45:16,2014-09-30,Effect Of Accounting Changes,-
88,179,5,2,2018-07-03 00:45:16,2014-09-30,Other Items,-
89,179,5,2,2018-07-03 00:45:16,2014-09-30,Net Income,2147000
90,179,5,2,2018-07-03 00:45:16,2014-09-30,Preferred Stock And Other Adjustments,-
91,179,5,2,2018-07-03 00:45:16,2014-09-30,Net Income Applicable To Common Shares,2147000
0,179,6,2,2018-07-03 00:45:16,2017-09-30,Cash And Cash Equivalents,3062000
1,179,6,2,2018-07-03 00:45:16,2017-09-30,Short Term Investments,-
2,179,6,2,2018-07-03 00:45:16,2017-09-30,Net Receivables,3072000
3,179,6,2,2018-07-03 00:45:16,2017-09-30,Inventory,1696000
4,179,6,2,2018-07-03 00:45:16,2017-09-30,Other Current Assets,422000
5,179,6,2,2018-07-03 00:45:16,2017-09-30,Total Current Assets,8252000
6,179,6,2,2018-07-03 00:45:16,2017-09-30,Long Term Investments,-
7,179,6,2,2018-07-03 00:45:16,2017-09-30,Property Plant and Equipment,3321000
8,179,6,2,2018-07-03 00:45:16,2017-09-30,Goodwill,5316000
9,179,6,2,2018-07-03 00:45:16,2017-09-30,Intangible Assets,1890000
10,179,6,2,2018-07-03 00:45:16,2017-09-30,Accumulated Amortization,-
11,179,6,2,2018-07-03 00:45:16,2017-09-30,Other Assets,810000
12,179,6,2,2018-07-03 00:45:16,2017-09-30,Deferred Long Term Asset Charges,-
13,179,6,2,2018-07-03 00:45:16,2017-09-30,Total Assets,19589000
14,179,6,2,2018-07-03 00:45:16,2017-09-30,Accounts Payable,1776000
15,179,6,2,2018-07-03 00:45:16,2017-09-30,Short/Current Long Term Debt,4656000
16,179,6,2,2018-07-03 00:45:16,2017-09-30,Other Current Liabilities,764000
17,179,6,2,2018-07-03 00:45:16,2017-09-30,Total Current Liabilities,5045000
18,179,6,2,2018-07-03 00:45:16,2017-09-30,Long Term Debt,3794000
19,179,6,2,2018-07-03 00:45:16,2017-09-30,Other Liabilities,1980000
20,179,6,2,2018-07-03 00:45:16,2017-09-30,Deferred Long Term Liability Charges,-
21,179,6,2,2018-07-03 00:45:16,2017-09-30,Minority Interest,52000
22,179,6,2,2018-07-03 00:45:16,2017-09-30,Negative Goodwill,-
23,179,6,2,2018-07-03 00:45:16,2017-09-30,Total Liabilities,10819000
24,179,6,2,2018-07-03 00:45:16,2017-09-30,Misc. Stocks Options Warrants,-
25,179,6,2,2018-07-03 00:45:16,2017-09-30,Redeemable Preferred Stock,-
