,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,213,5,2,2018-07-03 00:58:05,2017-12-31,Total Revenue,122092000
1,213,5,2,2018-07-03 00:58:05,2017-12-31,Cost of Revenue,104102000
2,213,5,2,2018-07-03 00:58:05,2017-12-31,Gross Profit,17990000
3,213,5,2,2018-07-03 00:58:05,2017-12-31,Research Development,-
4,213,5,2,2018-07-03 00:58:05,2017-12-31,Selling General and Administrative,21912000
5,213,5,2,2018-07-03 00:58:05,2017-12-31,Non Recurring,-
6,213,5,2,2018-07-03 00:58:05,2017-12-31,Others,-
7,213,5,2,2018-07-03 00:58:05,2017-12-31,Total Operating Expenses,-
8,213,5,2,2018-07-03 00:58:05,2017-12-31,Operating Income or Loss,-3922000
9,213,5,2,2018-07-03 00:58:05,2017-12-31,Total Other Income/Expenses Net,-
10,213,5,2,2018-07-03 00:58:05,2017-12-31,Earnings Before Interest and Taxes,-3922000
11,213,5,2,2018-07-03 00:58:05,2017-12-31,Interest Expense,4869000
12,213,5,2,2018-07-03 00:58:05,2017-12-31,Income Before Tax,-8791000
13,213,5,2,2018-07-03 00:58:05,2017-12-31,Income Tax Expense,-3043000
14,213,5,2,2018-07-03 00:58:05,2017-12-31,Minority Interest,17723000
15,213,5,2,2018-07-03 00:58:05,2017-12-31,Net Income From Continuing Ops,-5748000
16,213,5,2,2018-07-03 00:58:05,2017-12-31,Discontinued Operations,-309000
17,213,5,2,2018-07-03 00:58:05,2017-12-31,Extraordinary Items,-
18,213,5,2,2018-07-03 00:58:05,2017-12-31,Effect Of Accounting Changes,-
19,213,5,2,2018-07-03 00:58:05,2017-12-31,Other Items,-
20,213,5,2,2018-07-03 00:58:05,2017-12-31,Net Income,-5786000
21,213,5,2,2018-07-03 00:58:05,2017-12-31,Preferred Stock And Other Adjustments,-
22,213,5,2,2018-07-03 00:58:05,2017-12-31,Net Income Applicable To Common Shares,-6222000
23,213,5,2,2018-07-03 00:58:05,2016-12-31,Total Revenue,123693000
24,213,5,2,2018-07-03 00:58:05,2016-12-31,Cost of Revenue,90280000
25,213,5,2,2018-07-03 00:58:05,2016-12-31,Gross Profit,33413000
26,213,5,2,2018-07-03 00:58:05,2016-12-31,Research Development,-
27,213,5,2,2018-07-03 00:58:05,2016-12-31,Selling General and Administrative,19359000
28,213,5,2,2018-07-03 00:58:05,2016-12-31,Non Recurring,-
29,213,5,2,2018-07-03 00:58:05,2016-12-31,Others,-
30,213,5,2,2018-07-03 00:58:05,2016-12-31,Total Operating Expenses,-
31,213,5,2,2018-07-03 00:58:05,2016-12-31,Operating Income or Loss,14054000
32,213,5,2,2018-07-03 00:58:05,2016-12-31,Total Other Income/Expenses Net,-
33,213,5,2,2018-07-03 00:58:05,2016-12-31,Earnings Before Interest and Taxes,14055000
34,213,5,2,2018-07-03 00:58:05,2016-12-31,Interest Expense,5025000
35,213,5,2,2018-07-03 00:58:05,2016-12-31,Income Before Tax,9030000
36,213,5,2,2018-07-03 00:58:05,2016-12-31,Income Tax Expense,-464000
37,213,5,2,2018-07-03 00:58:05,2016-12-31,Minority Interest,1663000
38,213,5,2,2018-07-03 00:58:05,2016-12-31,Net Income From Continuing Ops,9494000
39,213,5,2,2018-07-03 00:58:05,2016-12-31,Discontinued Operations,-954000
40,213,5,2,2018-07-03 00:58:05,2016-12-31,Extraordinary Items,-
41,213,5,2,2018-07-03 00:58:05,2016-12-31,Effect Of Accounting Changes,-
42,213,5,2,2018-07-03 00:58:05,2016-12-31,Other Items,-
