,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,232,5,2,2018-07-03 01:05:09,2017-10-29,Total Revenue,9167519
1,232,5,2,2018-07-03 01:05:09,2017-10-29,Cost of Revenue,7164356
2,232,5,2,2018-07-03 01:05:09,2017-10-29,Gross Profit,2003163
3,232,5,2,2018-07-03 01:05:09,2017-10-29,Research Development,-
4,232,5,2,2018-07-03 01:05:09,2017-10-29,Selling General and Administrative,762104
5,232,5,2,2018-07-03 01:05:09,2017-10-29,Non Recurring,180
6,232,5,2,2018-07-03 01:05:09,2017-10-29,Others,-
7,232,5,2,2018-07-03 01:05:09,2017-10-29,Total Operating Expenses,-
8,232,5,2,2018-07-03 01:05:09,2017-10-29,Operating Income or Loss,1280469
9,232,5,2,2018-07-03 01:05:09,2017-10-29,Total Other Income/Expenses Net,10859
10,232,5,2,2018-07-03 01:05:09,2017-10-29,Earnings Before Interest and Taxes,1291328
11,232,5,2,2018-07-03 01:05:09,2017-10-29,Interest Expense,12683
12,232,5,2,2018-07-03 01:05:09,2017-10-29,Income Before Tax,1278645
13,232,5,2,2018-07-03 01:05:09,2017-10-29,Income Tax Expense,431542
14,232,5,2,2018-07-03 01:05:09,2017-10-29,Minority Interest,3790
15,232,5,2,2018-07-03 01:05:09,2017-10-29,Net Income From Continuing Ops,886325
16,232,5,2,2018-07-03 01:05:09,2017-10-29,Discontinued Operations,-
17,232,5,2,2018-07-03 01:05:09,2017-10-29,Extraordinary Items,-
18,232,5,2,2018-07-03 01:05:09,2017-10-29,Effect Of Accounting Changes,-
19,232,5,2,2018-07-03 01:05:09,2017-10-29,Other Items,-
20,232,5,2,2018-07-03 01:05:09,2017-10-29,Net Income,846735
21,232,5,2,2018-07-03 01:05:09,2017-10-29,Preferred Stock And Other Adjustments,-
22,232,5,2,2018-07-03 01:05:09,2017-10-29,Net Income Applicable To Common Shares,846735
23,232,5,2,2018-07-03 01:05:09,2016-10-30,Total Revenue,9523224
24,232,5,2,2018-07-03 01:05:09,2016-10-30,Cost of Revenue,7365049
25,232,5,2,2018-07-03 01:05:09,2016-10-30,Gross Profit,2158175
26,232,5,2,2018-07-03 01:05:09,2016-10-30,Research Development,-
27,232,5,2,2018-07-03 01:05:09,2016-10-30,Selling General and Administrative,871974
28,232,5,2,2018-07-03 01:05:09,2016-10-30,Non Recurring,991
29,232,5,2,2018-07-03 01:05:09,2016-10-30,Others,-
30,232,5,2,2018-07-03 01:05:09,2016-10-30,Total Operating Expenses,-
31,232,5,2,2018-07-03 01:05:09,2016-10-30,Operating Income or Loss,1323895
32,232,5,2,2018-07-03 01:05:09,2016-10-30,Total Other Income/Expenses Net,6191
33,232,5,2,2018-07-03 01:05:09,2016-10-30,Earnings Before Interest and Taxes,1330086
34,232,5,2,2018-07-03 01:05:09,2016-10-30,Interest Expense,12871
35,232,5,2,2018-07-03 01:05:09,2016-10-30,Income Before Tax,1317215
36,232,5,2,2018-07-03 01:05:09,2016-10-30,Income Tax Expense,426698
37,232,5,2,2018-07-03 01:05:09,2016-10-30,Minority Interest,3400
38,232,5,2,2018-07-03 01:05:09,2016-10-30,Net Income From Continuing Ops,928737
39,232,5,2,2018-07-03 01:05:09,2016-10-30,Discontinued Operations,-
40,232,5,2,2018-07-03 01:05:09,2016-10-30,Extraordinary Items,-
41,232,5,2,2018-07-03 01:05:09,2016-10-30,Effect Of Accounting Changes,-
42,232,5,2,2018-07-03 01:05:09,2016-10-30,Other Items,-
43,232,5,2,2018-07-03 01:05:09,2016-10-30,Net Income,890052
44,232,5,2,2018-07-03 01:05:09,2016-10-30,Preferred Stock And Other Adjustments,-
45,232,5,2,2018-07-03 01:05:09,2016-10-30,Net Income Applicable To Common Shares,890052
46,232,5,2,2018-07-03 01:05:09,2015-10-31,Total Revenue,9263863
47,232,5,2,2018-07-03 01:05:09,2015-10-31,Cost of Revenue,7455282
48,232,5,2,2018-07-03 01:05:09,2015-10-31,Gross Profit,1808581
49,232,5,2,2018-07-03 01:05:09,2015-10-31,Research Development,-
50,232,5,2,2018-07-03 01:05:09,2015-10-31,Selling General and Administrative,743611
51,232,5,2,2018-07-03 01:05:09,2015-10-31,Non Recurring,21537
52,232,5,2,2018-07-03 01:05:09,2015-10-31,Others,-
