,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,252,5,2,2018-07-03 01:12:46,2017-12-31,Total Revenue,3845578
1,252,5,2,2018-07-03 01:12:46,2017-12-31,Cost of Revenue,1664825
2,252,5,2,2018-07-03 01:12:46,2017-12-31,Gross Profit,2180753
3,252,5,2,2018-07-03 01:12:46,2017-12-31,Research Development,-
4,252,5,2,2018-07-03 01:12:46,2017-12-31,Selling General and Administrative,920057
5,252,5,2,2018-07-03 01:12:46,2017-12-31,Non Recurring,-
6,252,5,2,2018-07-03 01:12:46,2017-12-31,Others,-
7,252,5,2,2018-07-03 01:12:46,2017-12-31,Total Operating Expenses,3107258
8,252,5,2,2018-07-03 01:12:46,2017-12-31,Operating Income or Loss,738320
9,252,5,2,2018-07-03 01:12:46,2017-12-31,Total Other Income/Expenses Net,-520650
10,252,5,2,2018-07-03 01:12:46,2017-12-31,Earnings Before Interest and Taxes,738320
11,252,5,2,2018-07-03 01:12:46,2017-12-31,Interest Expense,-361234
12,252,5,2,2018-07-03 01:12:46,2017-12-31,Income Before Tax,217670
13,252,5,2,2018-07-03 01:12:46,2017-12-31,Income Tax Expense,25947
14,252,5,2,2018-07-03 01:12:46,2017-12-31,Minority Interest,92822
15,252,5,2,2018-07-03 01:12:46,2017-12-31,Net Income From Continuing Ops,191723
16,252,5,2,2018-07-03 01:12:46,2017-12-31,Discontinued Operations,-6291
17,252,5,2,2018-07-03 01:12:46,2017-12-31,Extraordinary Items,-
18,252,5,2,2018-07-03 01:12:46,2017-12-31,Effect Of Accounting Changes,-
19,252,5,2,2018-07-03 01:12:46,2017-12-31,Other Items,-
20,252,5,2,2018-07-03 01:12:46,2017-12-31,Net Income,183821
21,252,5,2,2018-07-03 01:12:46,2017-12-31,Preferred Stock And Other Adjustments,-
22,252,5,2,2018-07-03 01:12:46,2017-12-31,Net Income Applicable To Common Shares,183821
23,252,5,2,2018-07-03 01:12:46,2016-12-31,Total Revenue,3511453
24,252,5,2,2018-07-03 01:12:46,2016-12-31,Cost of Revenue,1555814
25,252,5,2,2018-07-03 01:12:46,2016-12-31,Gross Profit,1955639
26,252,5,2,2018-07-03 01:12:46,2016-12-31,Research Development,-
27,252,5,2,2018-07-03 01:12:46,2016-12-31,Selling General and Administrative,862344
28,252,5,2,2018-07-03 01:12:46,2016-12-31,Non Recurring,-
29,252,5,2,2018-07-03 01:12:46,2016-12-31,Others,-
30,252,5,2,2018-07-03 01:12:46,2016-12-31,Total Operating Expenses,2870484
31,252,5,2,2018-07-03 01:12:46,2016-12-31,Operating Income or Loss,640969
32,252,5,2,2018-07-03 01:12:46,2016-12-31,Total Other Income/Expenses Net,-492145
33,252,5,2,2018-07-03 01:12:46,2016-12-31,Earnings Before Interest and Taxes,640969
34,252,5,2,2018-07-03 01:12:46,2016-12-31,Interest Expense,-318220
