,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,541,5,2,2018-07-03 03:01:07,2017-12-30,Total Revenue,26232000
1,541,5,2,2018-07-03 03:01:07,2017-12-30,Cost of Revenue,16529000
2,541,5,2,2018-07-03 03:01:07,2017-12-30,Gross Profit,9703000
3,541,5,2,2018-07-03 03:01:07,2017-12-30,Research Development,-
4,541,5,2,2018-07-03 03:01:07,2017-12-30,Selling General and Administrative,2930000
5,541,5,2,2018-07-03 03:01:07,2017-12-30,Non Recurring,-
6,541,5,2,2018-07-03 03:01:07,2017-12-30,Others,-
7,541,5,2,2018-07-03 03:01:07,2017-12-30,Total Operating Expenses,-
8,541,5,2,2018-07-03 03:01:07,2017-12-30,Operating Income or Loss,6773000
9,541,5,2,2018-07-03 03:01:07,2017-12-30,Total Other Income/Expenses Net,-9000
10,541,5,2,2018-07-03 03:01:07,2017-12-30,Earnings Before Interest and Taxes,6764000
11,541,5,2,2018-07-03 03:01:07,2017-12-30,Interest Expense,1234000
12,541,5,2,2018-07-03 03:01:07,2017-12-30,Income Before Tax,5530000
13,541,5,2,2018-07-03 03:01:07,2017-12-30,Income Tax Expense,-5460000
14,541,5,2,2018-07-03 03:01:07,2017-12-30,Minority Interest,207000
15,541,5,2,2018-07-03 03:01:07,2017-12-30,Net Income From Continuing Ops,10999000
16,541,5,2,2018-07-03 03:01:07,2017-12-30,Discontinued Operations,-
17,541,5,2,2018-07-03 03:01:07,2017-12-30,Extraordinary Items,-
18,541,5,2,2018-07-03 03:01:07,2017-12-30,Effect Of Accounting Changes,-
19,541,5,2,2018-07-03 03:01:07,2017-12-30,Other Items,-
20,541,5,2,2018-07-03 03:01:07,2017-12-30,Net Income,10999000
21,541,5,2,2018-07-03 03:01:07,2017-12-30,Preferred Stock And Other Adjustments,-
22,541,5,2,2018-07-03 03:01:07,2017-12-30,Net Income Applicable To Common Shares,10999000
23,541,5,2,2018-07-03 03:01:07,2016-12-31,Total Revenue,26487000
24,541,5,2,2018-07-03 03:01:07,2016-12-31,Cost of Revenue,16901000
25,541,5,2,2018-07-03 03:01:07,2016-12-31,Gross Profit,9586000
26,541,5,2,2018-07-03 03:01:07,2016-12-31,Research Development,-
27,541,5,2,2018-07-03 03:01:07,2016-12-31,Selling General and Administrative,3444000
28,541,5,2,2018-07-03 03:01:07,2016-12-31,Non Recurring,-
29,541,5,2,2018-07-03 03:01:07,2016-12-31,Others,-
30,541,5,2,2018-07-03 03:01:07,2016-12-31,Total Operating Expenses,-
31,541,5,2,2018-07-03 03:01:07,2016-12-31,Operating Income or Loss,6142000
32,541,5,2,2018-07-03 03:01:07,2016-12-31,Total Other Income/Expenses Net,15000
33,541,5,2,2018-07-03 03:01:07,2016-12-31,Earnings Before Interest and Taxes,6157000
34,541,5,2,2018-07-03 03:01:07,2016-12-31,Interest Expense,1134000
35,541,5,2,2018-07-03 03:01:07,2016-12-31,Income Before Tax,5023000
36,541,5,2,2018-07-03 03:01:07,2016-12-31,Income Tax Expense,1381000
37,541,5,2,2018-07-03 03:01:07,2016-12-31,Minority Interest,216000
38,541,5,2,2018-07-03 03:01:07,2016-12-31,Net Income From Continuing Ops,3632000
39,541,5,2,2018-07-03 03:01:07,2016-12-31,Discontinued Operations,-
40,541,5,2,2018-07-03 03:01:07,2016-12-31,Extraordinary Items,-
41,541,5,2,2018-07-03 03:01:07,2016-12-31,Effect Of Accounting Changes,-
42,541,5,2,2018-07-03 03:01:07,2016-12-31,Other Items,-
43,541,5,2,2018-07-03 03:01:07,2016-12-31,Net Income,3632000
44,541,5,2,2018-07-03 03:01:07,2016-12-31,Preferred Stock And Other Adjustments,-
45,541,5,2,2018-07-03 03:01:07,2016-12-31,Net Income Applicable To Common Shares,3452000
46,541,5,2,2018-07-03 03:01:07,2016-01-03,Total Revenue,18338000
47,541,5,2,2018-07-03 03:01:07,2016-01-03,Cost of Revenue,12577000
48,541,5,2,2018-07-03 03:01:07,2016-01-03,Gross Profit,5761000
49,541,5,2,2018-07-03 03:01:07,2016-01-03,Research Development,-
50,541,5,2,2018-07-03 03:01:07,2016-01-03,Selling General and Administrative,3122000
51,541,5,2,2018-07-03 03:01:07,2016-01-03,Non Recurring,-
52,541,5,2,2018-07-03 03:01:07,2016-01-03,Others,-
53,541,5,2,2018-07-03 03:01:07,2016-01-03,Total Operating Expenses,-
54,541,5,2,2018-07-03 03:01:07,2016-01-03,Operating Income or Loss,2639000
55,541,5,2,2018-07-03 03:01:07,2016-01-03,Total Other Income/Expenses Net,-305000
