,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,339,5,2,2018-07-03 01:45:31,2018-05-31,Total Revenue,39831000
1,339,5,2,2018-07-03 01:45:31,2018-05-31,Cost of Revenue,8081000
2,339,5,2,2018-07-03 01:45:31,2018-05-31,Gross Profit,31750000
3,339,5,2,2018-07-03 01:45:31,2018-05-31,Research Development,6091000
4,339,5,2,2018-07-03 01:45:31,2018-05-31,Selling General and Administrative,9720000
5,339,5,2,2018-07-03 01:45:31,2018-05-31,Non Recurring,640000
6,339,5,2,2018-07-03 01:45:31,2018-05-31,Others,1620000
7,339,5,2,2018-07-03 01:45:31,2018-05-31,Total Operating Expenses,18071000
8,339,5,2,2018-07-03 01:45:31,2018-05-31,Operating Income or Loss,13679000
9,339,5,2,2018-07-03 01:45:31,2018-05-31,Total Other Income/Expenses Net,1237000
10,339,5,2,2018-07-03 01:45:31,2018-05-31,Earnings Before Interest and Taxes,14916000
11,339,5,2,2018-07-03 01:45:31,2018-05-31,Interest Expense,2025000
12,339,5,2,2018-07-03 01:45:31,2018-05-31,Income Before Tax,12891000
13,339,5,2,2018-07-03 01:45:31,2018-05-31,Income Tax Expense,9066000
14,339,5,2,2018-07-03 01:45:31,2018-05-31,Minority Interest,498000
15,339,5,2,2018-07-03 01:45:31,2018-05-31,Net Income From Continuing Ops,3825000
16,339,5,2,2018-07-03 01:45:31,2018-05-31,Discontinued Operations,-
17,339,5,2,2018-07-03 01:45:31,2018-05-31,Extraordinary Items,-
18,339,5,2,2018-07-03 01:45:31,2018-05-31,Effect Of Accounting Changes,-
19,339,5,2,2018-07-03 01:45:31,2018-05-31,Other Items,-
20,339,5,2,2018-07-03 01:45:31,2018-05-31,Net Income,3825000
21,339,5,2,2018-07-03 01:45:31,2018-05-31,Preferred Stock And Other Adjustments,-
22,339,5,2,2018-07-03 01:45:31,2018-05-31,Net Income Applicable To Common Shares,3825000
23,339,5,2,2018-07-03 01:45:31,2017-05-31,Total Revenue,37728000
24,339,5,2,2018-07-03 01:45:31,2017-05-31,Cost of Revenue,7469000
25,339,5,2,2018-07-03 01:45:31,2017-05-31,Gross Profit,30259000
