,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,373,5,2,2018-07-03 01:58:13,2018-02-28,Total Revenue,2920461
1,373,5,2,2018-07-03 01:58:13,2018-02-28,Cost of Revenue,431797
2,373,5,2,2018-07-03 01:58:13,2018-02-28,Gross Profit,2488664
3,373,5,2,2018-07-03 01:58:13,2018-02-28,Research Development,578330
4,373,5,2,2018-07-03 01:58:13,2018-02-28,Selling General and Administrative,1437892
5,373,5,2,2018-07-03 01:58:13,2018-02-28,Non Recurring,-
6,373,5,2,2018-07-03 01:58:13,2018-02-28,Others,-
7,373,5,2,2018-07-03 01:58:13,2018-02-28,Total Operating Expenses,-
8,373,5,2,2018-07-03 01:58:13,2018-02-28,Operating Income or Loss,472442
9,373,5,2,2018-07-03 01:58:13,2018-02-28,Total Other Income/Expenses Net,26828
10,373,5,2,2018-07-03 01:58:13,2018-02-28,Earnings Before Interest and Taxes,499270
11,373,5,2,2018-07-03 01:58:13,2018-02-28,Interest Expense,24569
12,373,5,2,2018-07-03 01:58:13,2018-02-28,Income Before Tax,474701
13,373,5,2,2018-07-03 01:58:13,2018-02-28,Income Tax Expense,215898
14,373,5,2,2018-07-03 01:58:13,2018-02-28,Minority Interest,-
15,373,5,2,2018-07-03 01:58:13,2018-02-28,Net Income From Continuing Ops,258803
16,373,5,2,2018-07-03 01:58:13,2018-02-28,Discontinued Operations,-
17,373,5,2,2018-07-03 01:58:13,2018-02-28,Extraordinary Items,-
18,373,5,2,2018-07-03 01:58:13,2018-02-28,Effect Of Accounting Changes,-
19,373,5,2,2018-07-03 01:58:13,2018-02-28,Other Items,-
20,373,5,2,2018-07-03 01:58:13,2018-02-28,Net Income,258803
21,373,5,2,2018-07-03 01:58:13,2018-02-28,Preferred Stock And Other Adjustments,-
22,373,5,2,2018-07-03 01:58:13,2018-02-28,Net Income Applicable To Common Shares,258803
23,373,5,2,2018-07-03 01:58:13,2017-02-28,Total Revenue,2411803
24,373,5,2,2018-07-03 01:58:13,2017-02-28,Cost of Revenue,354378
25,373,5,2,2018-07-03 01:58:13,2017-02-28,Gross Profit,2057425
