,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,386,5,2,2018-07-03 02:03:01,2017-12-31,Total Revenue,30440000
1,386,5,2,2018-07-03 02:03:01,2017-12-31,Cost of Revenue,26543000
2,386,5,2,2018-07-03 02:03:01,2017-12-31,Gross Profit,3897000
3,386,5,2,2018-07-03 02:03:01,2017-12-31,Research Development,787000
4,386,5,2,2018-07-03 02:03:01,2017-12-31,Selling General and Administrative,432000
5,386,5,2,2018-07-03 02:03:01,2017-12-31,Non Recurring,3519000
6,386,5,2,2018-07-03 02:03:01,2017-12-31,Others,-
7,386,5,2,2018-07-03 02:03:01,2017-12-31,Total Operating Expenses,-
8,386,5,2,2018-07-03 02:03:01,2017-12-31,Operating Income or Loss,-841000
9,386,5,2,2018-07-03 02:03:01,2017-12-31,Total Other Income/Expenses Net,224000
10,386,5,2,2018-07-03 02:03:01,2017-12-31,Earnings Before Interest and Taxes,-617000
11,386,5,2,2018-07-03 02:03:01,2017-12-31,Interest Expense,566000
12,386,5,2,2018-07-03 02:03:01,2017-12-31,Income Before Tax,-1183000
13,386,5,2,2018-07-03 02:03:01,2017-12-31,Income Tax Expense,330000
14,386,5,2,2018-07-03 02:03:01,2017-12-31,Minority Interest,419000
15,386,5,2,2018-07-03 02:03:01,2017-12-31,Net Income From Continuing Ops,-1505000
16,386,5,2,2018-07-03 02:03:01,2017-12-31,Discontinued Operations,-
17,386,5,2,2018-07-03 02:03:01,2017-12-31,Extraordinary Items,-
18,386,5,2,2018-07-03 02:03:01,2017-12-31,Effect Of Accounting Changes,-
19,386,5,2,2018-07-03 02:03:01,2017-12-31,Other Items,-
20,386,5,2,2018-07-03 02:03:01,2017-12-31,Net Income,-1505000
21,386,5,2,2018-07-03 02:03:01,2017-12-31,Preferred Stock And Other Adjustments,-
22,386,5,2,2018-07-03 02:03:01,2017-12-31,Net Income Applicable To Common Shares,-1505000
23,386,5,2,2018-07-03 02:03:01,2016-12-31,Total Revenue,27810000
24,386,5,2,2018-07-03 02:03:01,2016-12-31,Cost of Revenue,24409000
25,386,5,2,2018-07-03 02:03:01,2016-12-31,Gross Profit,3401000
26,386,5,2,2018-07-03 02:03:01,2016-12-31,Research Development,1012000
27,386,5,2,2018-07-03 02:03:01,2016-12-31,Selling General and Administrative,403000
28,386,5,2,2018-07-03 02:03:01,2016-12-31,Non Recurring,3521000
29,386,5,2,2018-07-03 02:03:01,2016-12-31,Others,-
30,386,5,2,2018-07-03 02:03:01,2016-12-31,Total Operating Expenses,-
