,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,394,5,2,2018-07-03 02:05:57,2018-02-28,Total Revenue,7585000
1,394,5,2,2018-07-03 02:05:57,2018-02-28,Cost of Revenue,3767800
2,394,5,2,2018-07-03 02:05:57,2018-02-28,Gross Profit,3817200
3,394,5,2,2018-07-03 02:05:57,2018-02-28,Research Development,-
4,394,5,2,2018-07-03 02:05:57,2018-02-28,Selling General and Administrative,1532700
5,394,5,2,2018-07-03 02:05:57,2018-02-28,Non Recurring,-
6,394,5,2,2018-07-03 02:05:57,2018-02-28,Others,-
7,394,5,2,2018-07-03 02:05:57,2018-02-28,Total Operating Expenses,-
8,394,5,2,2018-07-03 02:05:57,2018-02-28,Operating Income or Loss,2284500
9,394,5,2,2018-07-03 02:05:57,2018-02-28,Total Other Income/Expenses Net,-97000
10,394,5,2,2018-07-03 02:05:57,2018-02-28,Earnings Before Interest and Taxes,2674700
11,394,5,2,2018-07-03 02:05:57,2018-02-28,Interest Expense,332000
12,394,5,2,2018-07-03 02:05:57,2018-02-28,Income Before Tax,2342700
13,394,5,2,2018-07-03 02:05:57,2018-02-28,Income Tax Expense,11900
14,394,5,2,2018-07-03 02:05:57,2018-02-28,Minority Interest,16600
15,394,5,2,2018-07-03 02:05:57,2018-02-28,Net Income From Continuing Ops,2806100
16,394,5,2,2018-07-03 02:05:57,2018-02-28,Discontinued Operations,-
17,394,5,2,2018-07-03 02:05:57,2018-02-28,Extraordinary Items,-
18,394,5,2,2018-07-03 02:05:57,2018-02-28,Effect Of Accounting Changes,-
19,394,5,2,2018-07-03 02:05:57,2018-02-28,Other Items,-
20,394,5,2,2018-07-03 02:05:57,2018-02-28,Net Income,2318900
21,394,5,2,2018-07-03 02:05:57,2018-02-28,Preferred Stock And Other Adjustments,-
22,394,5,2,2018-07-03 02:05:57,2018-02-28,Net Income Applicable To Common Shares,2318900
23,394,5,2,2018-07-03 02:05:57,2017-02-28,Total Revenue,7331500
24,394,5,2,2018-07-03 02:05:57,2017-02-28,Cost of Revenue,3802100
25,394,5,2,2018-07-03 02:05:57,2017-02-28,Gross Profit,3529400
26,394,5,2,2018-07-03 02:05:57,2017-02-28,Research Development,-
27,394,5,2,2018-07-03 02:05:57,2017-02-28,Selling General and Administrative,1392400
28,394,5,2,2018-07-03 02:05:57,2017-02-28,Non Recurring,-
29,394,5,2,2018-07-03 02:05:57,2017-02-28,Others,-
30,394,5,2,2018-07-03 02:05:57,2017-02-28,Total Operating Expenses,-
31,394,5,2,2018-07-03 02:05:57,2017-02-28,Operating Income or Loss,2399400
32,394,5,2,2018-07-03 02:05:57,2017-02-28,Total Other Income/Expenses Net,262400
33,394,5,2,2018-07-03 02:05:57,2017-02-28,Earnings Before Interest and Taxes,2426700
34,394,5,2,2018-07-03 02:05:57,2017-02-28,Interest Expense,333300
35,394,5,2,2018-07-03 02:05:57,2017-02-28,Income Before Tax,2093400
36,394,5,2,2018-07-03 02:05:57,2017-02-28,Income Tax Expense,554200
37,394,5,2,2018-07-03 02:05:57,2017-02-28,Minority Interest,-6400
38,394,5,2,2018-07-03 02:05:57,2017-02-28,Net Income From Continuing Ops,1562400
39,394,5,2,2018-07-03 02:05:57,2017-02-28,Discontinued Operations,-
40,394,5,2,2018-07-03 02:05:57,2017-02-28,Extraordinary Items,-
41,394,5,2,2018-07-03 02:05:57,2017-02-28,Effect Of Accounting Changes,-
42,394,5,2,2018-07-03 02:05:57,2017-02-28,Other Items,-
43,394,5,2,2018-07-03 02:05:57,2017-02-28,Net Income,1535100
44,394,5,2,2018-07-03 02:05:57,2017-02-28,Preferred Stock And Other Adjustments,-
45,394,5,2,2018-07-03 02:05:57,2017-02-28,Net Income Applicable To Common Shares,1535100
46,394,5,2,2018-07-03 02:05:57,2016-02-29,Total Revenue,6548400
