,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,423,5,2,2018-07-03 02:16:59,2017-09-30,Total Revenue,13263000
1,423,5,2,2018-07-03 02:16:59,2017-09-30,Cost of Revenue,7436000
2,423,5,2,2018-07-03 02:16:59,2017-09-30,Gross Profit,5827000
3,423,5,2,2018-07-03 02:16:59,2017-09-30,Research Development,-
4,423,5,2,2018-07-03 02:16:59,2017-09-30,Selling General and Administrative,3005000
5,423,5,2,2018-07-03 02:16:59,2017-09-30,Non Recurring,237000
6,423,5,2,2018-07-03 02:16:59,2017-09-30,Others,223000
7,423,5,2,2018-07-03 02:16:59,2017-09-30,Total Operating Expenses,-
8,423,5,2,2018-07-03 02:16:59,2017-09-30,Operating Income or Loss,2489000
9,423,5,2,2018-07-03 02:16:59,2017-09-30,Total Other Income/Expenses Net,387000
10,423,5,2,2018-07-03 02:16:59,2017-09-30,Earnings Before Interest and Taxes,2830000
11,423,5,2,2018-07-03 02:16:59,2017-09-30,Interest Expense,618000
12,423,5,2,2018-07-03 02:16:59,2017-09-30,Income Before Tax,2212000
13,423,5,2,2018-07-03 02:16:59,2017-09-30,Income Tax Expense,293000
14,423,5,2,2018-07-03 02:16:59,2017-09-30,Minority Interest,84000
15,423,5,2,2018-07-03 02:16:59,2017-09-30,Net Income From Continuing Ops,1919000
16,423,5,2,2018-07-03 02:16:59,2017-09-30,Discontinued Operations,3000
17,423,5,2,2018-07-03 02:16:59,2017-09-30,Extraordinary Items,-
18,423,5,2,2018-07-03 02:16:59,2017-09-30,Effect Of Accounting Changes,-
19,423,5,2,2018-07-03 02:16:59,2017-09-30,Other Items,-
20,423,5,2,2018-07-03 02:16:59,2017-09-30,Net Income,1874000
21,423,5,2,2018-07-03 02:16:59,2017-09-30,Preferred Stock And Other Adjustments,-
22,423,5,2,2018-07-03 02:16:59,2017-09-30,Net Income Applicable To Common Shares,1874000
23,423,5,2,2018-07-03 02:16:59,2016-09-30,Total Revenue,12488000
24,423,5,2,2018-07-03 02:16:59,2016-09-30,Cost of Revenue,6684000
25,423,5,2,2018-07-03 02:16:59,2016-09-30,Gross Profit,5804000
26,423,5,2,2018-07-03 02:16:59,2016-09-30,Research Development,-
27,423,5,2,2018-07-03 02:16:59,2016-09-30,Selling General and Administrative,2851000
28,423,5,2,2018-07-03 02:16:59,2016-09-30,Non Recurring,206000
29,423,5,2,2018-07-03 02:16:59,2016-09-30,Others,221000
30,423,5,2,2018-07-03 02:16:59,2016-09-30,Total Operating Expenses,-
31,423,5,2,2018-07-03 02:16:59,2016-09-30,Operating Income or Loss,2526000
32,423,5,2,2018-07-03 02:16:59,2016-09-30,Total Other Income/Expenses Net,-7000
33,423,5,2,2018-07-03 02:16:59,2016-09-30,Earnings Before Interest and Taxes,2606000
34,423,5,2,2018-07-03 02:16:59,2016-09-30,Interest Expense,616000
35,423,5,2,2018-07-03 02:16:59,2016-09-30,Income Before Tax,1990000
36,423,5,2,2018-07-03 02:16:59,2016-09-30,Income Tax Expense,519000
37,423,5,2,2018-07-03 02:16:59,2016-09-30,Minority Interest,53000
38,423,5,2,2018-07-03 02:16:59,2016-09-30,Net Income From Continuing Ops,1471000
39,423,5,2,2018-07-03 02:16:59,2016-09-30,Discontinued Operations,2000
40,423,5,2,2018-07-03 02:16:59,2016-09-30,Extraordinary Items,-
41,423,5,2,2018-07-03 02:16:59,2016-09-30,Effect Of Accounting Changes,-
42,423,5,2,2018-07-03 02:16:59,2016-09-30,Other Items,-
43,423,5,2,2018-07-03 02:16:59,2016-09-30,Net Income,1438000
44,423,5,2,2018-07-03 02:16:59,2016-09-30,Preferred Stock And Other Adjustments,-
45,423,5,2,2018-07-03 02:16:59,2016-09-30,Net Income Applicable To Common Shares,1438000
46,423,5,2,2018-07-03 02:16:59,2015-09-30,Total Revenue,13268000
47,423,5,2,2018-07-03 02:16:59,2015-09-30,Cost of Revenue,6868000
48,423,5,2,2018-07-03 02:16:59,2015-09-30,Gross Profit,6400000
49,423,5,2,2018-07-03 02:16:59,2015-09-30,Research Development,-
50,423,5,2,2018-07-03 02:16:59,2015-09-30,Selling General and Administrative,2860000
51,423,5,2,2018-07-03 02:16:59,2015-09-30,Non Recurring,206000
52,423,5,2,2018-07-03 02:16:59,2015-09-30,Others,222000
53,423,5,2,2018-07-03 02:16:59,2015-09-30,Total Operating Expenses,-
54,423,5,2,2018-07-03 02:16:59,2015-09-30,Operating Income or Loss,3112000
55,423,5,2,2018-07-03 02:16:59,2015-09-30,Total Other Income/Expenses Net,-54000
56,423,5,2,2018-07-03 02:16:59,2015-09-30,Earnings Before Interest and Taxes,3160000
57,423,5,2,2018-07-03 02:16:59,2015-09-30,Interest Expense,657000
58,423,5,2,2018-07-03 02:16:59,2015-09-30,Income Before Tax,2503000
59,423,5,2,2018-07-03 02:16:59,2015-09-30,Income Tax Expense,501000
60,423,5,2,2018-07-03 02:16:59,2015-09-30,Minority Interest,61000
61,423,5,2,2018-07-03 02:16:59,2015-09-30,Net Income From Continuing Ops,2002000
62,423,5,2,2018-07-03 02:16:59,2015-09-30,Discontinued Operations,2000
63,423,5,2,2018-07-03 02:16:59,2015-09-30,Extraordinary Items,-
64,423,5,2,2018-07-03 02:16:59,2015-09-30,Effect Of Accounting Changes,-
65,423,5,2,2018-07-03 02:16:59,2015-09-30,Other Items,-
66,423,5,2,2018-07-03 02:16:59,2015-09-30,Net Income,1922000
67,423,5,2,2018-07-03 02:16:59,2015-09-30,Preferred Stock And Other Adjustments,-
68,423,5,2,2018-07-03 02:16:59,2015-09-30,Net Income Applicable To Common Shares,1922000
0,423,6,2,2018-07-03 02:16:59,2017-09-30,Cash And Cash Equivalents,1389000
1,423,6,2,2018-07-03 02:16:59,2017-09-30,Short Term Investments,-
2,423,6,2,2018-07-03 02:16:59,2017-09-30,Net Receivables,2970000
3,423,6,2,2018-07-03 02:16:59,2017-09-30,Inventory,919000
4,423,6,2,2018-07-03 02:16:59,2017-09-30,Other Current Assets,523000
5,423,6,2,2018-07-03 02:16:59,2017-09-30,Total Current Assets,5801000
6,423,6,2,2018-07-03 02:16:59,2017-09-30,Long Term Investments,-
7,423,6,2,2018-07-03 02:16:59,2017-09-30,Property Plant and Equipment,4960000
8,423,6,2,2018-07-03 02:16:59,2017-09-30,Goodwill,11665000
9,423,6,2,2018-07-03 02:16:59,2017-09-30,Intangible Assets,313000
10,423,6,2,2018-07-03 02:16:59,2017-09-30,Accumulated Amortization,-
11,423,6,2,2018-07-03 02:16:59,2017-09-30,Other Assets,959000
12,423,6,2,2018-07-03 02:16:59,2017-09-30,Deferred Long Term Asset Charges,-
13,423,6,2,2018-07-03 02:16:59,2017-09-30,Total Assets,23698000
14,423,6,2,2018-07-03 02:16:59,2017-09-30,Accounts Payable,1300000
15,423,6,2,2018-07-03 02:16:59,2017-09-30,Short/Current Long Term Debt,19000
16,423,6,2,2018-07-03 02:16:59,2017-09-30,Other Current Liabilities,2434000
17,423,6,2,2018-07-03 02:16:59,2017-09-30,Total Current Liabilities,3753000
18,423,6,2,2018-07-03 02:16:59,2017-09-30,Long Term Debt,11100000
19,423,6,2,2018-07-03 02:16:59,2017-09-30,Other Liabilities,2184000
20,423,6,2,2018-07-03 02:16:59,2017-09-30,Deferred Long Term Liability Charges,294000
21,423,6,2,2018-07-03 02:16:59,2017-09-30,Minority Interest,84000
22,423,6,2,2018-07-03 02:16:59,2017-09-30,Negative Goodwill,-
23,423,6,2,2018-07-03 02:16:59,2017-09-30,Total Liabilities,17415000
24,423,6,2,2018-07-03 02:16:59,2017-09-30,Misc. Stocks Options Warrants,248000
25,423,6,2,2018-07-03 02:16:59,2017-09-30,Redeemable Preferred Stock,-
26,423,6,2,2018-07-03 02:16:59,2017-09-30,Preferred Stock,-
27,423,6,2,2018-07-03 02:16:59,2017-09-30,Common Stock,-
28,423,6,2,2018-07-03 02:16:59,2017-09-30,Retained Earnings,17124000
29,423,6,2,2018-07-03 02:16:59,2017-09-30,Treasury Stock,-20590000
30,423,6,2,2018-07-03 02:16:59,2017-09-30,Capital Surplus,10119000
31,423,6,2,2018-07-03 02:16:59,2017-09-30,Other Stockholder Equity,-618000
32,423,6,2,2018-07-03 02:16:59,2017-09-30,Total Stockholder Equity,6035000
33,423,6,2,2018-07-03 02:16:59,2017-09-30,Net Tangible Assets,-5943000
34,423,6,2,2018-07-03 02:16:59,2016-09-30,Cash And Cash Equivalents,379000
35,423,6,2,2018-07-03 02:16:59,2016-09-30,Short Term Investments,-
36,423,6,2,2018-07-03 02:16:59,2016-09-30,Net Receivables,2712000
37,423,6,2,2018-07-03 02:16:59,2016-09-30,Inventory,844000
38,423,6,2,2018-07-03 02:16:59,2016-09-30,Other Current Assets,587000
39,423,6,2,2018-07-03 02:16:59,2016-09-30,Total Current Assets,4522000
40,423,6,2,2018-07-03 02:16:59,2016-09-30,Long Term Investments,-
41,423,6,2,2018-07-03 02:16:59,2016-09-30,Property Plant and Equipment,4964000
42,423,6,2,2018-07-03 02:16:59,2016-09-30,Goodwill,11400000
43,423,6,2,2018-07-03 02:16:59,2016-09-30,Intangible Assets,315000
44,423,6,2,2018-07-03 02:16:59,2016-09-30,Accumulated Amortization,-
45,423,6,2,2018-07-03 02:16:59,2016-09-30,Other Assets,1307000
46,423,6,2,2018-07-03 02:16:59,2016-09-30,Deferred Long Term Asset Charges,-
47,423,6,2,2018-07-03 02:16:59,2016-09-30,Total Assets,22508000
48,423,6,2,2018-07-03 02:16:59,2016-09-30,Accounts Payable,1226000
