,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,533,5,2,2018-07-03 02:58:08,2017-08-31,Total Revenue,118214000
1,533,5,2,2018-07-03 02:58:08,2017-08-31,Cost of Revenue,89052000
2,533,5,2,2018-07-03 02:58:08,2017-08-31,Gross Profit,29162000
3,533,5,2,2018-07-03 02:58:08,2017-08-31,Research Development,-
4,533,5,2,2018-07-03 02:58:08,2017-08-31,Selling General and Administrative,22891000
5,533,5,2,2018-07-03 02:58:08,2017-08-31,Non Recurring,-
6,533,5,2,2018-07-03 02:58:08,2017-08-31,Others,-
7,533,5,2,2018-07-03 02:58:08,2017-08-31,Total Operating Expenses,111943000
8,533,5,2,2018-07-03 02:58:08,2017-08-31,Operating Income or Loss,6271000
9,533,5,2,2018-07-03 02:58:08,2017-08-31,Total Other Income/Expenses Net,-1410000
10,533,5,2,2018-07-03 02:58:08,2017-08-31,Earnings Before Interest and Taxes,6271000
11,533,5,2,2018-07-03 02:58:08,2017-08-31,Interest Expense,-643000
12,533,5,2,2018-07-03 02:58:08,2017-08-31,Income Before Tax,4861000
13,533,5,2,2018-07-03 02:58:08,2017-08-31,Income Tax Expense,760000
14,533,5,2,2018-07-03 02:58:08,2017-08-31,Minority Interest,808000
15,533,5,2,2018-07-03 02:58:08,2017-08-31,Net Income From Continuing Ops,4101000
16,533,5,2,2018-07-03 02:58:08,2017-08-31,Discontinued Operations,-
17,533,5,2,2018-07-03 02:58:08,2017-08-31,Extraordinary Items,-
18,533,5,2,2018-07-03 02:58:08,2017-08-31,Effect Of Accounting Changes,-
19,533,5,2,2018-07-03 02:58:08,2017-08-31,Other Items,-
20,533,5,2,2018-07-03 02:58:08,2017-08-31,Net Income,4078000
21,533,5,2,2018-07-03 02:58:08,2017-08-31,Preferred Stock And Other Adjustments,-
22,533,5,2,2018-07-03 02:58:08,2017-08-31,Net Income Applicable To Common Shares,4078000
23,533,5,2,2018-07-03 02:58:08,2016-08-31,Total Revenue,117351000
24,533,5,2,2018-07-03 02:58:08,2016-08-31,Cost of Revenue,87477000
25,533,5,2,2018-07-03 02:58:08,2016-08-31,Gross Profit,29874000
26,533,5,2,2018-07-03 02:58:08,2016-08-31,Research Development,-
27,533,5,2,2018-07-03 02:58:08,2016-08-31,Selling General and Administrative,23406000
28,533,5,2,2018-07-03 02:58:08,2016-08-31,Non Recurring,-
29,533,5,2,2018-07-03 02:58:08,2016-08-31,Others,-
30,533,5,2,2018-07-03 02:58:08,2016-08-31,Total Operating Expenses,110883000
31,533,5,2,2018-07-03 02:58:08,2016-08-31,Operating Income or Loss,6468000
32,533,5,2,2018-07-03 02:58:08,2016-08-31,Total Other Income/Expenses Net,-1280000
33,533,5,2,2018-07-03 02:58:08,2016-08-31,Earnings Before Interest and Taxes,6468000
34,533,5,2,2018-07-03 02:58:08,2016-08-31,Interest Expense,-580000
35,533,5,2,2018-07-03 02:58:08,2016-08-31,Income Before Tax,5188000
36,533,5,2,2018-07-03 02:58:08,2016-08-31,Income Tax Expense,997000
37,533,5,2,2018-07-03 02:58:08,2016-08-31,Minority Interest,401000
38,533,5,2,2018-07-03 02:58:08,2016-08-31,Net Income From Continuing Ops,4191000
39,533,5,2,2018-07-03 02:58:08,2016-08-31,Discontinued Operations,-
40,533,5,2,2018-07-03 02:58:08,2016-08-31,Extraordinary Items,-
41,533,5,2,2018-07-03 02:58:08,2016-08-31,Effect Of Accounting Changes,-
42,533,5,2,2018-07-03 02:58:08,2016-08-31,Other Items,-
43,533,5,2,2018-07-03 02:58:08,2016-08-31,Net Income,4173000
44,533,5,2,2018-07-03 02:58:08,2016-08-31,Preferred Stock And Other Adjustments,-
45,533,5,2,2018-07-03 02:58:08,2016-08-31,Net Income Applicable To Common Shares,4173000
46,533,5,2,2018-07-03 02:58:08,2015-08-31,Total Revenue,103444000
47,533,5,2,2018-07-03 02:58:08,2015-08-31,Cost of Revenue,76585000
48,533,5,2,2018-07-03 02:58:08,2015-08-31,Gross Profit,26859000
49,533,5,2,2018-07-03 02:58:08,2015-08-31,Research Development,-
50,533,5,2,2018-07-03 02:58:08,2015-08-31,Selling General and Administrative,21591000
51,533,5,2,2018-07-03 02:58:08,2015-08-31,Non Recurring,-
52,533,5,2,2018-07-03 02:58:08,2015-08-31,Others,-
53,533,5,2,2018-07-03 02:58:08,2015-08-31,Total Operating Expenses,98176000
54,533,5,2,2018-07-03 02:58:08,2015-08-31,Operating Income or Loss,5268000
55,533,5,2,2018-07-03 02:58:08,2015-08-31,Total Other Income/Expenses Net,67000
56,533,5,2,2018-07-03 02:58:08,2015-08-31,Earnings Before Interest and Taxes,5268000
57,533,5,2,2018-07-03 02:58:08,2015-08-31,Interest Expense,-471000
58,533,5,2,2018-07-03 02:58:08,2015-08-31,Income Before Tax,5335000
59,533,5,2,2018-07-03 02:58:08,2015-08-31,Income Tax Expense,1056000
60,533,5,2,2018-07-03 02:58:08,2015-08-31,Minority Interest,439000
61,533,5,2,2018-07-03 02:58:08,2015-08-31,Net Income From Continuing Ops,4279000
62,533,5,2,2018-07-03 02:58:08,2015-08-31,Discontinued Operations,-
63,533,5,2,2018-07-03 02:58:08,2015-08-31,Extraordinary Items,-
64,533,5,2,2018-07-03 02:58:08,2015-08-31,Effect Of Accounting Changes,-
65,533,5,2,2018-07-03 02:58:08,2015-08-31,Other Items,-
66,533,5,2,2018-07-03 02:58:08,2015-08-31,Net Income,4220000
67,533,5,2,2018-07-03 02:58:08,2015-08-31,Preferred Stock And Other Adjustments,-
68,533,5,2,2018-07-03 02:58:08,2015-08-31,Net Income Applicable To Common Shares,4220000
69,533,5,2,2018-07-03 02:58:08,2014-08-31,Total Revenue,76392000
70,533,5,2,2018-07-03 02:58:08,2014-08-31,Cost of Revenue,54823000
71,533,5,2,2018-07-03 02:58:08,2014-08-31,Gross Profit,21569000
72,533,5,2,2018-07-03 02:58:08,2014-08-31,Research Development,-
73,533,5,2,2018-07-03 02:58:08,2014-08-31,Selling General and Administrative,17691000
74,533,5,2,2018-07-03 02:58:08,2014-08-31,Non Recurring,-
75,533,5,2,2018-07-03 02:58:08,2014-08-31,Others,-
76,533,5,2,2018-07-03 02:58:08,2014-08-31,Total Operating Expenses,72514000
77,533,5,2,2018-07-03 02:58:08,2014-08-31,Operating Income or Loss,3878000
78,533,5,2,2018-07-03 02:58:08,2014-08-31,Total Other Income/Expenses Net,-321000
79,533,5,2,2018-07-03 02:58:08,2014-08-31,Earnings Before Interest and Taxes,3878000
80,533,5,2,2018-07-03 02:58:08,2014-08-31,Interest Expense,-161000
81,533,5,2,2018-07-03 02:58:08,2014-08-31,Income Before Tax,3557000
82,533,5,2,2018-07-03 02:58:08,2014-08-31,Income Tax Expense,1526000
83,533,5,2,2018-07-03 02:58:08,2014-08-31,Minority Interest,104000
84,533,5,2,2018-07-03 02:58:08,2014-08-31,Net Income From Continuing Ops,2031000
85,533,5,2,2018-07-03 02:58:08,2014-08-31,Discontinued Operations,-
86,533,5,2,2018-07-03 02:58:08,2014-08-31,Extraordinary Items,-
87,533,5,2,2018-07-03 02:58:08,2014-08-31,Effect Of Accounting Changes,-
88,533,5,2,2018-07-03 02:58:08,2014-08-31,Other Items,-
89,533,5,2,2018-07-03 02:58:08,2014-08-31,Net Income,1932000
90,533,5,2,2018-07-03 02:58:08,2014-08-31,Preferred Stock And Other Adjustments,-
91,533,5,2,2018-07-03 02:58:08,2014-08-31,Net Income Applicable To Common Shares,1932000
0,533,6,2,2018-07-03 02:58:08,2017-08-31,Cash And Cash Equivalents,3301000
1,533,6,2,2018-07-03 02:58:08,2017-08-31,Short Term Investments,-
2,533,6,2,2018-07-03 02:58:08,2017-08-31,Net Receivables,6528000
3,533,6,2,2018-07-03 02:58:08,2017-08-31,Inventory,8899000
4,533,6,2,2018-07-03 02:58:08,2017-08-31,Other Current Assets,1025000
5,533,6,2,2018-07-03 02:58:08,2017-08-31,Total Current Assets,19753000
6,533,6,2,2018-07-03 02:58:08,2017-08-31,Long Term Investments,6320000
7,533,6,2,2018-07-03 02:58:08,2017-08-31,Property Plant and Equipment,13642000
8,533,6,2,2018-07-03 02:58:08,2017-08-31,Goodwill,15632000
9,533,6,2,2018-07-03 02:58:08,2017-08-31,Intangible Assets,10156000
10,533,6,2,2018-07-03 02:58:08,2017-08-31,Accumulated Amortization,-
11,533,6,2,2018-07-03 02:58:08,2017-08-31,Other Assets,506000
12,533,6,2,2018-07-03 02:58:08,2017-08-31,Deferred Long Term Asset Charges,-
13,533,6,2,2018-07-03 02:58:08,2017-08-31,Total Assets,66009000
14,533,6,2,2018-07-03 02:58:08,2017-08-31,Accounts Payable,12494000
15,533,6,2,2018-07-03 02:58:08,2017-08-31,Short/Current Long Term Debt,12935000
16,533,6,2,2018-07-03 02:58:08,2017-08-31,Other Current Liabilities,4574000
17,533,6,2,2018-07-03 02:58:08,2017-08-31,Total Current Liabilities,18547000
18,533,6,2,2018-07-03 02:58:08,2017-08-31,Long Term Debt,12684000
19,533,6,2,2018-07-03 02:58:08,2017-08-31,Other Liabilities,6504000
20,533,6,2,2018-07-03 02:58:08,2017-08-31,Deferred Long Term Liability Charges,-
21,533,6,2,2018-07-03 02:58:08,2017-08-31,Minority Interest,808000
22,533,6,2,2018-07-03 02:58:08,2017-08-31,Negative Goodwill,-
23,533,6,2,2018-07-03 02:58:08,2017-08-31,Total Liabilities,37735000
