,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,461,2,Price (T.Rowe) Associates Inc,68414157,2017-12-30 00:00:00,14.46%,3589006613,2018-07-03 02:31:25
1,461,2,Primecap Management Company,50860814,2017-12-30 00:00:00,10.75%,2668158255,2018-07-03 02:31:25
2,461,2,"Berkshire Hathaway, Inc",46000000,2017-12-30 00:00:00,9.72%,2413159957,2018-07-03 02:31:25
3,461,2,"Vanguard Group, Inc. (The)",28506633,2017-12-30 00:00:00,6.03%,1495457941,2018-07-03 02:31:25
4,461,2,Blackrock Inc.,24544507,2017-12-30 00:00:00,5.19%,1287604814,2018-07-03 02:31:25
5,461,2,"FMR, LLC",19516337,2017-12-30 00:00:00,4.12%,1023827021,2018-07-03 02:31:25
6,461,2,State Street Corporation,15633913,2017-12-30 00:00:00,3.30%,820155061,2018-07-03 02:31:25
7,461,2,Invesco Ltd.,4885562,2017-12-30 00:00:00,1.03%,256296578,2018-07-03 02:31:25
8,461,2,"Geode Capital Management, LLC",4742823,2017-12-30 00:00:00,1.00%,248808490,2018-07-03 02:31:25
9,461,2,Northern Trust Corporation,4429358,2017-12-30 00:00:00,0.94%,232364116,2018-07-03 02:31:25
0,461,2,Vanguard/Primecap Fund,20355200,2017-06-29 00:00:00,4.30%,987227200,2018-07-03 02:31:25
1,461,2,Price (T.Rowe) Blue Chip Growth Fund Inc.,14306319,2017-12-30 00:00:00,3.02%,750509481,2018-07-03 02:31:25
2,461,2,Price (T.Rowe) Growth Stock Fund Inc.,13252046,2017-12-30 00:00:00,2.80%,695202321,2018-07-03 02:31:25
3,461,2,Vanguard Total Stock Market Index Fund,10322917,2017-06-29 00:00:00,2.18%,500661474,2018-07-03 02:31:25
4,461,2,Vanguard 500 Index Fund,7771721,2017-06-29 00:00:00,1.64%,376928468,2018-07-03 02:31:25
5,461,2,Vanguard Horizon Fund-Capital Opportunity Portfolio,5879400,2017-06-29 00:00:00,1.24%,285150900,2018-07-03 02:31:25
6,461,2,Primecap Odyssey Growth Fund,5587201,2017-12-30 00:00:00,1.18%,293104559,2018-07-03 02:31:25
7,461,2,SPDR S&P 500 ETF Trust,5469504,2018-01-30 00:00:00,1.16%,288133472,2018-07-03 02:31:25
8,461,2,Vanguard Institutional Index Fund-Institutional Index Fund,5401058,2017-06-29 00:00:00,1.14%,261951313,2018-07-03 02:31:25
9,461,2,Primecap Odyssey Aggressive Growth Fund,5375300,2017-12-30 00:00:00,1.14%,281988233,2018-07-03 02:31:25
