,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,454,2,"Vanguard Group, Inc. (The)",7153353,2017-12-30 00:00:00,9.67%,713260821,2018-07-03 02:28:47
1,454,2,Blackrock Inc.,4497944,2017-12-30 00:00:00,6.08%,448489992,2018-07-03 02:28:47
2,454,2,Artisan Partners Limited Partnership,3482811,2017-12-30 00:00:00,4.71%,347271081,2018-07-03 02:28:47
3,454,2,"Franklin Resources, Inc",3418890,2017-12-30 00:00:00,4.62%,340897518,2018-07-03 02:28:47
4,454,2,State Street Corporation,3182662,2017-12-30 00:00:00,4.30%,317343225,2018-07-03 02:28:47
5,454,2,Starboard Value LP,3175000,2017-12-30 00:00:00,4.29%,316579247,2018-07-03 02:28:47
6,454,2,Invesco Ltd.,2939371,2017-12-30 00:00:00,3.97%,293084679,2018-07-03 02:28:47
7,454,2,"American Century Companies, Inc.",2495925,2017-12-30 00:00:00,3.37%,248868679,2018-07-03 02:28:47
8,454,2,Causeway Capital Management LLC,2051121,2017-12-30 00:00:00,2.77%,204517273,2018-07-03 02:28:47
9,454,2,"Neuberger Berman Group, LLC",1541563,2017-12-30 00:00:00,2.08%,153709245,2018-07-03 02:28:47
0,454,2,Vanguard Mid-Cap Index Fund,1732077,2017-06-29 00:00:00,2.34%,211244109,2018-07-03 02:28:47
1,454,2,Vanguard Total Stock Market Index Fund,1600035,2017-06-29 00:00:00,2.16%,195140267,2018-07-03 02:28:47
2,454,2,Vanguard 500 Index Fund,1165069,2017-06-29 00:00:00,1.57%,142091814,2018-07-03 02:28:47
3,454,2,American Century Mid Cap Value Fund,975556,2017-12-30 00:00:00,1.32%,97272687,2018-07-03 02:28:47
4,454,2,Invesco Comstock Fd,971175,2017-12-30 00:00:00,1.31%,96835858,2018-07-03 02:28:47
5,454,2,SPDR S&P 500 ETF Trust,918072,2018-01-30 00:00:00,1.24%,112821867,2018-07-03 02:28:47
6,454,2,Vanguard Institutional Index Fund-Institutional Index Fund,809760,2017-06-29 00:00:00,1.09%,98758328,2018-07-03 02:28:47
7,454,2,MFS Series Trust I-MFS Value Fund,808391,2017-08-30 00:00:00,1.09%,76522295,2018-07-03 02:28:47
8,454,2,Old Westbury Small & Mid Cap Strategies Fund,755687,2017-07-30 00:00:00,1.02%,83284263,2018-07-03 02:28:47
9,454,2,Prudential Jennison Mid-Cap Growth Fd,662738,2018-01-30 00:00:00,0.90%,81443872,2018-07-03 02:28:47
