,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,71,2,"Vanguard Group, Inc. (The)",49787583,2017-12-30 00:00:00,7.40%,7645879485,2018-07-03 00:04:47
1,71,2,Massachusetts Financial Services Co.,41005995,2017-12-30 00:00:00,6.10%,6297290952,2018-07-03 00:04:47
2,71,2,Blackrock Inc.,39487294,2017-12-30 00:00:00,5.87%,6064064028,2018-07-03 00:04:47
3,71,2,Capital Research Global Investors,27367001,2017-12-30 00:00:00,4.07%,4202750544,2018-07-03 00:04:47
4,71,2,State Street Corporation,24625475,2017-12-30 00:00:00,3.66%,3781734376,2018-07-03 00:04:47
5,71,2,"Wellington Management Company, LLP",16999180,2017-12-30 00:00:00,2.53%,2610564197,2018-07-03 00:04:47
6,71,2,Morgan Stanley,13254373,2017-12-30 00:00:00,1.97%,2035474158,2018-07-03 00:04:47
7,71,2,JP Morgan Chase & Company,12441001,2017-12-30 00:00:00,1.85%,1910564614,2018-07-03 00:04:47
8,71,2,Bank Of New York Mellon Corporation,11688437,2017-12-30 00:00:00,1.74%,1794993355,2018-07-03 00:04:47
9,71,2,Northern Trust Corporation,9686469,2017-12-30 00:00:00,1.44%,1487551115,2018-07-03 00:04:47
0,71,2,Vanguard Total Stock Market Index Fund,14302720,2017-06-29 00:00:00,2.13%,1747649391,2018-07-03 00:04:47
1,71,2,Vanguard 500 Index Fund,9810693,2017-06-29 00:00:00,1.46%,1198768601,2018-07-03 00:04:47
2,71,2,MFS Series Trust I-MFS Value Fund,9398839,2017-08-30 00:00:00,1.40%,1214706003,2018-07-03 00:04:47
3,71,2,Investment Company Of America,8745933,2017-12-30 00:00:00,1.30%,1343112994,2018-07-03 00:04:47
4,71,2,SPDR S&P 500 ETF Trust,7853141,2018-01-30 00:00:00,1.17%,1265847816,2018-07-03 00:04:47
5,71,2,Vanguard Specialized-Dividend Growth Fund,6982740,2017-07-30 00:00:00,1.04%,896583773,2018-07-03 00:04:47
6,71,2,Amcap Fund,6828700,2017-12-30 00:00:00,1.02%,1048683509,2018-07-03 00:04:47
7,71,2,Vanguard Institutional Index Fund-Institutional Index Fund,6805094,2017-06-29 00:00:00,1.01%,831514452,2018-07-03 00:04:47
8,71,2,Vanguard/Wellington Fund Inc.,6003990,2017-08-30 00:00:00,0.89%,775955700,2018-07-03 00:04:47
9,71,2,Vanguard Specialized-Dividend Appreciation Index Fund,5629061,2017-07-30 00:00:00,0.84%,722771398,2018-07-03 00:04:47
