,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,73,2,"FMR, LLC",35612548,2017-12-30 00:00:00,7.22%,6251782910,2018-07-03 00:05:32
1,73,2,"Vanguard Group, Inc. (The)",35213142,2017-12-30 00:00:00,7.14%,6181667185,2018-07-03 00:05:32
2,73,2,Blackrock Inc.,32675677,2017-12-30 00:00:00,6.62%,5736215197,2018-07-03 00:05:32
3,73,2,Primecap Management Company,23468731,2017-12-30 00:00:00,4.76%,4119935798,2018-07-03 00:05:32
4,73,2,State Street Corporation,18941507,2017-12-30 00:00:00,3.84%,3325181611,2018-07-03 00:05:32
5,73,2,Bank Of New York Mellon Corporation,12380815,2017-12-30 00:00:00,2.51%,2173452111,2018-07-03 00:05:32
6,73,2,Jennison Associates LLC,10749470,2017-12-30 00:00:00,2.18%,1887069491,2018-07-03 00:05:32
7,73,2,Janus Henderson Group PLC,10343236,2017-12-30 00:00:00,2.10%,1815755111,2018-07-03 00:05:32
8,73,2,JP Morgan Chase & Company,8986716,2017-12-30 00:00:00,1.82%,1577618021,2018-07-03 00:05:32
9,73,2,Massachusetts Financial Services Co.,6779455,2017-12-30 00:00:00,1.37%,1190133345,2018-07-03 00:05:32
0,73,2,Vanguard/Primecap Fund,15177570,2017-06-29 00:00:00,3.08%,2163410725,2018-07-03 00:05:32
1,73,2,Fidelity Contrafund Inc,12872021,2018-01-30 00:00:00,2.61%,2551620667,2018-07-03 00:05:32
2,73,2,Vanguard Total Stock Market Index Fund,11369884,2017-06-29 00:00:00,2.30%,1620663189,2018-07-03 00:05:32
3,73,2,Vanguard 500 Index Fund,7839386,2017-06-29 00:00:00,1.59%,1117426027,2018-07-03 00:05:32
4,73,2,SPDR S&P 500 ETF Trust,6262515,2018-01-30 00:00:00,1.27%,1241418321,2018-07-03 00:05:32
5,73,2,Vanguard Institutional Index Fund-Institutional Index Fund,5429281,2017-06-29 00:00:00,1.10%,773889677,2018-07-03 00:05:32
6,73,2,Harbor Capital Appreciation Fund,4284255,2017-12-30 00:00:00,0.87%,752100978,2018-07-03 00:05:32
7,73,2,"Powershares Exhg Traded Fd Tr-Powershares QQQ Tr, Series 1",3982525,2018-01-30 00:00:00,0.81%,789455913,2018-07-03 00:05:32
8,73,2,MFS Series Trust II-MFS Growth Fund,3300039,2017-08-30 00:00:00,0.67%,500912897,2018-07-03 00:05:32
9,73,2,iShares Core S&P 500 ETF,3196772,2018-01-30 00:00:00,0.65%,633696099,2018-07-03 00:05:32
