,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,77,2,"ValueAct Holdings, L.P.",5877400,2017-12-30 00:00:00,10.60%,1477284525,2018-07-03 00:06:59
1,77,2,"Vanguard Group, Inc. (The)",4823674,2017-12-30 00:00:00,8.70%,1212430489,2018-07-03 00:06:59
2,77,2,Blackrock Inc.,3060167,2017-12-30 00:00:00,5.52%,769172994,2018-07-03 00:06:59
3,77,2,Edgewood Management Company,2903833,2017-12-30 00:00:00,5.24%,729878442,2018-07-03 00:06:59
4,77,2,State Street Corporation,1956555,2017-12-30 00:00:00,3.53%,491780111,2018-07-03 00:06:59
5,77,2,"Wellington Management Company, LLP",1913408,2017-12-30 00:00:00,3.45%,480935112,2018-07-03 00:06:59
6,77,2,"Brave Warrior Advisors, LLC",1656724,2017-12-30 00:00:00,2.99%,416417587,2018-07-03 00:06:59
7,77,2,"FMR, LLC",1309462,2017-12-30 00:00:00,2.36%,329133281,2018-07-03 00:06:59
8,77,2,Northern Trust Corporation,1141698,2017-12-30 00:00:00,2.06%,286965799,2018-07-03 00:06:59
9,77,2,Thrivent Financial For Lutherans,1036763,2017-12-30 00:00:00,1.87%,260590386,2018-07-03 00:06:59
0,77,2,Advisors Inner Circle Fund-Edgewood Growth Fd,1388602,2017-07-30 00:00:00,2.50%,334722516,2018-07-03 00:06:59
1,77,2,Vanguard Mid-Cap Index Fund,1307622,2017-06-29 00:00:00,2.36%,339929403,2018-07-03 00:06:59
2,77,2,Vanguard Total Stock Market Index Fund,1232855,2017-06-29 00:00:00,2.22%,320492975,2018-07-03 00:06:59
3,77,2,Vanguard 500 Index Fund,877880,2017-06-29 00:00:00,1.58%,228213677,2018-07-03 00:06:59
4,77,2,Ivy Science & Technology Fund,753000,2017-06-29 00:00:00,1.36%,195749873,2018-07-03 00:06:59
5,77,2,Vanguard Institutional Index Fund-Institutional Index Fund,610468,2017-06-29 00:00:00,1.10%,158697256,2018-07-03 00:06:59
6,77,2,SPDR S&P 500 ETF Trust,609503,2018-01-30 00:00:00,1.10%,156343620,2018-07-03 00:06:59
7,77,2,Parnassus Endeavor Fund,505000,2017-09-29 00:00:00,0.91%,111029300,2018-07-03 00:06:59
8,77,2,Vanguard Growth Index Fund,336810,2017-06-29 00:00:00,0.61%,87557124,2018-07-03 00:06:59
9,77,2,Vanguard Mid-Cap Growth Index Fund,322098,2017-06-29 00:00:00,0.58%,83732593,2018-07-03 00:06:59
