,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,80,2,"Vanguard Group, Inc. (The)",73255687,2017-12-30 00:00:00,11.09%,788231208,2018-07-03 00:08:04
1,80,2,Blackrock Inc.,63704337,2017-12-30 00:00:00,9.64%,685458680,2018-07-03 00:08:04
2,80,2,"FMR, LLC",43519511,2017-12-30 00:00:00,6.59%,468269948,2018-07-03 00:08:04
3,80,2,State Street Corporation,32774464,2017-12-30 00:00:00,4.96%,352653240,2018-07-03 00:08:04
4,80,2,Capital International Investors,28067613,2017-12-30 00:00:00,4.25%,302007522,2018-07-03 00:08:04
5,80,2,"Ameriprise Financial, Inc.",20101807,2017-12-30 00:00:00,3.04%,216295447,2018-07-03 00:08:04
6,80,2,Massachusetts Financial Services Co.,19543609,2017-12-30 00:00:00,2.96%,210289237,2018-07-03 00:08:04
7,80,2,"Aristotle Capital Management, LLC",17420583,2017-12-30 00:00:00,2.64%,187445477,2018-07-03 00:08:04
8,80,2,"AJO, LP",15487201,2017-12-30 00:00:00,2.34%,166642286,2018-07-03 00:08:04
9,80,2,"Thompson, Siegel & Walmsley LLC",12776643,2017-12-30 00:00:00,1.93%,137476681,2018-07-03 00:08:04
0,80,2,New Perspective Fund Inc,18538100,2017-12-30 00:00:00,2.81%,199469960,2018-07-03 00:08:04
1,80,2,Vanguard Mid-Cap Index Fund,16304838,2017-06-29 00:00:00,2.47%,187505637,2018-07-03 00:08:04
2,80,2,Vanguard Total Stock Market Index Fund,14971667,2017-06-29 00:00:00,2.27%,172174170,2018-07-03 00:08:04
3,80,2,Vanguard 500 Index Fund,10420919,2017-06-29 00:00:00,1.58%,119840568,2018-07-03 00:08:04
4,80,2,SPDR S&P 500 ETF Trust,8239568,2018-01-30 00:00:00,1.25%,97309301,2018-07-03 00:08:04
5,80,2,Variable Insurance Products Fund III-Mid-Cap Portfolio,7581400,2018-01-30 00:00:00,1.15%,89536337,2018-07-03 00:08:04
6,80,2,Select Sector SPDR Fund-Utilities,7570551,2018-01-30 00:00:00,1.15%,89408210,2018-07-03 00:08:04
7,80,2,BlackRock Basic Value Fund,7288020,2017-09-29 00:00:00,1.10%,81115663,2018-07-03 00:08:04
8,80,2,Vanguard Institutional Index Fund-Institutional Index Fund,7224787,2017-06-29 00:00:00,1.09%,83085050,2018-07-03 00:08:04
9,80,2,Fidelity Value Fund,5805100,2018-01-30 00:00:00,0.88%,68558233,2018-07-03 00:08:04
