,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,84,2,Blackrock Inc.,64266238,2017-12-30 00:00:00,7.12%,3855974280,2018-07-03 00:09:33
1,84,2,"Vanguard Group, Inc. (The)",61323039,2017-12-30 00:00:00,6.79%,3679382340,2018-07-03 00:09:33
2,84,2,Capital Research Global Investors,57556990,2017-12-30 00:00:00,6.37%,3453419400,2018-07-03 00:09:33
3,84,2,"Icahn, Carl, C.",42978619,2017-12-30 00:00:00,4.76%,2578717140,2018-07-03 00:09:33
4,84,2,State Street Corporation,41118806,2017-12-30 00:00:00,4.55%,2467128360,2018-07-03 00:09:33
5,84,2,"Wellington Management Company, LLP",32712957,2017-12-30 00:00:00,3.62%,1962777420,2018-07-03 00:09:33
6,84,2,Harris Associates L.P.,29042029,2017-12-30 00:00:00,3.22%,1742521740,2018-07-03 00:09:33
7,84,2,JP Morgan Chase & Company,22797930,2017-12-30 00:00:00,2.52%,1367875800,2018-07-03 00:09:33
8,84,2,Price (T.Rowe) Associates Inc,22380852,2017-12-30 00:00:00,2.48%,1342851120,2018-07-03 00:09:33
9,84,2,"Franklin Resources, Inc",20828444,2017-12-30 00:00:00,2.31%,1249706640,2018-07-03 00:09:33
0,84,2,Growth Fund Of America Inc,25242273,2017-12-30 00:00:00,2.80%,1514536380,2018-07-03 00:09:33
1,84,2,Vanguard Total Stock Market Index Fund,21184034,2017-06-29 00:00:00,2.35%,1343279592,2018-07-03 00:09:33
2,84,2,Investment Company Of America,16198200,2017-12-30 00:00:00,1.79%,971892000,2018-07-03 00:09:33
3,84,2,Vanguard 500 Index Fund,13928488,2017-06-29 00:00:00,1.54%,883205421,2018-07-03 00:09:33
4,84,2,SPDR S&P 500 ETF Trust,11444253,2018-01-30 00:00:00,1.27%,735407722,2018-07-03 00:09:33
5,84,2,Vanguard Institutional Index Fund-Institutional Index Fund,9652815,2017-06-29 00:00:00,1.07%,612084997,2018-07-03 00:09:33
6,84,2,Vanguard/Wellington Fund Inc.,8952281,2017-08-30 00:00:00,0.99%,543045364,2018-07-03 00:09:33
7,84,2,Select Sector SPDR Fund-Financial,8643264,2018-01-30 00:00:00,0.96%,555416163,2018-07-03 00:09:33
8,84,2,College Retirement Equities Fund-Stock Account,7962092,2017-06-29 00:00:00,0.88%,504876252,2018-07-03 00:09:33
9,84,2,FPA Funds Tr-FPA Crescent Fund,7840680,2017-09-29 00:00:00,0.87%,480241650,2018-07-03 00:09:33
