,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,464,2,"Vanguard Group, Inc. (The)",18710585,2017-12-30 00:00:00,10.28%,1190554543,2018-07-03 02:32:33
1,464,2,Blackrock Inc.,14413622,2017-12-30 00:00:00,7.92%,917138783,2018-07-03 02:32:33
2,464,2,State Street Corporation,8971412,2017-12-30 00:00:00,4.93%,570850955,2018-07-03 02:32:33
3,464,2,Baillie Gifford and Company,7252665,2017-12-30 00:00:00,3.98%,461487081,2018-07-03 02:32:33
4,464,2,JP Morgan Chase & Company,4923817,2017-12-30 00:00:00,2.70%,313302480,2018-07-03 02:32:33
5,464,2,Prudential PLC,4693187,2017-12-30 00:00:00,2.58%,298627493,2018-07-03 02:32:33
6,464,2,Victory Capital Management Inc.,4182454,2017-12-30 00:00:00,2.30%,266129552,2018-07-03 02:32:33
7,464,2,"Wellington Management Company, LLP",3781655,2017-12-30 00:00:00,2.08%,240626711,2018-07-03 02:32:33
8,464,2,"ThomasPartners, Inc.",3586448,2017-12-30 00:00:00,1.97%,228205690,2018-07-03 02:32:33
9,464,2,Invesco Ltd.,3110754,2017-12-30 00:00:00,1.71%,197937280,2018-07-03 02:32:33
0,464,2,Vanguard Mid-Cap Index Fund,4438488,2017-06-29 00:00:00,2.44%,250818949,2018-07-03 02:32:33
1,464,2,Vanguard Total Stock Market Index Fund,4101548,2017-06-29 00:00:00,2.25%,231778470,2018-07-03 02:32:33
2,464,2,Victory Portfolios-Sycamore Established Value Fund,2902087,2017-07-30 00:00:00,1.59%,172412988,2018-07-03 02:32:33
3,464,2,Vanguard 500 Index Fund,2831121,2017-06-29 00:00:00,1.56%,159986642,2018-07-03 02:32:33
4,464,2,iShares Select Dividend ETF,2358541,2018-01-30 00:00:00,1.30%,164555397,2018-07-03 02:32:33
5,464,2,SPDR S&P 500 ETF Trust,2276331,2018-01-30 00:00:00,1.25%,158819606,2018-07-03 02:32:33
6,464,2,Vanguard Institutional Index Fund-Institutional Index Fund,1967913,2017-06-29 00:00:00,1.08%,111206760,2018-07-03 02:32:33
7,464,2,Select Sector SPDR Fund-Financial,1738287,2018-01-30 00:00:00,0.95%,121280278,2018-07-03 02:32:33
8,464,2,JP Morgan Equity Income Fund,1534003,2018-01-30 00:00:00,0.84%,107027384,2018-07-03 02:32:33
9,464,2,Powershares Exgh Traded Fd Tr II-Pwrshs S&P 500 Low Volatility Port,1238577,2018-01-30 00:00:00,0.68%,86415513,2018-07-03 02:32:33
