,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,459,2,"Vanguard Group, Inc. (The)",7616631,2017-12-30 00:00:00,9.50%,1725014556,2018-07-03 02:30:42
1,459,2,Blackrock Inc.,5153023,2017-12-30 00:00:00,6.43%,1167056627,2018-07-03 02:30:42
2,459,2,State Street Corporation,3034833,2017-12-30 00:00:00,3.79%,687328964,2018-07-03 02:30:42
3,459,2,"Polen Capital Management, LLC",2621506,2017-12-30 00:00:00,3.27%,593718667,2018-07-03 02:30:42
4,459,2,"Renaissance Technologies, LLC",2614100,2017-12-30 00:00:00,3.26%,592041356,2018-07-03 02:30:42
5,459,2,Bank Of New York Mellon Corporation,1558070,2017-12-30 00:00:00,1.94%,352871686,2018-07-03 02:30:42
6,459,2,Price (T.Rowe) Associates Inc,1365474,2017-12-30 00:00:00,1.70%,309252545,2018-07-03 02:30:42
7,459,2,Invesco Ltd.,1206660,2017-12-30 00:00:00,1.51%,273284351,2018-07-03 02:30:42
8,459,2,Janus Henderson Group PLC,1103661,2017-12-30 00:00:00,1.38%,249957138,2018-07-03 02:30:42
9,459,2,Bank of America Corporation,1072432,2017-12-30 00:00:00,1.34%,242884394,2018-07-03 02:30:42
0,459,2,Vanguard Total Stock Market Index Fund,1664508,2017-06-29 00:00:00,2.08%,248577618,2018-07-03 02:30:42
1,459,2,Vanguard 500 Index Fund,1190750,2017-06-29 00:00:00,1.49%,177826600,2018-07-03 02:30:42
2,459,2,SPDR S&P 500 ETF Trust,912658,2018-01-30 00:00:00,1.14%,252596344,2018-07-03 02:30:42
3,459,2,Vanguard Mid-Cap Index Fund,893690,2017-06-29 00:00:00,1.12%,133463661,2018-07-03 02:30:42
4,459,2,Vanguard Small-Cap Index Fund,840405,2017-06-29 00:00:00,1.05%,125506079,2018-07-03 02:30:42
5,459,2,Vanguard Institutional Index Fund-Institutional Index Fund,827876,2017-06-29 00:00:00,1.03%,123634998,2018-07-03 02:30:42
6,459,2,"Powershares Exhg Traded Fd Tr-Powershares QQQ Tr, Series 1",647744,2018-01-30 00:00:00,0.81%,179276099,2018-07-03 02:30:42
7,459,2,Columbia Acorn Fund,624458,2017-06-29 00:00:00,0.78%,93256555,2018-07-03 02:30:42
8,459,2,iShares Core S&P 500 ETF,467849,2018-01-30 00:00:00,0.58%,129486562,2018-07-03 02:30:42
9,459,2,Vanguard Small-Cap Growth Index Fund,460094,2017-06-29 00:00:00,0.57%,68710436,2018-07-03 02:30:42
