,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,457,2,"Vanguard Group, Inc. (The)",12037170,2017-12-30 00:00:00,9.76%,897611763,2018-07-03 02:29:55
1,457,2,Price (T.Rowe) Associates Inc,9042552,2017-12-30 00:00:00,7.33%,674303099,2018-07-03 02:29:55
2,457,2,Blackrock Inc.,7310003,2017-12-30 00:00:00,5.92%,545106921,2018-07-03 02:29:55
3,457,2,Primecap Management Company,6037100,2017-12-30 00:00:00,4.89%,450186545,2018-07-03 02:29:55
4,457,2,State Street Corporation,4422925,2017-12-30 00:00:00,3.58%,329817515,2018-07-03 02:29:55
5,457,2,Egerton Capital Limited Partnership,3895027,2017-12-30 00:00:00,3.16%,290452162,2018-07-03 02:29:55
6,457,2,"Wellington Management Company, LLP",3235680,2017-12-30 00:00:00,2.62%,241284656,2018-07-03 02:29:55
7,457,2,"Franklin Resources, Inc",3226438,2017-12-30 00:00:00,2.61%,240595480,2018-07-03 02:29:55
8,457,2,"PAR Capital Management, Inc.",2500000,2017-12-30 00:00:00,2.03%,186424999,2018-07-03 02:29:55
9,457,2,"Principal Financial Group, Inc.",2382344,2017-12-30 00:00:00,1.93%,177651391,2018-07-03 02:29:55
0,457,2,Vanguard/Primecap Fund,4996700,2017-06-29 00:00:00,4.05%,444306554,2018-07-03 02:29:55
1,457,2,Franklin Custodian Funds-Growth Fund,3200000,2017-06-29 00:00:00,2.59%,284543994,2018-07-03 02:29:55
2,457,2,Price (T.Rowe) Blue Chip Growth Fund Inc.,3199100,2017-12-30 00:00:00,2.59%,238556886,2018-07-03 02:29:55
3,457,2,Vanguard Mid-Cap Index Fund,3056037,2017-06-29 00:00:00,2.48%,271742804,2018-07-03 02:29:55
4,457,2,Vanguard Total Stock Market Index Fund,2831513,2017-06-29 00:00:00,2.29%,251778130,2018-07-03 02:29:55
5,457,2,Vanguard 500 Index Fund,1949603,2017-06-29 00:00:00,1.58%,173358695,2018-07-03 02:29:55
6,457,2,SPDR S&P 500 ETF Trust,1544841,2018-01-30 00:00:00,1.25%,101156193,2018-07-03 02:29:55
7,457,2,Vanguard Institutional Index Fund-Institutional Index Fund,1355302,2017-06-29 00:00:00,1.10%,120513451,2018-07-03 02:29:55
8,457,2,Hartford Mid Cap Fund,1297156,2017-10-30 00:00:00,1.05%,86208986,2018-07-03 02:29:55
9,457,2,Price (T.Rowe) Institutional Large Cap Growth Fund,1226934,2017-12-30 00:00:00,0.99%,91492468,2018-07-03 02:29:55
