,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,79,2,Blackrock Inc.,26950291,2017-12-30 00:00:00,7.60%,2827355127,2018-07-03 00:07:43
1,79,2,"Vanguard Group, Inc. (The)",24932249,2017-12-30 00:00:00,7.03%,2615642333,2018-07-03 00:07:43
2,79,2,State Street Corporation,17861920,2017-12-30 00:00:00,5.04%,1873894092,2018-07-03 00:07:43
3,79,2,Boston Partners,8921194,2017-12-30 00:00:00,2.52%,935922495,2018-07-03 00:07:43
4,79,2,Macquarie Group Limited,7189793,2017-12-30 00:00:00,2.03%,754281209,2018-07-03 00:07:43
5,79,2,"AQR Capital Management, LLC",7128248,2017-12-30 00:00:00,2.01%,747824523,2018-07-03 00:07:43
6,79,2,Northern Trust Corporation,7043409,2017-12-30 00:00:00,1.99%,738924063,2018-07-03 00:07:43
7,79,2,Wells Fargo & Company,5281498,2017-12-30 00:00:00,1.49%,554081974,2018-07-03 00:07:43
8,79,2,Lsv Asset Management,5069858,2017-12-30 00:00:00,1.43%,531878821,2018-07-03 00:07:43
9,79,2,"Goldman Sachs Group, Inc.",5037912,2017-12-30 00:00:00,1.42%,528527366,2018-07-03 00:07:43
0,79,2,Vanguard Total Stock Market Index Fund,8378015,2017-06-29 00:00:00,2.36%,738689567,2018-07-03 00:07:43
1,79,2,Vanguard 500 Index Fund,5751384,2017-06-29 00:00:00,1.62%,507099516,2018-07-03 00:07:43
2,79,2,SPDR S&P 500 ETF Trust,4560835,2018-01-30 00:00:00,1.29%,447144267,2018-07-03 00:07:43
3,79,2,Delaware Group Equity Funds II- Value Fund,4313082,2017-08-30 00:00:00,1.22%,390980889,2018-07-03 00:07:43
4,79,2,Vanguard Institutional Index Fund-Institutional Index Fund,3999998,2017-06-29 00:00:00,1.13%,352679816,2018-07-03 00:07:43
5,79,2,Select Sector SPDR Fund-Financial,3450087,2018-01-30 00:00:00,0.97%,338246532,2018-07-03 00:07:43
6,79,2,iShares Core S&P 500 ETF,2327315,2018-01-30 00:00:00,0.66%,228169964,2018-07-03 00:07:43
7,79,2,Fidelity 500 Index Fund,2218055,2018-01-30 00:00:00,0.63%,217458114,2018-07-03 00:07:43
8,79,2,Victory Portfolios-Sycamore Established Value Fund,2207600,2017-07-30 00:00:00,0.62%,199787800,2018-07-03 00:07:43
9,79,2,Vanguard Index-Value Index Fund,1831302,2017-06-29 00:00:00,0.52%,161465893,2018-07-03 00:07:43
