,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,456,2,"Vanguard Group, Inc. (The)",5609314,2017-12-30 00:00:00,10.29%,1158379403,2018-07-03 02:29:32
1,456,2,Manufacturers Life Insurance Co.,3456274,2017-12-30 00:00:00,6.34%,713755124,2018-07-03 02:29:32
2,456,2,Blackrock Inc.,3430442,2017-12-30 00:00:00,6.29%,708420558,2018-07-03 02:29:32
3,456,2,State Street Corporation,2745577,2017-12-30 00:00:00,5.04%,566989091,2018-07-03 02:29:32
4,456,2,Atlanta Capital Management Company LLC,2052330,2017-12-30 00:00:00,3.77%,423826657,2018-07-03 02:29:32
5,456,2,Edgepoint Investment Group Inc.,1912841,2017-12-30 00:00:00,3.51%,395020784,2018-07-03 02:29:32
6,456,2,Bank of America Corporation,1831289,2017-12-30 00:00:00,3.36%,378179481,2018-07-03 02:29:32
7,456,2,Wells Fargo & Company,1584476,2017-12-30 00:00:00,2.91%,327210130,2018-07-03 02:29:32
8,456,2,"Goldman Sachs Group, Inc.",1443398,2017-12-30 00:00:00,2.65%,298076113,2018-07-03 02:29:32
9,456,2,"William Blair Investment Management, LLC",1231465,2017-12-30 00:00:00,2.26%,254309830,2018-07-03 02:29:32
0,456,2,Vanguard Mid-Cap Index Fund,1399591,2017-06-29 00:00:00,2.57%,227727461,2018-07-03 02:29:32
1,456,2,Eaton Vance-Atlanta Capital SMID-Cap Port,1343738,2017-06-29 00:00:00,2.47%,218639619,2018-07-03 02:29:32
2,456,2,Vanguard Total Stock Market Index Fund,1299180,2017-06-29 00:00:00,2.38%,211389586,2018-07-03 02:29:32
3,456,2,Vanguard 500 Index Fund,892207,2017-06-29 00:00:00,1.64%,145171006,2018-07-03 02:29:32
4,456,2,John Hancock Fds II-Fundamental Large Cap Core Fund,747285,2018-01-30 00:00:00,1.37%,156339499,2018-07-03 02:29:32
5,456,2,SPDR S&P 500 ETF Trust,716355,2018-01-30 00:00:00,1.31%,149868634,2018-07-03 02:29:32
6,456,2,Vanguard Institutional Index Fund-Institutional Index Fund,622281,2017-06-29 00:00:00,1.14%,101251345,2018-07-03 02:29:32
7,456,2,Prudential Jennison Mid-Cap Growth Fd,598395,2018-01-30 00:00:00,1.10%,125190221,2018-07-03 02:29:32
8,456,2,Select Sector SPDR Fund-Financial,534455,2018-01-30 00:00:00,0.98%,111813334,2018-07-03 02:29:32
9,456,2,John Hancock Var Ins Tr-Fundamental All Cap Core Tr,454497,2017-06-29 00:00:00,0.83%,73951209,2018-07-03 02:29:32
