,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,556,2,"Vanguard Group, Inc. (The)",15802223,2017-12-30 00:00:00,10.33%,1822944454,2018-07-03 03:06:40
1,556,2,Blackrock Inc.,10788845,2017-12-30 00:00:00,7.05%,1244601165,2018-07-03 03:06:40
2,556,2,Boston Partners,9484915,2017-12-30 00:00:00,6.20%,1094179800,2018-07-03 03:06:40
3,556,2,State Street Corporation,8059122,2017-12-30 00:00:00,5.27%,929700318,2018-07-03 03:06:40
4,556,2,Price (T.Rowe) Associates Inc,4544359,2017-12-30 00:00:00,2.97%,524237257,2018-07-03 03:06:40
5,556,2,Bank Of New York Mellon Corporation,4071932,2017-12-30 00:00:00,2.66%,469738078,2018-07-03 03:06:40
6,556,2,Dimensional Fund Advisors LP,3268181,2017-12-30 00:00:00,2.14%,377017362,2018-07-03 03:06:40
7,556,2,"FMR, LLC",2726758,2017-12-30 00:00:00,1.78%,314558804,2018-07-03 03:06:40
8,556,2,Maverick Capital Ltd.,2176489,2017-12-30 00:00:00,1.42%,251079772,2018-07-03 03:06:40
9,556,2,"Hotchkis & Wiley Capital Management, LLC",2045100,2017-12-30 00:00:00,1.34%,235922737,2018-07-03 03:06:40
0,556,2,Vanguard Mid-Cap Index Fund,3760724,2017-06-29 00:00:00,2.46%,351740511,2018-07-03 03:06:40
1,556,2,Vanguard Total Stock Market Index Fund,3496518,2017-06-29 00:00:00,2.29%,327029324,2018-07-03 03:06:40
2,556,2,Vanguard 500 Index Fund,2383077,2017-06-29 00:00:00,1.56%,222889188,2018-07-03 03:06:40
3,556,2,John Hancock Mutual Fds III-Disciplined Value Fd,2120319,2018-01-30 00:00:00,1.39%,234846536,2018-07-03 03:06:40
4,556,2,Select Sector SPDR Fund-Energy Select,2109007,2018-01-30 00:00:00,1.38%,233593619,2018-07-03 03:06:40
5,556,2,SPDR S&P 500 ETF Trust,1826260,2018-01-30 00:00:00,1.19%,202276561,2018-07-03 03:06:40
6,556,2,Vanguard Institutional Index Fund-Institutional Index Fund,1656374,2017-06-29 00:00:00,1.08%,154920658,2018-07-03 03:06:40
7,556,2,John Hancock Fds III-Disciplined Value Mid Cap Fd,1468800,2018-01-30 00:00:00,0.96%,162684291,2018-07-03 03:06:40
8,556,2,Fidelity Low-Priced Stock Fund,1281300,2017-10-30 00:00:00,0.84%,134433993,2018-07-03 03:06:40
9,556,2,Price (T.Rowe) Value Fund,1262094,2017-12-30 00:00:00,0.82%,145595164,2018-07-03 03:06:40
