,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,94,2,"Vanguard Group, Inc. (The)",17583612,2017-12-30 00:00:00,7.14%,2365347561,2018-07-03 00:13:45
1,94,2,Massachusetts Financial Services Co.,17426904,2017-12-30 00:00:00,7.08%,2344267200,2018-07-03 00:13:45
2,94,2,Blackrock Inc.,15339874,2017-12-30 00:00:00,6.23%,2063519916,2018-07-03 00:13:45
3,94,2,State Street Corporation,11727469,2017-12-30 00:00:00,4.76%,1577579179,2018-07-03 00:13:45
4,94,2,Artisan Partners Limited Partnership,9946190,2017-12-30 00:00:00,4.04%,1337961521,2018-07-03 00:13:45
5,94,2,Eagle Capital Management LLC,9521365,2017-12-30 00:00:00,3.87%,1280814060,2018-07-03 00:13:45
6,94,2,Lazard Asset Management LLC,7322625,2017-12-30 00:00:00,2.97%,985039546,2018-07-03 00:13:45
7,94,2,Longview Partners (Guernsey) LTD,7234657,2017-12-30 00:00:00,2.94%,973206090,2018-07-03 00:13:45
8,94,2,"Principal Financial Group, Inc.",6056355,2017-12-30 00:00:00,2.46%,814700900,2018-07-03 00:13:45
9,94,2,Mawer Investment Management Limited,5189575,2017-12-30 00:00:00,2.11%,698101651,2018-07-03 00:13:45
0,94,2,Vanguard Total Stock Market Index Fund,6040294,2017-06-29 00:00:00,2.45%,800822189,2018-07-03 00:13:45
1,94,2,MFS Series Trust I-MFS Value Fund,6002683,2017-08-30 00:00:00,2.44%,830651302,2018-07-03 00:13:45
2,94,2,Vanguard 500 Index Fund,4134624,2017-06-29 00:00:00,1.68%,548168457,2018-07-03 00:13:45
3,94,2,Principal Mid Cap Fund,3971599,2018-01-30 00:00:00,1.61%,565317387,2018-07-03 00:13:45
4,94,2,FPA Funds Tr-FPA Crescent Fund,3477920,2017-09-29 00:00:00,1.41%,509271800,2018-07-03 00:13:45
5,94,2,Artisan International Fund,3244077,2017-06-29 00:00:00,1.32%,430099734,2018-07-03 00:13:45
6,94,2,SPDR S&P 500 ETF Trust,3176726,2018-01-30 00:00:00,1.29%,452175167,2018-07-03 00:13:45
7,94,2,Vanguard Institutional Index Fund-Institutional Index Fund,2873708,2017-06-29 00:00:00,1.17%,380996211,2018-07-03 00:13:45
8,94,2,Select Sector SPDR Fund-Financial,2402743,2018-01-30 00:00:00,0.98%,342006429,2018-07-03 00:13:45
9,94,2,Janus Henderson Enterprise Fund,2057153,2017-12-30 00:00:00,0.84%,276728230,2018-07-03 00:13:45
