,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,517,2,"Vanguard Group, Inc. (The)",16753069,2017-12-30 00:00:00,16.55%,2189123495,2018-07-03 02:52:11
1,517,2,Blackrock Inc.,10163374,2017-12-30 00:00:00,10.04%,1328048061,2018-07-03 02:52:11
2,517,2,State Street Corporation,5294626,2017-12-30 00:00:00,5.23%,691848769,2018-07-03 02:52:11
3,517,2,Apg Asset Management Us Inc.,4439905,2017-12-30 00:00:00,4.39%,580162378,2018-07-03 02:52:11
4,517,2,"Principal Financial Group, Inc.",3502631,2017-12-30 00:00:00,3.46%,457688786,2018-07-03 02:52:11
5,517,2,Cbre Clarion Securities LLC,3075993,2017-12-30 00:00:00,3.04%,401939999,2018-07-03 02:52:11
6,517,2,Bank Of New York Mellon Corporation,2434839,2017-12-30 00:00:00,2.41%,318160407,2018-07-03 02:52:11
7,517,2,Deutsche Bank Aktiengesellschaft,2379601,2017-12-30 00:00:00,2.35%,310942458,2018-07-03 02:52:11
8,517,2,PGGM Investments,2163000,2017-12-30 00:00:00,2.14%,282639206,2018-07-03 02:52:11
9,517,2,JP Morgan Chase & Company,2037411,2017-12-30 00:00:00,2.01%,266228491,2018-07-03 02:52:11
0,517,2,Vanguard Specialized-REIT Index Fund,6718254,2017-07-30 00:00:00,6.64%,808877791,2018-07-03 02:52:11
1,517,2,Vanguard Mid-Cap Index Fund,2251688,2017-06-29 00:00:00,2.22%,273805257,2018-07-03 02:52:11
2,517,2,Vanguard Total Stock Market Index Fund,2089966,2017-06-29 00:00:00,2.06%,254139862,2018-07-03 02:52:11
3,517,2,Vanguard 500 Index Fund,1436407,2017-06-29 00:00:00,1.42%,174667089,2018-07-03 02:52:11
4,517,2,Price (T.Rowe) Real Estate Fund Inc.,1319100,2017-12-30 00:00:00,1.30%,172366794,2018-07-03 02:52:11
5,517,2,SPDR S&P 500 ETF Trust,1219604,2018-01-30 00:00:00,1.20%,151852896,2018-07-03 02:52:11
6,517,2,Principal Real Estate Securities Fund,1139969,2018-01-30 00:00:00,1.13%,141937542,2018-07-03 02:52:11
7,517,2,Vanguard Institutional Index Fund-Institutional Index Fund,998685,2017-06-29 00:00:00,0.99%,121440094,2018-07-03 02:52:11
8,517,2,DFA Real Estate Securities Portfolio,842788,2017-07-30 00:00:00,0.83%,101471676,2018-07-03 02:52:11
9,517,2,Baron Growth Fund,750000,2017-06-29 00:00:00,0.74%,91199998,2018-07-03 02:52:11
