,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,97,2,"Vanguard Group, Inc. (The)",22345854,2017-12-30 00:00:00,16.18%,3990522648,2018-07-03 00:14:53
1,97,2,Blackrock Inc.,15114729,2017-12-30 00:00:00,10.95%,2699188332,2018-07-03 00:14:53
2,97,2,State Street Corporation,7970216,2017-12-30 00:00:00,5.77%,1423321187,2018-07-03 00:14:53
3,97,2,JP Morgan Chase & Company,6459571,2017-12-30 00:00:00,4.68%,1153550201,2018-07-03 00:14:53
4,97,2,"FMR, LLC",5110733,2017-12-30 00:00:00,3.70%,912674708,2018-07-03 00:14:53
5,97,2,Bank Of New York Mellon Corporation,3493069,2017-12-30 00:00:00,2.53%,623792268,2018-07-03 00:14:53
6,97,2,Apg Asset Management Us Inc.,3452780,2017-12-30 00:00:00,2.50%,616597458,2018-07-03 00:14:53
7,97,2,Price (T.Rowe) Associates Inc,3272166,2017-12-30 00:00:00,2.37%,584343410,2018-07-03 00:14:53
8,97,2,"Principal Financial Group, Inc.",2860090,2017-12-30 00:00:00,2.07%,510754877,2018-07-03 00:14:53
9,97,2,"Goldman Sachs Group, Inc.",2611942,2017-12-30 00:00:00,1.89%,466440607,2018-07-03 00:14:53
0,97,2,Vanguard Specialized-REIT Index Fund,10381294,2017-07-30 00:00:00,7.52%,1998399095,2018-07-03 00:14:53
1,97,2,Vanguard Total Stock Market Index Fund,3177828,2017-06-29 00:00:00,2.30%,612717008,2018-07-03 00:14:53
2,97,2,Vanguard 500 Index Fund,2172978,2017-06-29 00:00:00,1.57%,418971882,2018-07-03 00:14:53
3,97,2,Price (T.Rowe) Real Estate Fund Inc.,2036400,2017-12-30 00:00:00,1.47%,363660315,2018-07-03 00:14:53
4,97,2,SPDR S&P 500 ETF Trust,1739662,2018-01-30 00:00:00,1.26%,292698131,2018-07-03 00:14:53
5,97,2,Vanguard Mid-Cap Index Fund,1703247,2017-06-29 00:00:00,1.23%,328403049,2018-07-03 00:14:53
6,97,2,Vanguard Institutional Index Fund-Institutional Index Fund,1510625,2017-06-29 00:00:00,1.09%,291263602,2018-07-03 00:14:53
7,97,2,DFA Real Estate Securities Portfolio,1306173,2017-07-30 00:00:00,0.95%,251438302,2018-07-03 00:14:53
8,97,2,Nuveen Real Estate Securities Fund,1037165,2017-12-30 00:00:00,0.75%,185216927,2018-07-03 00:14:53
9,97,2,JP Morgan Mid Cap Value Fund,1021823,2018-01-30 00:00:00,0.74%,171921719,2018-07-03 00:14:53
