,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,104,2,"Vanguard Group, Inc. (The)",10102916,2017-12-30 00:00:00,11.47%,1167593999,2018-07-03 00:17:30
1,104,2,Blackrock Inc.,6761758,2017-12-30 00:00:00,7.67%,781456369,2018-07-03 00:17:30
2,104,2,State Street Corporation,4766385,2017-12-30 00:00:00,5.41%,550851112,2018-07-03 00:17:30
3,104,2,"Goldman Sachs Group, Inc.",2641020,2017-12-30 00:00:00,3.00%,305222680,2018-07-03 00:17:30
4,104,2,RE Advisers Corp,2363900,2017-12-30 00:00:00,2.68%,273195922,2018-07-03 00:17:30
5,104,2,Victory Capital Management Inc.,1694344,2017-12-30 00:00:00,1.92%,195815335,2018-07-03 00:17:30
6,104,2,Invesco Ltd.,1475798,2017-12-30 00:00:00,1.68%,170557974,2018-07-03 00:17:30
7,104,2,Bank Of New York Mellon Corporation,1224374,2017-12-30 00:00:00,1.39%,141500902,2018-07-03 00:17:30
8,104,2,Wells Fargo & Company,1186196,2017-12-30 00:00:00,1.35%,137088671,2018-07-03 00:17:30
9,104,2,Northern Trust Corporation,1148486,2017-12-30 00:00:00,1.30%,132730526,2018-07-03 00:17:30
0,104,2,Vanguard Mid-Cap Index Fund,2187261,2017-06-29 00:00:00,2.48%,192632075,2018-07-03 00:17:30
1,104,2,Vanguard Total Stock Market Index Fund,2029330,2017-06-29 00:00:00,2.30%,178723092,2018-07-03 00:17:30
2,104,2,Vanguard 500 Index Fund,1397858,2017-06-29 00:00:00,1.59%,123109353,2018-07-03 00:17:30
3,104,2,Victory Portfolios-Sycamore Established Value Fund,1316300,2017-07-30 00:00:00,1.49%,121139087,2018-07-03 00:17:30
4,104,2,Invesco Diversified Dividend Fund,1157001,2017-12-30 00:00:00,1.31%,133714605,2018-07-03 00:17:30
5,104,2,SPDR S&P 500 ETF Trust,1116053,2018-01-30 00:00:00,1.27%,132442007,2018-07-03 00:17:30
6,104,2,Vanguard Institutional Index Fund-Institutional Index Fund,970940,2017-06-29 00:00:00,1.10%,85510685,2018-07-03 00:17:30
7,104,2,JNL Series Trust-JNL/S&P Competitive Advantage Fund,839000,2017-06-29 00:00:00,0.95%,73890729,2018-07-03 00:17:30
8,104,2,Select Sector SPDR Fund-Materials,737875,2018-01-30 00:00:00,0.84%,87563624,2018-07-03 00:17:30
9,104,2,Vanguard Mid-Cap Value Index Fund,708524,2017-06-29 00:00:00,0.80%,62399708,2018-07-03 00:17:30
