,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,453,2,Price (T.Rowe) Associates Inc,7202873,2017-12-30 00:00:00,17.09%,1280958907,2018-07-03 02:28:25
1,453,2,"Vanguard Group, Inc. (The)",4195647,2017-12-30 00:00:00,9.95%,746153847,2018-07-03 02:28:25
2,453,2,Generation Investment Management LLP,3767048,2017-12-30 00:00:00,8.94%,669931802,2018-07-03 02:28:25
3,453,2,Blackrock Inc.,2788334,2017-12-30 00:00:00,6.61%,495877308,2018-07-03 02:28:25
4,453,2,State Street Corporation,1783065,2017-12-30 00:00:00,4.23%,317100273,2018-07-03 02:28:25
5,453,2,Atlanta Capital Management Company LLC,1755704,2017-12-30 00:00:00,4.16%,312234392,2018-07-03 02:28:25
6,453,2,Standard Life Aberdeen PLC,1565088,2017-12-30 00:00:00,3.71%,278335244,2018-07-03 02:28:25
7,453,2,"FMR, LLC",1198881,2017-12-30 00:00:00,2.84%,213208992,2018-07-03 02:28:25
8,453,2,JP Morgan Chase & Company,1110403,2017-12-30 00:00:00,2.63%,197474065,2018-07-03 02:28:25
9,453,2,"Ameriprise Financial, Inc.",1033316,2017-12-30 00:00:00,2.45%,183764913,2018-07-03 02:28:25
0,453,2,Price (T.Rowe) Growth Stock Fund Inc.,2745614,2017-12-30 00:00:00,6.51%,488279983,2018-07-03 02:28:25
1,453,2,Eaton Vance-Atlanta Capital SMID-Cap Port,1170663,2017-06-29 00:00:00,2.78%,205252345,2018-07-03 02:28:25
2,453,2,Vanguard Mid-Cap Index Fund,1089031,2017-06-29 00:00:00,2.58%,190939807,2018-07-03 02:28:25
3,453,2,Vanguard Total Stock Market Index Fund,1012136,2017-06-29 00:00:00,2.40%,177457806,2018-07-03 02:28:25
4,453,2,Price (T.Rowe) New Horizons Fund,822940,2017-12-30 00:00:00,1.95%,146351646,2018-07-03 02:28:25
5,453,2,JP Morgan Mid Cap Value Fund,812330,2018-01-30 00:00:00,1.93%,132880942,2018-07-03 02:28:25
6,453,2,Price (T.Rowe) Mid Cap Growth Fund,775000,2017-12-30 00:00:00,1.84%,137825997,2018-07-03 02:28:25
7,453,2,Wells Fargo Special Mid Cap Value Fd,769400,2018-01-30 00:00:00,1.83%,125858453,2018-07-03 02:28:25
8,453,2,American Century Ultra,717000,2017-12-30 00:00:00,1.70%,127511277,2018-07-03 02:28:25
9,453,2,Vanguard 500 Index Fund,696138,2017-06-29 00:00:00,1.65%,122053876,2018-07-03 02:28:25
