,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,101,2,"Vanguard Group, Inc. (The)",2349696,2017-12-30 00:00:00,8.73%,1687974623,2018-07-03 00:16:23
1,101,2,Blackrock Inc.,1850126,2017-12-30 00:00:00,6.88%,1329093524,2018-07-03 00:16:23
2,101,2,JP Morgan Chase & Company,1626809,2017-12-30 00:00:00,6.05%,1168667057,2018-07-03 00:16:23
3,101,2,"FMR, LLC",1604295,2017-12-30 00:00:00,5.96%,1152493449,2018-07-03 00:16:23
4,101,2,State Street Corporation,1253583,2017-12-30 00:00:00,4.66%,900548961,2018-07-03 00:16:23
5,101,2,Nordea Investment Management AB,797192,2017-12-30 00:00:00,2.96%,572686792,2018-07-03 00:16:23
6,101,2,Caisse De Depot Et Placement Du Quebec,777373,2017-12-30 00:00:00,2.89%,558449219,2018-07-03 00:16:23
7,101,2,Massachusetts Financial Services Co.,698708,2017-12-30 00:00:00,2.60%,501937856,2018-07-03 00:16:23
8,101,2,Lazard Asset Management LLC,652856,2017-12-30 00:00:00,2.43%,468998696,2018-07-03 00:16:23
9,101,2,Burgundy Asset Management Ltd.,600471,2017-12-30 00:00:00,2.23%,431366359,2018-07-03 00:16:23
0,101,2,Fidelity Low-Priced Stock Fund,780918,2017-10-30 00:00:00,2.90%,460858776,2018-07-03 00:16:23
1,101,2,Vanguard Total Stock Market Index Fund,655699,2017-06-29 00:00:00,2.44%,379498923,2018-07-03 00:16:23
2,101,2,Vanguard 500 Index Fund,444381,2017-06-29 00:00:00,1.65%,257194400,2018-07-03 00:16:23
3,101,2,SPDR S&P 500 ETF Trust,349309,2018-01-30 00:00:00,1.30%,274804891,2018-07-03 00:16:23
4,101,2,Old Westbury Large Cap Strategies Fund,328297,2017-07-30 00:00:00,1.22%,172986249,2018-07-03 00:16:23
5,101,2,Vanguard Institutional Index Fund-Institutional Index Fund,308701,2017-06-29 00:00:00,1.15%,178666883,2018-07-03 00:16:23
6,101,2,Oppenheimer Main Street Fund,292997,2017-08-30 00:00:00,1.09%,153940630,2018-07-03 00:16:23
7,101,2,JP Morgan Mid Cap Value Fund,291170,2018-01-30 00:00:00,1.08%,229066357,2018-07-03 00:16:23
8,101,2,JP Morgan U.S. Equity Fund,184809,2018-01-30 00:00:00,0.69%,145391092,2018-07-03 00:16:23
9,101,2,Vanguard/Windsor II,182266,2017-07-30 00:00:00,0.68%,96039597,2018-07-03 00:16:23
