,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,102,2,"Vanguard Group, Inc. (The)",41175201,2017-12-30 00:00:00,7.00%,12202271067,2018-07-03 00:16:44
1,102,2,Blackrock Inc.,35515544,2017-12-30 00:00:00,6.04%,10525031681,2018-07-03 00:16:44
2,102,2,Newport Trust Co,34014796,2017-12-30 00:00:00,5.78%,10080285002,2018-07-03 00:16:44
3,102,2,Price (T.Rowe) Associates Inc,28399538,2017-12-30 00:00:00,4.83%,8416203259,2018-07-03 00:16:44
4,102,2,State Street Corporation,28003741,2017-12-30 00:00:00,4.76%,8298908816,2018-07-03 00:16:44
5,102,2,Capital World Investors,25725810,2017-12-30 00:00:00,4.37%,7623843950,2018-07-03 00:16:44
6,102,2,Capital Research Global Investors,7442202,2017-12-30 00:00:00,1.26%,2205496608,2018-07-03 00:16:44
7,102,2,Jennison Associates LLC,6854818,2017-12-30 00:00:00,1.16%,2031425356,2018-07-03 00:16:44
8,102,2,Northern Trust Corporation,6677096,2017-12-30 00:00:00,1.13%,1978757440,2018-07-03 00:16:44
9,102,2,"FMR, LLC",6469346,2017-12-30 00:00:00,1.10%,1917190726,2018-07-03 00:16:44
0,102,2,Vanguard Total Stock Market Index Fund,13214972,2017-06-29 00:00:00,2.25%,2628325773,2018-07-03 00:16:44
1,102,2,Washington Mutual Investors Fund,9941400,2017-12-30 00:00:00,1.69%,2946133950,2018-07-03 00:16:44
2,102,2,Vanguard 500 Index Fund,8875794,2017-06-29 00:00:00,1.51%,1765306663,2018-07-03 00:16:44
3,102,2,SPDR S&P 500 ETF Trust,7112717,2018-01-30 00:00:00,1.21%,2424156260,2018-07-03 00:16:44
4,102,2,SPDR Dow Jones Industrial Average ETF,6613836,2018-01-30 00:00:00,1.12%,2254127633,2018-07-03 00:16:44
5,102,2,Vanguard Institutional Index Fund-Institutional Index Fund,6159853,2017-06-29 00:00:00,1.05%,1225133159,2018-07-03 00:16:44
6,102,2,Fundamental Investors Inc,4629000,2017-12-30 00:00:00,0.79%,1371804178,2018-07-03 00:16:44
7,102,2,Price (T.Rowe) Growth Stock Fund Inc.,4596022,2017-12-30 00:00:00,0.78%,1362031147,2018-07-03 00:16:44
8,102,2,Price (T.Rowe) Blue Chip Growth Fund Inc.,4500900,2017-12-30 00:00:00,0.76%,1333841742,2018-07-03 00:16:44
9,102,2,Income Fund of America Inc,4145000,2017-12-30 00:00:00,0.70%,1228370775,2018-07-03 00:16:44
