,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,557,2,Metropolitan Life Insurance Co/NY,23164156,2017-12-30 00:00:00,19.34%,1370391465,2018-07-03 03:07:01
1,557,2,"Greenlight Capital, Inc.",11000000,2017-12-30 00:00:00,9.18%,650759998,2018-07-03 03:07:01
2,557,2,"Vanguard Group, Inc. (The)",9605570,2017-12-30 00:00:00,8.02%,568265519,2018-07-03 03:07:01
3,557,2,Price (T.Rowe) Associates Inc,7457529,2017-12-30 00:00:00,6.23%,441187414,2018-07-03 03:07:01
4,557,2,Blackrock Inc.,6537059,2017-12-30 00:00:00,5.46%,386732409,2018-07-03 03:07:01
5,557,2,State Street Corporation,4604212,2017-12-30 00:00:00,3.84%,272385181,2018-07-03 03:07:01
6,557,2,Dodge & Cox Inc,3292201,2017-12-30 00:00:00,2.75%,194766610,2018-07-03 03:07:01
7,557,2,Diamond Hill Capital Management Inc,2938931,2017-12-30 00:00:00,2.45%,173867157,2018-07-03 03:07:01
8,557,2,Norges Bank Investment Management,1386263,2017-12-30 00:00:00,1.16%,82011318,2018-07-03 03:07:01
9,557,2,"Wellington Management Company, LLP",1313310,2017-12-30 00:00:00,1.10%,77695419,2018-07-03 03:07:01
0,557,2,Price (T.Rowe) Equity Income Fund,2770000,2017-12-30 00:00:00,2.31%,163873199,2018-07-03 03:07:01
1,557,2,Dodge & Cox Stock Fund,2412063,2017-09-29 00:00:00,2.01%,147835343,2018-07-03 03:07:01
2,557,2,SPDR S&P 500 ETF Trust,1252582,2018-01-30 00:00:00,1.05%,84499180,2018-07-03 03:07:01
3,557,2,Select Sector SPDR Fund-Financial,921230,2018-01-30 00:00:00,0.77%,62146174,2018-07-03 03:07:01
4,557,2,Vanguard/Wellington Fund Inc.,848871,2017-08-30 00:00:00,0.71%,46976521,2018-07-03 03:07:01
5,557,2,Diamond Hill Large Cap Fund,676365,2017-09-29 00:00:00,0.56%,41454411,2018-07-03 03:07:01
6,557,2,iShares Core S&P 500 ETF,611029,2018-01-30 00:00:00,0.51%,41220015,2018-07-03 03:07:01
7,557,2,Fidelity 500 Index Fund,592293,2018-01-30 00:00:00,0.49%,39956085,2018-07-03 03:07:01
8,557,2,Diamond Hill Long/Short Fund,554306,2017-09-29 00:00:00,0.46%,33973415,2018-07-03 03:07:01
9,557,2,JP Morgan U.S. Equity Fund,546659,2018-01-30 00:00:00,0.46%,36877615,2018-07-03 03:07:01
