,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,108,2,Blackrock Inc.,16804683,2017-12-30 00:00:00,7.94%,5383043879,2018-07-03 00:18:59
1,108,2,Primecap Management Company,15109231,2017-12-30 00:00:00,7.14%,4839939763,2018-07-03 00:18:59
2,108,2,"Vanguard Group, Inc. (The)",14871019,2017-12-30 00:00:00,7.03%,4763633316,2018-07-03 00:18:59
3,108,2,State Street Corporation,9483601,2017-12-30 00:00:00,4.48%,3037881780,2018-07-03 00:18:59
4,108,2,"ClearBridge Investments, LLC",9141651,2017-12-30 00:00:00,4.32%,2928344942,2018-07-03 00:18:59
5,108,2,"FMR, LLC",9092419,2017-12-30 00:00:00,4.30%,2912574456,2018-07-03 00:18:59
6,108,2,Price (T.Rowe) Associates Inc,8534311,2017-12-30 00:00:00,4.03%,2733795728,2018-07-03 00:18:59
7,108,2,"Wellington Management Company, LLP",5109262,2017-12-30 00:00:00,2.42%,1636649827,2018-07-03 00:18:59
8,108,2,Invesco Ltd.,3456099,2017-12-30 00:00:00,1.63%,1107092146,2018-07-03 00:18:59
9,108,2,"AllianceBernstein, L.P.",3414672,2017-12-30 00:00:00,1.61%,1093821835,2018-07-03 00:18:59
0,108,2,Vanguard/Primecap Fund,9122097,2017-06-29 00:00:00,4.31%,2474368811,2018-07-03 00:18:59
1,108,2,Vanguard Total Stock Market Index Fund,4891271,2017-06-29 00:00:00,2.31%,1326757258,2018-07-03 00:18:59
2,108,2,Vanguard Specialized-Health Care Fund,3784603,2017-07-30 00:00:00,1.79%,1087846295,2018-07-03 00:18:59
3,108,2,Vanguard 500 Index Fund,3370216,2017-06-29 00:00:00,1.59%,914171090,2018-07-03 00:18:59
4,108,2,Legg Mason Clearbridge Aggressive Growth Fd,3170327,2017-12-30 00:00:00,1.50%,1015550805,2018-07-03 00:18:59
5,108,2,SPDR S&P 500 ETF Trust,2677658,2018-01-30 00:00:00,1.27%,959886869,2018-07-03 00:18:59
6,108,2,Vanguard Horizon Fund-Capital Opportunity Portfolio,2630438,2017-06-29 00:00:00,1.24%,713506307,2018-07-03 00:18:59
7,108,2,iShares NASDAQ Biotechnology ETF,2384858,2018-01-30 00:00:00,1.13%,854923922,2018-07-03 00:18:59
8,108,2,Vanguard Institutional Index Fund-Institutional Index Fund,2344559,2017-06-29 00:00:00,1.11%,635961628,2018-07-03 00:18:59
9,108,2,"Powershares Exhg Traded Fd Tr-Powershares QQQ Tr, Series 1",1708554,2018-01-30 00:00:00,0.81%,612482456,2018-07-03 00:18:59
