,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,115,2,"PNC Financial Services Group, Inc.",34418556,2017-12-30 00:00:00,21.42%,17828122964,2018-07-03 00:21:35
1,115,2,"Vanguard Group, Inc. (The)",8576055,2017-12-30 00:00:00,5.34%,4442224801,2018-07-03 00:21:35
2,115,2,Blackrock Inc.,7255797,2017-12-30 00:00:00,4.51%,3758357588,2018-07-03 00:21:35
3,115,2,Capital World Investors,6970304,2017-12-30 00:00:00,4.34%,3610477929,2018-07-03 00:21:35
4,115,2,"Wellington Management Company, LLP",6018962,2017-12-30 00:00:00,3.75%,3117701819,2018-07-03 00:21:35
5,115,2,State Street Corporation,5494453,2017-12-30 00:00:00,3.42%,2846016657,2018-07-03 00:21:35
6,115,2,Bank of America Corporation,4329358,2017-12-30 00:00:00,2.69%,2242520772,2018-07-03 00:21:35
7,115,2,"FMR, LLC",3736501,2017-12-30 00:00:00,2.32%,1935432715,2018-07-03 00:21:35
8,115,2,"Mizuho Financial Group, Inc.",3067485,2017-12-30 00:00:00,1.91%,1588895820,2018-07-03 00:21:35
9,115,2,Norges Bank Investment Management,2786667,2017-12-30 00:00:00,1.73%,1443437718,2018-07-03 00:21:35
0,115,2,Vanguard Total Stock Market Index Fund,2730248,2017-06-29 00:00:00,1.70%,1152519601,2018-07-03 00:21:35
1,115,2,Vanguard 500 Index Fund,1920910,2017-06-29 00:00:00,1.20%,810873747,2018-07-03 00:21:35
2,115,2,Washington Mutual Investors Fund,1605000,2017-12-30 00:00:00,1.00%,831357868,2018-07-03 00:21:35
3,115,2,SPDR S&P 500 ETF Trust,1569678,2018-01-30 00:00:00,0.98%,901654409,2018-07-03 00:21:35
4,115,2,Fundamental Investors Inc,1473100,2017-12-30 00:00:00,0.92%,763036309,2018-07-03 00:21:35
5,115,2,American Balanced Fund,1469000,2017-12-30 00:00:00,0.91%,760912591,2018-07-03 00:21:35
6,115,2,Vanguard Specialized-Dividend Growth Fund,1439747,2017-07-30 00:00:00,0.90%,610452728,2018-07-03 00:21:35
7,115,2,Vanguard/Wellington Fund Inc.,1432886,2017-08-30 00:00:00,0.89%,593701979,2018-07-03 00:21:35
8,115,2,Vanguard Institutional Index Fund-Institutional Index Fund,1330750,2017-06-29 00:00:00,0.83%,561749503,2018-07-03 00:21:35
9,115,2,Select Sector SPDR Fund-Financial,1187034,2018-01-30 00:00:00,0.74%,681856049,2018-07-03 00:21:35
