,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,110,2,Price (T.Rowe) Associates Inc,38068279,2017-12-30 00:00:00,10.86%,1443549069,2018-07-03 00:19:42
1,110,2,"Vanguard Group, Inc. (The)",36034813,2017-12-30 00:00:00,10.28%,1366440042,2018-07-03 00:19:42
2,110,2,"Wellington Management Company, LLP",21889142,2017-12-30 00:00:00,6.24%,830036224,2018-07-03 00:19:42
3,110,2,Blackrock Inc.,21323444,2017-12-30 00:00:00,6.08%,808584957,2018-07-03 00:19:42
4,110,2,JP Morgan Chase & Company,16765249,2017-12-30 00:00:00,4.78%,635738211,2018-07-03 00:19:42
5,110,2,State Street Corporation,15002279,2017-12-30 00:00:00,4.28%,568886392,2018-07-03 00:19:42
6,110,2,"FMR, LLC",8542860,2017-12-30 00:00:00,2.44%,323945235,2018-07-03 00:19:42
7,110,2,"Goldman Sachs Group, Inc.",7324646,2017-12-30 00:00:00,2.09%,277750562,2018-07-03 00:19:42
8,110,2,Janus Henderson Group PLC,7150121,2017-12-30 00:00:00,2.04%,271132575,2018-07-03 00:19:42
9,110,2,"William Blair Investment Management, LLC",6619404,2017-12-30 00:00:00,1.89%,251007787,2018-07-03 00:19:42
0,110,2,Price (T.Rowe) Mid Cap Growth Fund,9000000,2017-12-30 00:00:00,2.57%,341279983,2018-07-03 00:19:42
1,110,2,Vanguard Mid-Cap Index Fund,8677910,2017-06-29 00:00:00,2.48%,365253233,2018-07-03 00:19:42
2,110,2,Vanguard Total Stock Market Index Fund,8044869,2017-06-29 00:00:00,2.29%,338608537,2018-07-03 00:19:42
3,110,2,JP Morgan Mid Cap Value Fund,6879490,2018-01-30 00:00:00,1.96%,258875216,2018-07-03 00:19:42
4,110,2,Vanguard 500 Index Fund,5523648,2017-06-29 00:00:00,1.58%,232490345,2018-07-03 00:19:42
5,110,2,SPDR S&P 500 ETF Trust,4436185,2018-01-30 00:00:00,1.27%,166933646,2018-07-03 00:19:42
6,110,2,JP Morgan Value Advantage Fund,3933868,2018-01-30 00:00:00,1.12%,148031457,2018-07-03 00:19:42
7,110,2,Vanguard Institutional Index Fund-Institutional Index Fund,3848105,2017-06-29 00:00:00,1.10%,161966740,2018-07-03 00:19:42
8,110,2,Janus Henderson Contrarian Fund,3426334,2017-12-30 00:00:00,0.98%,129926579,2018-07-03 00:19:42
9,110,2,Price (T.Rowe) Value Fund,3289814,2017-12-30 00:00:00,0.94%,124749740,2018-07-03 00:19:42
