,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,116,2,"Vanguard Group, Inc. (The)",22607980,2017-12-30 00:00:00,14.65%,2912812060,2018-07-03 00:21:58
1,116,2,Blackrock Inc.,15489489,2017-12-30 00:00:00,10.04%,1995665706,2018-07-03 00:21:58
2,116,2,State Street Corporation,8650951,2017-12-30 00:00:00,5.61%,1114588495,2018-07-03 00:21:58
3,116,2,"FMR, LLC",8393936,2017-12-30 00:00:00,5.44%,1081474683,2018-07-03 00:21:58
4,116,2,Norges Bank Investment Management,7403590,2017-12-30 00:00:00,4.80%,953878508,2018-07-03 00:21:58
5,116,2,Apg Asset Management Us Inc.,6575292,2017-12-30 00:00:00,4.26%,847160597,2018-07-03 00:21:58
6,116,2,Cohen & Steers Inc.,5480299,2017-12-30 00:00:00,3.55%,706081703,2018-07-03 00:21:58
7,116,2,JP Morgan Chase & Company,3785636,2017-12-30 00:00:00,2.45%,487741328,2018-07-03 00:21:58
8,116,2,Morgan Stanley,3696158,2017-12-30 00:00:00,2.39%,476212983,2018-07-03 00:21:58
9,116,2,Invesco Ltd.,3534746,2017-12-30 00:00:00,2.29%,455416661,2018-07-03 00:21:58
0,116,2,Vanguard Specialized-REIT Index Fund,11625498,2017-07-30 00:00:00,7.53%,1422147191,2018-07-03 00:21:58
1,116,2,Vanguard Total Stock Market Index Fund,3537734,2017-06-29 00:00:00,2.29%,437794582,2018-07-03 00:21:58
2,116,2,Vanguard 500 Index Fund,2427857,2017-06-29 00:00:00,1.57%,300447303,2018-07-03 00:21:58
3,116,2,SPDR S&P 500 ETF Trust,1949813,2018-01-30 00:00:00,1.26%,236590302,2018-07-03 00:21:58
4,116,2,Vanguard Institutional Index Fund-Institutional Index Fund,1690367,2017-06-29 00:00:00,1.10%,209182916,2018-07-03 00:21:58
5,116,2,Fidelity Real Estate Investment Portfolio,1520300,2018-01-30 00:00:00,0.99%,184473196,2018-07-03 00:21:58
6,116,2,DFA Real Estate Securities Portfolio,1485349,2017-07-30 00:00:00,0.96%,181702745,2018-07-03 00:21:58
7,116,2,John Hancock Fds III-Disciplined Value Mid Cap Fd,1353611,2018-01-30 00:00:00,0.88%,164247153,2018-07-03 00:21:58
8,116,2,JP Morgan Mid Cap Value Fund,1348320,2018-01-30 00:00:00,0.87%,163605143,2018-07-03 00:21:58
9,116,2,Cohen & Steers Realty Shares Incorporated,1193427,2017-06-29 00:00:00,0.77%,147686591,2018-07-03 00:21:58
