,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,124,2,"Wellington Management Company, LLP",39144891,2017-12-30 00:00:00,12.44%,2432463502,2018-07-03 00:24:59
1,124,2,Blackrock Inc.,24845043,2017-12-30 00:00:00,7.89%,1543870956,2018-07-03 00:24:59
2,124,2,"Vanguard Group, Inc. (The)",24237953,2017-12-30 00:00:00,7.70%,1506146384,2018-07-03 00:24:59
3,124,2,"Barrow, Hanley Mewhinney & Strauss, LLC",17876233,2017-12-30 00:00:00,5.68%,1110829107,2018-07-03 00:24:59
4,124,2,State Street Corporation,16964295,2017-12-30 00:00:00,5.39%,1054161280,2018-07-03 00:24:59
5,124,2,Macquarie Group Limited,10625511,2017-12-30 00:00:00,3.38%,660269247,2018-07-03 00:24:59
6,124,2,"FMR, LLC",10332961,2017-12-30 00:00:00,3.28%,642090190,2018-07-03 00:24:59
7,124,2,American International Group Inc,7969384,2017-12-30 00:00:00,2.53%,495217516,2018-07-03 00:24:59
8,124,2,"Franklin Resources, Inc",6299691,2017-12-30 00:00:00,2.00%,391462794,2018-07-03 00:24:59
9,124,2,Invesco Ltd.,5582666,2017-12-30 00:00:00,1.77%,346906861,2018-07-03 00:24:59
0,124,2,Vanguard/Windsor II,10214681,2017-07-30 00:00:00,3.25%,792761398,2018-07-03 00:24:59
1,124,2,Vanguard Specialized-Dividend Growth Fund,9261355,2017-07-30 00:00:00,2.94%,718773767,2018-07-03 00:24:59
2,124,2,Vanguard/Wellington Fund Inc.,8389300,2017-08-30 00:00:00,2.67%,556965621,2018-07-03 00:24:59
3,124,2,Vanguard Specialized-Health Care Fund,7522531,2017-07-30 00:00:00,2.39%,583823635,2018-07-03 00:24:59
4,124,2,Vanguard Total Stock Market Index Fund,7254428,2017-06-29 00:00:00,2.31%,574913419,2018-07-03 00:24:59
5,124,2,Delaware Group Equity Funds II- Value Fund,5435944,2017-08-30 00:00:00,1.73%,360892318,2018-07-03 00:24:59
6,124,2,Vanguard 500 Index Fund,4983904,2017-06-29 00:00:00,1.58%,394974392,2018-07-03 00:24:59
7,124,2,SPDR S&P 500 ETF Trust,3992911,2018-01-30 00:00:00,1.27%,300386707,2018-07-03 00:24:59
8,124,2,Vanguard Institutional Index Fund-Institutional Index Fund,3463568,2017-06-29 00:00:00,1.10%,274487764,2018-07-03 00:24:59
9,124,2,Vanguard Selected Value Fund,2841952,2017-07-30 00:00:00,0.90%,220563896,2018-07-03 00:24:59
