,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,126,2,"Vanguard Group, Inc. (The)",36217268,2017-12-30 00:00:00,7.78%,5293516023,2018-07-03 00:25:44
1,126,2,Blackrock Inc.,30206383,2017-12-30 00:00:00,6.49%,4414965049,2018-07-03 00:25:44
2,126,2,"Wellington Management Company, LLP",28209206,2017-12-30 00:00:00,6.06%,4123057652,2018-07-03 00:25:44
3,126,2,"FMR, LLC",25500084,2017-12-30 00:00:00,5.48%,3727092370,2018-07-03 00:25:44
4,126,2,State Street Corporation,21955963,2017-12-30 00:00:00,4.72%,3209083632,2018-07-03 00:25:44
5,126,2,Capital World Investors,21218686,2017-12-30 00:00:00,4.56%,3101323223,2018-07-03 00:25:44
6,126,2,Price (T.Rowe) Associates Inc,17336288,2017-12-30 00:00:00,3.73%,2533871917,2018-07-03 00:25:44
7,126,2,Massachusetts Financial Services Co.,13385421,2017-12-30 00:00:00,2.88%,1956413182,2018-07-03 00:25:44
8,126,2,JP Morgan Chase & Company,12386256,2017-12-30 00:00:00,2.66%,1810375222,2018-07-03 00:25:44
9,126,2,Wcm Investment Management,11835162,2017-12-30 00:00:00,2.54%,1729827321,2018-07-03 00:25:44
0,126,2,Vanguard/Wellington Fund Inc.,10298580,2017-08-30 00:00:00,2.21%,1460132659,2018-07-03 00:25:44
1,126,2,Vanguard Total Stock Market Index Fund,10219631,2017-06-29 00:00:00,2.20%,1479598163,2018-07-03 00:25:44
2,126,2,Washington Mutual Investors Fund,8898500,2017-12-30 00:00:00,1.91%,1300604792,2018-07-03 00:25:44
3,126,2,Vanguard 500 Index Fund,7389134,2017-06-29 00:00:00,1.59%,1069798811,2018-07-03 00:25:44
4,126,2,Fidelity Contrafund Inc,6441736,2018-01-30 00:00:00,1.38%,992800320,2018-07-03 00:25:44
5,126,2,MFS Series Trust I-MFS Value Fund,6194045,2017-08-30 00:00:00,1.33%,878191692,2018-07-03 00:25:44
6,126,2,American Balanced Fund,6070500,2017-12-30 00:00:00,1.30%,887264302,2018-07-03 00:25:44
7,126,2,Vanguard Specialized-Dividend Growth Fund,6061005,2017-07-30 00:00:00,1.30%,880967113,2018-07-03 00:25:44
8,126,2,SPDR S&P 500 ETF Trust,5895034,2018-01-30 00:00:00,1.27%,908542611,2018-07-03 00:25:44
9,126,2,Vanguard Institutional Index Fund-Institutional Index Fund,5124493,2017-06-29 00:00:00,1.10%,741924090,2018-07-03 00:25:44
