,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,120,2,Capital World Investors,38331289,2017-12-30 00:00:00,11.11%,2271512121,2018-07-03 00:23:29
1,120,2,"Vanguard Group, Inc. (The)",24105448,2017-12-30 00:00:00,6.98%,1428488808,2018-07-03 00:23:29
2,120,2,Blackrock Inc.,22887073,2017-12-30 00:00:00,6.63%,1356287907,2018-07-03 00:23:29
3,120,2,State Street Corporation,14518027,2017-12-30 00:00:00,4.21%,860338255,2018-07-03 00:23:29
4,120,2,JP Morgan Chase & Company,9309387,2017-12-30 00:00:00,2.70%,551674257,2018-07-03 00:23:29
5,120,2,"Wellington Management Company, LLP",9169838,2017-12-30 00:00:00,2.66%,543404584,2018-07-03 00:23:29
6,120,2,"Glenview Capital Management, LLC",6765742,2017-12-30 00:00:00,1.96%,400937859,2018-07-03 00:23:29
7,120,2,Morgan Stanley,5142490,2017-12-30 00:00:00,1.49%,304743948,2018-07-03 00:23:29
8,120,2,Boston Partners,4930979,2017-12-30 00:00:00,1.43%,292209807,2018-07-03 00:23:29
9,120,2,Bank Of New York Mellon Corporation,4697713,2017-12-30 00:00:00,1.36%,278386464,2018-07-03 00:23:29
0,120,2,Growth Fund Of America Inc,11704100,2017-12-30 00:00:00,3.39%,693584946,2018-07-03 00:23:29
1,120,2,American Balanced Fund,9349000,2017-12-30 00:00:00,2.71%,554021724,2018-07-03 00:23:29
2,120,2,Washington Mutual Investors Fund,9138200,2017-12-30 00:00:00,2.65%,541529716,2018-07-03 00:23:29
3,120,2,Vanguard Total Stock Market Index Fund,8279842,2017-06-29 00:00:00,2.40%,530075457,2018-07-03 00:23:29
4,120,2,Vanguard 500 Index Fund,5812337,2017-06-29 00:00:00,1.68%,372105795,2018-07-03 00:23:29
5,120,2,SPDR S&P 500 ETF Trust,4609519,2018-01-30 00:00:00,1.34%,270717048,2018-07-03 00:23:29
6,120,2,Vanguard Institutional Index Fund-Institutional Index Fund,4038894,2017-06-29 00:00:00,1.17%,258569980,2018-07-03 00:23:29
7,120,2,College Retirement Equities Fund-Stock Account,2451377,2017-06-29 00:00:00,0.71%,156937147,2018-07-03 00:23:29
8,120,2,Fundamental Investors Inc,2419400,2017-12-30 00:00:00,0.70%,143373639,2018-07-03 00:23:29
9,120,2,iShares Core S&P 500 ETF,2363042,2018-01-30 00:00:00,0.68%,138781455,2018-07-03 00:23:29
