,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,122,2,"Vanguard Group, Inc. (The)",27862557,2017-12-30 00:00:00,6.72%,3059866001,2018-07-03 00:24:14
1,122,2,Price (T.Rowe) Associates Inc,27816968,2017-12-30 00:00:00,6.71%,3054859417,2018-07-03 00:24:14
2,122,2,Blackrock Inc.,26604304,2017-12-30 00:00:00,6.41%,2921684657,2018-07-03 00:24:14
3,122,2,Capital World Investors,22332385,2017-12-30 00:00:00,5.38%,2452542513,2018-07-03 00:24:14
4,122,2,State Street Corporation,16005297,2017-12-30 00:00:00,3.86%,1757701711,2018-07-03 00:24:14
5,122,2,Cohen & Steers Inc.,13143010,2017-12-30 00:00:00,3.17%,1443365354,2018-07-03 00:24:14
6,122,2,Magellan Asset Management Ltd,12647428,2017-12-30 00:00:00,3.05%,1388940539,2018-07-03 00:24:14
7,122,2,Capital Research Global Investors,9519041,2017-12-30 00:00:00,2.29%,1045381079,2018-07-03 00:24:14
8,122,2,Invesco Ltd.,9246951,2017-12-30 00:00:00,2.23%,1015500155,2018-07-03 00:24:14
9,122,2,Bank of America Corporation,8572704,2017-12-30 00:00:00,2.07%,941454350,2018-07-03 00:24:14
0,122,2,"Capital Income Builder, Inc.",11516938,2017-12-30 00:00:00,2.78%,1264790127,2018-07-03 00:24:14
1,122,2,Income Fund of America Inc,10956000,2017-12-30 00:00:00,2.64%,1203187916,2018-07-03 00:24:14
2,122,2,Price (T.Rowe) Growth Stock Fund Inc.,8979935,2017-12-30 00:00:00,2.16%,986176458,2018-07-03 00:24:14
3,122,2,Vanguard Total Stock Market Index Fund,8432801,2017-06-29 00:00:00,2.03%,859386780,2018-07-03 00:24:14
4,122,2,American Balanced Fund,6575446,2017-12-30 00:00:00,1.59%,722115477,2018-07-03 00:24:14
5,122,2,Vanguard 500 Index Fund,5776448,2017-06-29 00:00:00,1.39%,588677836,2018-07-03 00:24:14
6,122,2,Federated Strategic Value Dividend Fund,5179100,2017-07-30 00:00:00,1.25%,520913887,2018-07-03 00:24:14
7,122,2,SPDR S&P 500 ETF Trust,5145931,2018-01-30 00:00:00,1.24%,565177611,2018-07-03 00:24:14
8,122,2,Vanguard Institutional Index Fund-Institutional Index Fund,4014651,2017-06-29 00:00:00,0.97%,409133098,2018-07-03 00:24:14
9,122,2,Fundamental Investors Inc,3987039,2017-12-30 00:00:00,0.96%,437856621,2018-07-03 00:24:14
