,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,470,2,"Vanguard Group, Inc. (The)",28200050,2017-12-30 00:00:00,11.55%,1415078517,2018-07-03 02:34:47
1,470,2,Blackrock Inc.,19423114,2017-12-30 00:00:00,7.96%,974651866,2018-07-03 02:34:47
2,470,2,State Street Corporation,15285965,2017-12-30 00:00:00,6.26%,767049728,2018-07-03 02:34:47
3,470,2,"Neuberger Berman Group, LLC",7073613,2017-12-30 00:00:00,2.90%,354953902,2018-07-03 02:34:47
4,470,2,Voya Investment Management LLC,5962955,2017-12-30 00:00:00,2.44%,299221083,2018-07-03 02:34:47
5,470,2,"BESSEMER GROUP, INCORPORATED",4831707,2017-12-30 00:00:00,1.98%,242455058,2018-07-03 02:34:47
6,470,2,Atlanta Capital Management Company LLC,4071388,2017-12-30 00:00:00,1.67%,204302251,2018-07-03 02:34:47
7,470,2,Northern Trust Corporation,3465540,2017-12-30 00:00:00,1.42%,173900798,2018-07-03 02:34:47
8,470,2,Citadel Advisors LLC,3051137,2017-12-30 00:00:00,1.25%,153106055,2018-07-03 02:34:47
9,470,2,"Geode Capital Management, LLC",2944834,2017-12-30 00:00:00,1.21%,147771771,2018-07-03 02:34:47
0,470,2,Vanguard Mid-Cap Index Fund,6162321,2017-06-29 00:00:00,2.52%,324631072,2018-07-03 02:34:47
1,470,2,Vanguard Total Stock Market Index Fund,5927455,2017-06-29 00:00:00,2.43%,312258331,2018-07-03 02:34:47
2,470,2,Vanguard 500 Index Fund,3930481,2017-06-29 00:00:00,1.61%,207057740,2018-07-03 02:34:47
3,470,2,SPDR S&P 500 ETF Trust,3230665,2018-01-30 00:00:00,1.32%,158076439,2018-07-03 02:34:47
4,470,2,Neuberger & Berman Genesis Fund,3070881,2017-12-30 00:00:00,1.26%,154096809,2018-07-03 02:34:47
5,470,2,Eaton Vance-Atlanta Capital SMID-Cap Port,2889640,2017-06-29 00:00:00,1.18%,152226236,2018-07-03 02:34:47
6,470,2,Vanguard Institutional Index Fund-Institutional Index Fund,2732901,2017-06-29 00:00:00,1.12%,143969225,2018-07-03 02:34:47
7,470,2,Vanguard Specialized-Dividend Appreciation Index Fund,2174698,2017-07-30 00:00:00,0.89%,115911401,2018-07-03 02:34:47
8,470,2,SPDR (R) Ser Tr- SPDR (R) S&P (R) Dividend ETF,2126992,2018-01-30 00:00:00,0.87%,104073719,2018-07-03 02:34:47
9,470,2,Voya Inv Tr-Voya Large Cap Growth Portfolio,1749840,2017-12-30 00:00:00,0.72%,87806971,2018-07-03 02:34:47
