,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,134,2,"Vanguard Group, Inc. (The)",15731733,2017-12-30 00:00:00,11.28%,1407360819,2018-07-03 00:28:42
1,134,2,Blackrock Inc.,10914859,2017-12-30 00:00:00,7.83%,976443276,2018-07-03 00:28:42
2,134,2,Capital International Investors,9171887,2017-12-30 00:00:00,6.58%,820517002,2018-07-03 00:28:42
3,134,2,Price (T.Rowe) Associates Inc,8095505,2017-12-30 00:00:00,5.81%,724223869,2018-07-03 00:28:42
4,134,2,State Street Corporation,6488139,2017-12-30 00:00:00,4.65%,580428908,2018-07-03 00:28:42
5,134,2,"First Eagle Investment Management, LLC",6407308,2017-12-30 00:00:00,4.60%,573197767,2018-07-03 00:28:42
6,134,2,Bank of America Corporation,5439749,2017-12-30 00:00:00,3.90%,486639940,2018-07-03 00:28:42
7,134,2,Baillie Gifford and Company,5145010,2017-12-30 00:00:00,3.69%,460272589,2018-07-03 00:28:42
8,134,2,"FMR, LLC",4975204,2017-12-30 00:00:00,3.57%,445081745,2018-07-03 00:28:42
9,134,2,Capital Research Global Investors,3988155,2017-12-30 00:00:00,2.86%,356780342,2018-07-03 00:28:42
0,134,2,American Mutual Fund Inc,4708960,2017-12-30 00:00:00,3.38%,421263557,2018-07-03 00:28:42
1,134,2,Price (T.Rowe) Mid-Cap Value Fund,4348600,2017-12-30 00:00:00,3.12%,389025752,2018-07-03 00:28:42
2,134,2,Vanguard Mid-Cap Index Fund,3484574,2017-06-29 00:00:00,2.50%,234616373,2018-07-03 00:28:42
3,134,2,Vanguard Total Stock Market Index Fund,3261235,2017-06-29 00:00:00,2.34%,219578958,2018-07-03 00:28:42
4,134,2,First Eagle Global Fund,3133506,2017-07-30 00:00:00,2.25%,204461266,2018-07-03 00:28:42
5,134,2,Washington Mutual Investors Fund,2854149,2017-12-30 00:00:00,2.05%,255332166,2018-07-03 00:28:42
6,134,2,Amcap Fund,2500000,2017-12-30 00:00:00,1.79%,223649997,2018-07-03 00:28:42
7,134,2,Vanguard 500 Index Fund,2222522,2017-06-29 00:00:00,1.59%,149642410,2018-07-03 00:28:42
8,134,2,SPDR S&P 500 ETF Trust,1782998,2018-01-30 00:00:00,1.28%,171720533,2018-07-03 00:28:42
9,134,2,Vanguard Institutional Index Fund-Institutional Index Fund,1547666,2017-06-29 00:00:00,1.11%,104204354,2018-07-03 00:28:42
