,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,469,2,"Vanguard Group, Inc. (The)",13025060,2017-12-30 00:00:00,5.48%,4402861015,2018-07-03 02:34:25
1,469,2,Blackrock Inc.,11662060,2017-12-30 00:00:00,4.90%,3942126127,2018-07-03 02:34:25
2,469,2,TCI Fund Management Ltd,9927834,2017-12-30 00:00:00,4.18%,3355905714,2018-07-03 02:34:25
3,469,2,Capital World Investors,9644326,2017-12-30 00:00:00,4.06%,3260071506,2018-07-03 02:34:25
4,469,2,Dodge & Cox Inc,9348060,2017-12-30 00:00:00,3.93%,3159924710,2018-07-03 02:34:25
5,469,2,State Street Corporation,8548049,2017-12-30 00:00:00,3.59%,2889496993,2018-07-03 02:34:25
6,469,2,"Berkshire Hathaway, Inc",8489391,2017-12-30 00:00:00,3.57%,2869668829,2018-07-03 02:34:25
7,469,2,Deutsche Bank Aktiengesellschaft,4523208,2017-12-30 00:00:00,1.90%,1528979994,2018-07-03 02:34:25
8,469,2,Harris Associates L.P.,3989853,2017-12-30 00:00:00,1.68%,1348690004,2018-07-03 02:34:25
9,469,2,Invesco Ltd.,3676368,2017-12-30 00:00:00,1.55%,1242722670,2018-07-03 02:34:25
0,469,2,Dodge & Cox Stock Fund,5744086,2017-09-29 00:00:00,2.42%,2084241640,2018-07-03 02:34:25
1,469,2,Vanguard Total Stock Market Index Fund,4614719,2017-06-29 00:00:00,1.94%,1522257333,2018-07-03 02:34:25
2,469,2,Growth Fund Of America Inc,4358200,2017-12-30 00:00:00,1.83%,1473202340,2018-07-03 02:34:25
3,469,2,Vanguard 500 Index Fund,3412815,2017-06-29 00:00:00,1.44%,1125785267,2018-07-03 02:34:25
4,469,2,Fundamental Investors Inc,3242100,2017-12-30 00:00:00,1.36%,1095927059,2018-07-03 02:34:25
5,469,2,SPDR S&P 500 ETF Trust,2465681,2018-01-30 00:00:00,1.04%,923397534,2018-07-03 02:34:25
6,469,2,Vanguard Institutional Index Fund-Institutional Index Fund,2367060,2017-06-29 00:00:00,1.00%,780822070,2018-07-03 02:34:25
7,469,2,"Powershares Exhg Traded Fd Tr-Powershares QQQ Tr, Series 1",2008522,2018-01-30 00:00:00,0.84%,752191489,2018-07-03 02:34:25
8,469,2,Vanguard Growth Index Fund,1277121,2017-06-29 00:00:00,0.54%,421283898,2018-07-03 02:34:25
9,469,2,iShares Core S&P 500 ETF,1257782,2018-01-30 00:00:00,0.53%,471039359,2018-07-03 02:34:25
