,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,128,2,"Vanguard Group, Inc. (The)",17340794,2017-12-30 00:00:00,10.57%,1301946845,2018-07-03 00:26:29
1,128,2,Blackrock Inc.,13354092,2017-12-30 00:00:00,8.14%,1002625251,2018-07-03 00:26:29
2,128,2,State Street Corporation,9852413,2017-12-30 00:00:00,6.00%,739719186,2018-07-03 00:26:29
3,128,2,Bank of America Corporation,5762109,2017-12-30 00:00:00,3.51%,432619154,2018-07-03 00:26:29
4,128,2,"Select Equity Group, Inc.",3681707,2017-12-30 00:00:00,2.24%,276422568,2018-07-03 00:26:29
5,128,2,"London Company of Virginia, (The)",3258216,2017-12-30 00:00:00,1.99%,244626863,2018-07-03 00:26:29
6,128,2,"First Eagle Investment Management, LLC",2716644,2017-12-30 00:00:00,1.66%,203965636,2018-07-03 00:26:29
7,128,2,JP Morgan Chase & Company,2700784,2017-12-30 00:00:00,1.65%,202774867,2018-07-03 00:26:29
8,128,2,Northern Trust Corporation,2084181,2017-12-30 00:00:00,1.27%,156480313,2018-07-03 00:26:29
9,128,2,Royal Bank of Canada,2000835,2017-12-30 00:00:00,1.22%,150222695,2018-07-03 00:26:29
0,128,2,Vanguard Mid-Cap Index Fund,3868199,2017-06-29 00:00:00,2.36%,278200864,2018-07-03 00:26:29
1,128,2,Vanguard Total Stock Market Index Fund,3590760,2017-06-29 00:00:00,2.19%,258247452,2018-07-03 00:26:29
2,128,2,SPDR (R) Ser Tr- SPDR (R) S&P (R) Dividend ETF,2381572,2018-01-30 00:00:00,1.45%,182404590,2018-07-03 00:26:29
3,128,2,Vanguard 500 Index Fund,2363897,2017-06-29 00:00:00,1.44%,170011467,2018-07-03 00:26:29
4,128,2,iShares Select Dividend ETF,2332583,2018-01-30 00:00:00,1.42%,178652523,2018-07-03 00:26:29
5,128,2,First Eagle Global Fund,1964386,2017-07-30 00:00:00,1.20%,148920097,2018-07-03 00:26:29
6,128,2,SPDR S&P 500 ETF Trust,1891837,2018-01-30 00:00:00,1.15%,144895788,2018-07-03 00:26:29
7,128,2,Vanguard Institutional Index Fund-Institutional Index Fund,1647921,2017-06-29 00:00:00,1.00%,118518475,2018-07-03 00:26:29
8,128,2,Select Sector SPDR Fund-Financial,1435559,2018-01-30 00:00:00,0.87%,109949458,2018-07-03 00:26:29
9,128,2,Vanguard Specialized-Dividend Appreciation Index Fund,1406523,2017-07-30 00:00:00,0.86%,106628505,2018-07-03 00:26:29
