,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,137,2,"Vanguard Group, Inc. (The)",14894284,2017-12-30 00:00:00,11.51%,2219248316,2018-07-03 00:29:48
1,137,2,Blackrock Inc.,10213418,2017-12-30 00:00:00,7.89%,1521799282,2018-07-03 00:29:48
2,137,2,State Street Corporation,8234247,2017-12-30 00:00:00,6.36%,1226902803,2018-07-03 00:29:48
3,137,2,Parnassus Investments /ca,4453552,2017-12-30 00:00:00,3.44%,663579248,2018-07-03 00:29:48
4,137,2,Wells Fargo & Company,4303296,2017-12-30 00:00:00,3.33%,641191104,2018-07-03 00:29:48
5,137,2,Northern Trust Corporation,2583955,2017-12-30 00:00:00,2.00%,385009295,2018-07-03 00:29:48
6,137,2,Cedar Rock Capital Limited,2474179,2017-12-30 00:00:00,1.91%,368652671,2018-07-03 00:29:48
7,137,2,"Renaissance Technologies, LLC",2360600,2017-12-30 00:00:00,1.82%,351729400,2018-07-03 00:29:48
8,137,2,APG Asset Management N.V.,1804215,2017-12-30 00:00:00,1.39%,268828035,2018-07-03 00:29:48
9,137,2,Valueinvest Asset Management S.A.,1609500,2017-12-30 00:00:00,1.24%,239815500,2018-07-03 00:29:48
0,137,2,Parnassus Core Equity Fund,3494014,2017-09-29 00:00:00,2.70%,451880837,2018-07-03 00:29:48
1,137,2,Vanguard Mid-Cap Index Fund,3182651,2017-06-29 00:00:00,2.46%,435832235,2018-07-03 00:29:48
2,137,2,Vanguard Total Stock Market Index Fund,2946548,2017-06-29 00:00:00,2.28%,403500290,2018-07-03 00:29:48
3,137,2,Vanguard 500 Index Fund,2032312,2017-06-29 00:00:00,1.57%,278304810,2018-07-03 00:29:48
4,137,2,SPDR S&P 500 ETF Trust,1616598,2018-01-30 00:00:00,1.25%,227875664,2018-07-03 00:29:48
5,137,2,Vanguard Institutional Index Fund-Institutional Index Fund,1412281,2017-06-29 00:00:00,1.09%,193397763,2018-07-03 00:29:48
6,137,2,Vanguard Specialized-Dividend Appreciation Index Fund,1095544,2017-07-30 00:00:00,0.85%,145455381,2018-07-03 00:29:48
7,137,2,SPDR (R) Ser Tr- SPDR (R) S&P (R) Dividend ETF,1095027,2018-01-30 00:00:00,0.85%,154355013,2018-07-03 00:29:48
8,137,2,Vanguard Mid-Cap Value Index Fund,1030400,2017-06-29 00:00:00,0.80%,141102978,2018-07-03 00:29:48
9,137,2,iShares Core S&P 500 ETF,840926,2018-01-30 00:00:00,0.65%,118536934,2018-07-03 00:29:48
