,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,136,2,"Vanguard Group, Inc. (The)",30112508,2017-12-30 00:00:00,10.66%,1427031735,2018-07-03 00:29:26
1,136,2,Blackrock Inc.,27534036,2017-12-30 00:00:00,9.75%,1304837949,2018-07-03 00:29:26
2,136,2,JP Morgan Chase & Company,22397376,2017-12-30 00:00:00,7.93%,1061411634,2018-07-03 00:29:26
3,136,2,State Street Corporation,13773343,2017-12-30 00:00:00,4.88%,652718716,2018-07-03 00:29:26
4,136,2,Bank Of New York Mellon Corporation,13356055,2017-12-30 00:00:00,4.73%,632943438,2018-07-03 00:29:26
5,136,2,Standard Life Aberdeen PLC,6452282,2017-12-30 00:00:00,2.28%,305773640,2018-07-03 00:29:26
6,136,2,Capital International Investors,5625568,2017-12-30 00:00:00,1.99%,266595664,2018-07-03 00:29:26
7,136,2,"Franklin Resources, Inc",5190064,2017-12-30 00:00:00,1.84%,245957129,2018-07-03 00:29:26
8,136,2,Massachusetts Financial Services Co.,4088143,2017-12-30 00:00:00,1.45%,193737094,2018-07-03 00:29:26
9,136,2,"Goldman Sachs Group, Inc.",3957103,2017-12-30 00:00:00,1.40%,187527108,2018-07-03 00:29:26
0,136,2,Vanguard Mid-Cap Index Fund,6933600,2017-06-29 00:00:00,2.45%,326017875,2018-07-03 00:29:26
1,136,2,Vanguard Total Stock Market Index Fund,6409367,2017-06-29 00:00:00,2.27%,301368439,2018-07-03 00:29:26
2,136,2,JP Morgan Mid Cap Value Fund,6200451,2018-01-30 00:00:00,2.20%,273439879,2018-07-03 00:29:26
3,136,2,Washington Mutual Investors Fund,5445768,2017-12-30 00:00:00,1.93%,258074942,2018-07-03 00:29:26
4,136,2,Franklin Custodian Funds-Utilities Fund,4865000,2017-06-29 00:00:00,1.72%,228752302,2018-07-03 00:29:26
5,136,2,Vanguard 500 Index Fund,4422127,2017-06-29 00:00:00,1.57%,207928413,2018-07-03 00:29:26
6,136,2,SPDR S&P 500 ETF Trust,3583994,2018-01-30 00:00:00,1.27%,158054129,2018-07-03 00:29:26
7,136,2,Select Sector SPDR Fund-Utilities,3284499,2018-01-30 00:00:00,1.16%,144846400,2018-07-03 00:29:26
8,136,2,Vanguard Institutional Index Fund-Institutional Index Fund,3081908,2017-06-29 00:00:00,1.09%,144911315,2018-07-03 00:29:26
9,136,2,JP Morgan Equity Income Fund,2658750,2018-01-30 00:00:00,0.94%,117250870,2018-07-03 00:29:26
