,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,142,2,"Vanguard Group, Inc. (The)",34704082,2017-12-30 00:00:00,7.91%,6476475613,2018-07-03 00:31:40
1,142,2,Blackrock Inc.,26388861,2017-12-30 00:00:00,6.01%,4924689110,2018-07-03 00:31:40
2,142,2,State Street Corporation,17990109,2017-12-30 00:00:00,4.10%,3357314053,2018-07-03 00:31:40
3,142,2,"Wellington Management Company, LLP",12675991,2017-12-30 00:00:00,2.89%,2365593378,2018-07-03 00:31:40
4,142,2,Capital Research Global Investors,12524930,2017-12-30 00:00:00,2.85%,2337402375,2018-07-03 00:31:40
5,142,2,Capital World Investors,8613891,2017-12-30 00:00:00,1.96%,1607524296,2018-07-03 00:31:40
6,142,2,"FMR, LLC",8232180,2017-12-30 00:00:00,1.88%,1536289391,2018-07-03 00:31:40
7,142,2,Bank of America Corporation,7154512,2017-12-30 00:00:00,1.63%,1335174994,2018-07-03 00:31:40
8,142,2,Bank Of New York Mellon Corporation,6633847,2017-12-30 00:00:00,1.51%,1238008494,2018-07-03 00:31:40
9,142,2,Jennison Associates LLC,6611043,2017-12-30 00:00:00,1.51%,1233752812,2018-07-03 00:31:40
0,142,2,Vanguard Total Stock Market Index Fund,10103315,2017-06-29 00:00:00,2.30%,1609053891,2018-07-03 00:31:40
1,142,2,Vanguard 500 Index Fund,6943582,2017-06-29 00:00:00,1.58%,1105834831,2018-07-03 00:31:40
2,142,2,Growth Fund Of America Inc,5929817,2017-12-30 00:00:00,1.35%,1106622419,2018-07-03 00:31:40
3,142,2,SPDR S&P 500 ETF Trust,5554942,2018-01-30 00:00:00,1.27%,1101656138,2018-07-03 00:31:40
4,142,2,Vanguard Institutional Index Fund-Institutional Index Fund,4813363,2017-06-29 00:00:00,1.10%,766576164,2018-07-03 00:31:40
5,142,2,Vanguard Specialized-Dividend Growth Fund,4676528,2017-07-30 00:00:00,1.07%,714994363,2018-07-03 00:31:40
6,142,2,Vanguard Specialized-Dividend Appreciation Index Fund,3751351,2017-07-30 00:00:00,0.85%,573544052,2018-07-03 00:31:40
7,142,2,"Powershares Exhg Traded Fd Tr-Powershares QQQ Tr, Series 1",3530345,2018-01-30 00:00:00,0.80%,700138046,2018-07-03 00:31:40
8,142,2,Vanguard/Wellington Fund Inc.,2957896,2017-08-30 00:00:00,0.67%,451227043,2018-07-03 00:31:40
9,142,2,American Mutual Fund Inc,2845000,2017-12-30 00:00:00,0.65%,530933886,2018-07-03 00:31:40
