,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,152,2,"Vanguard Group, Inc. (The)",360167231,2017-12-30 00:00:00,7.48%,13898853499,2018-07-03 00:35:22
1,152,2,Blackrock Inc.,335374059,2017-12-30 00:00:00,6.96%,12942084987,2018-07-03 00:35:22
2,152,2,State Street Corporation,207524653,2017-12-30 00:00:00,4.31%,8008376390,2018-07-03 00:35:22
3,152,2,Bank Of New York Mellon Corporation,122958272,2017-12-30 00:00:00,2.55%,4744959735,2018-07-03 00:35:22
4,152,2,Bank of America Corporation,96626059,2017-12-30 00:00:00,2.01%,3728799631,2018-07-03 00:35:22
5,152,2,"Wellington Management Company, LLP",90003123,2017-12-30 00:00:00,1.87%,3473220530,2018-07-03 00:35:22
6,152,2,"FMR, LLC",83487891,2017-12-30 00:00:00,1.73%,3221797726,2018-07-03 00:35:22
7,152,2,Invesco Ltd.,79450520,2017-12-30 00:00:00,1.65%,3065995578,2018-07-03 00:35:22
8,152,2,Northern Trust Corporation,66825906,2017-12-30 00:00:00,1.39%,2578811722,2018-07-03 00:35:22
9,152,2,Wells Fargo & Company,65339894,2017-12-30 00:00:00,1.36%,2521466519,2018-07-03 00:35:22
0,152,2,Vanguard Total Stock Market Index Fund,115073238,2017-06-29 00:00:00,2.39%,3654726065,2018-07-03 00:35:22
1,152,2,Vanguard 500 Index Fund,79040446,2017-06-29 00:00:00,1.64%,2510324583,2018-07-03 00:35:22
2,152,2,SPDR S&P 500 ETF Trust,62835736,2018-01-30 00:00:00,1.30%,2692511191,2018-07-03 00:35:22
3,152,2,Vanguard Institutional Index Fund-Institutional Index Fund,54854274,2017-06-29 00:00:00,1.14%,1742171754,2018-07-03 00:35:22
4,152,2,"Powershares Exhg Traded Fd Tr-Powershares QQQ Tr, Series 1",39982703,2018-01-30 00:00:00,0.83%,1713258762,2018-07-03 00:35:22
5,152,2,Dodge & Cox Stock Fund,38827711,2017-09-29 00:00:00,0.81%,1299951746,2018-07-03 00:35:22
6,152,2,iShares Core S&P 500 ETF,32062485,2018-01-30 00:00:00,0.67%,1373877433,2018-07-03 00:35:22
7,152,2,Fidelity 500 Index Fund,30558618,2018-01-30 00:00:00,0.63%,1309436734,2018-07-03 00:35:22
8,152,2,Vanguard Index-Value Index Fund,25107391,2017-06-29 00:00:00,0.52%,797410743,2018-07-03 00:35:22
9,152,2,DFA U.S. Large Cap Value Series,23529059,2017-07-30 00:00:00,0.49%,741635950,2018-07-03 00:35:22
