,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,145,2,Capital Research Global Investors,90923431,2017-12-30 00:00:00,10.25%,5000788705,2018-07-03 00:32:47
1,145,2,"Vanguard Group, Inc. (The)",67757114,2017-12-30 00:00:00,7.64%,3726641270,2018-07-03 00:32:47
2,145,2,Blackrock Inc.,51135754,2017-12-30 00:00:00,5.76%,2812466470,2018-07-03 00:32:47
3,145,2,Mantle Ridge LP,42765207,2017-12-30 00:00:00,4.82%,2352086385,2018-07-03 00:32:47
4,145,2,State Street Corporation,36796488,2017-12-30 00:00:00,4.15%,2023806840,2018-07-03 00:32:47
5,145,2,"FMR, LLC",29974341,2017-12-30 00:00:00,3.38%,1648588755,2018-07-03 00:32:47
6,145,2,Janus Henderson Group PLC,24184036,2017-12-30 00:00:00,2.73%,1330121980,2018-07-03 00:32:47
7,145,2,Invesco Ltd.,15196655,2017-12-30 00:00:00,1.71%,835816025,2018-07-03 00:32:47
8,145,2,"Lone Pine Capital, LLC",11383382,2017-12-30 00:00:00,1.28%,626086010,2018-07-03 00:32:47
9,145,2,"Neuberger Berman Group, LLC",10672202,2017-12-30 00:00:00,1.20%,586971110,2018-07-03 00:32:47
0,145,2,Investment Company Of America,25251965,2017-12-30 00:00:00,2.85%,1388858075,2018-07-03 00:32:47
1,145,2,Growth Fund Of America Inc,22758166,2017-12-30 00:00:00,2.57%,1251699130,2018-07-03 00:32:47
2,145,2,Vanguard Total Stock Market Index Fund,20191317,2017-06-29 00:00:00,2.28%,1076601016,2018-07-03 00:32:47
3,145,2,Vanguard 500 Index Fund,14554191,2017-06-29 00:00:00,1.64%,776029459,2018-07-03 00:32:47
4,145,2,Amcap Fund,13881359,2017-12-30 00:00:00,1.56%,763474745,2018-07-03 00:32:47
5,145,2,SPDR S&P 500 ETF Trust,11362222,2018-01-30 00:00:00,1.28%,650259959,2018-07-03 00:32:47
6,145,2,Vanguard Institutional Index Fund-Institutional Index Fund,10127567,2017-06-29 00:00:00,1.14%,540001869,2018-07-03 00:32:47
7,145,2,Vanguard Specialized-Dividend Appreciation Index Fund,7912252,2017-07-30 00:00:00,0.89%,395533490,2018-07-03 00:32:47
8,145,2,Capital World Growth and Income Fund,7824226,2017-12-30 00:00:00,0.88%,430332430,2018-07-03 00:32:47
9,145,2,"Powershares Exhg Traded Fd Tr-Powershares QQQ Tr, Series 1",7220461,2018-01-30 00:00:00,0.81%,413226979,2018-07-03 00:32:47
