,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,472,2,"Vanguard Group, Inc. (The)",15407240,2017-12-30 00:00:00,10.34%,2331577657,2018-07-03 02:35:34
1,472,2,Capital Research Global Investors,14708995,2017-12-30 00:00:00,9.87%,2225912240,2018-07-03 02:35:34
2,472,2,Capital World Investors,11972500,2017-12-30 00:00:00,8.03%,1811798446,2018-07-03 02:35:34
3,472,2,Blackrock Inc.,9749957,2017-12-30 00:00:00,6.54%,1475461010,2018-07-03 02:35:34
4,472,2,State Street Corporation,7810542,2017-12-30 00:00:00,5.24%,1181969335,2018-07-03 02:35:34
5,472,2,JP Morgan Chase & Company,7540873,2017-12-30 00:00:00,5.06%,1141160324,2018-07-03 02:35:34
6,472,2,Jennison Associates LLC,6201680,2017-12-30 00:00:00,4.16%,938500245,2018-07-03 02:35:34
7,472,2,Dodge & Cox Inc,5660918,2017-12-30 00:00:00,3.80%,856666731,2018-07-03 02:35:34
8,472,2,Price (T.Rowe) Associates Inc,4830316,2017-12-30 00:00:00,3.24%,730971729,2018-07-03 02:35:34
9,472,2,"TIAA-CREF Investment Management, LLC",4098991,2017-12-30 00:00:00,2.75%,620300315,2018-07-03 02:35:34
0,472,2,Growth Fund Of America Inc,10813819,2017-12-30 00:00:00,7.25%,1636455249,2018-07-03 02:35:34
1,472,2,Amcap Fund,4704743,2017-12-30 00:00:00,3.16%,711968766,2018-07-03 02:35:34
2,472,2,Dodge & Cox Stock Fund,3700000,2017-09-29 00:00:00,2.48%,489325000,2018-07-03 02:35:34
3,472,2,Vanguard Mid-Cap Index Fund,3667560,2017-06-29 00:00:00,2.46%,429141203,2018-07-03 02:35:34
4,472,2,Vanguard Total Stock Market Index Fund,3412430,2017-06-29 00:00:00,2.29%,399288441,2018-07-03 02:35:34
5,472,2,Investment Company Of America,3317000,2017-12-30 00:00:00,2.23%,501961616,2018-07-03 02:35:34
6,472,2,Fundamental Investors Inc,2723000,2017-12-30 00:00:00,1.83%,412071594,2018-07-03 02:35:34
7,472,2,Harbor Capital Appreciation Fund,2708790,2017-12-30 00:00:00,1.82%,409921195,2018-07-03 02:35:34
8,472,2,College Retirement Equities Fund-Stock Account,2656556,2017-06-29 00:00:00,1.78%,310843623,2018-07-03 02:35:34
9,472,2,Vanguard 500 Index Fund,2337926,2017-06-29 00:00:00,1.57%,273560726,2018-07-03 02:35:34
